Uniprot Entry,Accession Name
Q64288,['OMP_MOUSE']
Q9Z2M7,['PMM2_MOUSE']
P24529,['TY3H_MOUSE']
A0JNU3,['LPP60_MOUSE']
A2APT9,['KLD7A_MOUSE']
A6BLY7,['K1C28_MOUSE']
A6H603,['NWD1_MOUSE']
A8E0Y8,['IGSF2_MOUSE']
B1AY13,['UBP24_MOUSE']
B1AZ99,['OTUD3_MOUSE']
B5X0E4,['ABCB5_MOUSE']
D3Z6P0,['PDIA2_MOUSE']
E1U8D0,['SOGA1_MOUSE']
E2JF22,['PIEZ1_MOUSE']
E9Q612,['PTPRO_MOUSE']
E9Q9U0,['U17PB_MOUSE']
O08784,['TCOF_MOUSE']
O09044,['SNP23_MOUSE']
O35227,['ADAM7_MOUSE']
O35623,['BET1_MOUSE']
O35655,['PPE1_MOUSE']
O35691,['PININ_MOUSE']
O54786,['DFFA_MOUSE']
O54839,['EOMES_MOUSE']
O70362,['PHLD_MOUSE']
O70475,['UGDH_MOUSE']
O70481,['UBR1_MOUSE']
O88508,['DNM3A_MOUSE']
O88561,['S27A3_MOUSE']
O88786,['I13R2_MOUSE']
O88892,['SERF1_MOUSE']
O88958,['GNPI1_MOUSE']
P00397,['COX1_MOUSE']
Q6NWV8,['CO4B_MOUSE']
P05555,['ITAM_MOUSE']
P05622,['PGFRB_MOUSE']
P09084,['PAX1_MOUSE']
P0C6F1,['DYH2_MOUSE']
P0CB42,['ALKB1_MOUSE']
P10107,['ANXA1_MOUSE']
P15626,['GSTM2_MOUSE']
P16381,['DDX3L_MOUSE']
P17892,['LIPR2_MOUSE']
P18893,['IL10_MOUSE']
P21447,['MDR1A_MOUSE']
P21550,['ENOB_MOUSE']
P22682,['CBL_MOUSE']
P23299,['KCNE1_MOUSE']
P23591,['FCL_MOUSE']
P24860,['CCNB1_MOUSE']
P25118,['TNR1A_MOUSE']
Q99PE1,['CELF1_MOUSE']
P35569,['IRS1_MOUSE']
P35689,['ERCC5_MOUSE']
P41234,['ABCA2_MOUSE']
P41778,['PBX1_MOUSE']
P48455,['PP2BC_MOUSE']
P48725,['PCNT_MOUSE']
P48754,['BRCA1_MOUSE']
P49070,['CAMLG_MOUSE']
P50171,['DHB8_MOUSE']
P50615,['BTG3_MOUSE']
P50652,['FANCC_MOUSE']
P51175,['PPOX_MOUSE']
P51791,['CLCN3_MOUSE']
P52189,['KCNJ4_MOUSE']
P52194,['CLGN_MOUSE']
P52785,['GUC2E_MOUSE']
P53811,['PIPNB_MOUSE']
P55772,['ENTP1_MOUSE']
P58059,['RT21_MOUSE']
P58158,['B3GA3_MOUSE']
P59672,['ANS1A_MOUSE']
P62046,['LRCH1_MOUSE']
P62281,['RS11_MOUSE']
P62960,['YBOX1_MOUSE']
P63078,['GBG8_MOUSE']
P63084,['S10A5_MOUSE']
P63168,['DYL1_MOUSE']
P70213,['FV1_MOUSE']
P97310,['MCM2_MOUSE']
P97360,['ETV6_MOUSE']
P97367,['MEIS2_MOUSE']
P97433,['ARG28_MOUSE']
P97473,['TRBP2_MOUSE']
P97742,['CPT1A_MOUSE']
P97817,['CDR2_MOUSE']
P98083,['SHC1_MOUSE']
P98200,['AT8A2_MOUSE']
Q00941,['CSF2R_MOUSE']
Q01320,['TOP2A_MOUSE']
Q01514,['GBP1_MOUSE']
Q02566,['MYH6_MOUSE']
Q02596,['GLCM1_MOUSE']
Q07440,['B2LA1_MOUSE']
Q148B6,['SPERI_MOUSE']
Q149F3,['ERF3B_MOUSE']
Q14B71,['CDCA2_MOUSE']
Q1H9T6,['TZAP_MOUSE']
Q30D77,['COOA1_MOUSE']
Q3TC93,['H1BP3_MOUSE']
Q3TRR0,['MAP9_MOUSE']
Q3UCQ1,['FOXK2_MOUSE']
Q3UHD1,['AGRB1_MOUSE']
Q3UHK8,['TNR6A_MOUSE']
Q3UP87,['ELNE_MOUSE']
Q3UR70,['TGFA1_MOUSE']
Q3UTZ3,['MA11_MOUSE']
Q3UW53,['NIBA1_MOUSE']
Q3UYI6,['FUZZY_MOUSE']
Q3UZZ6,['ST1D1_MOUSE']
Q3V079,['BBOF1_MOUSE']
Q497I4,['KRT35_MOUSE']
Q4KL13,['CN028_MOUSE']
Q504N2,['S22AF_MOUSE']
Q50L41,['PA24F_MOUSE']
Q571F8,['GLSL_MOUSE']
Q5DU05,['CE164_MOUSE']
Q5EBI0,['S2610_MOUSE']
Q5HZJ0,['RNC_MOUSE']
Q5PRF0,['HTR5A_MOUSE']
Q5QNV8,['HEAT9_MOUSE']
Q5RJ54,['ZSC26_MOUSE']
Q5RJF7,['CA2D4_MOUSE']
Q5STT6,['FA71B_MOUSE']
Q5SUA5,['MYO1G_MOUSE']
Q5SUD9,['BBS12_MOUSE']
Q5SW75,['SSH2_MOUSE']
Q5SX39,['MYH4_MOUSE']
Q5U680,['SAMC_MOUSE']
Q60604,['ADSV_MOUSE']
Q60707,['TBX2_MOUSE']
Q60795,['NF2L2_MOUSE']
Q60872,['IF1A_MOUSE']
Q60967,['PAPS1_MOUSE']
Q61233,['PLSL_MOUSE']
Q61335,['BAP31_MOUSE']
Q61616,['DRD1_MOUSE']
Q62179,['SEM4B_MOUSE']
Q62205,['SCN9A_MOUSE']
Q63739,['TP4A1_MOUSE']
Q64455,['PTPRJ_MOUSE']
Q64HY3,['SP9_MOUSE']
Q66JQ7,['KNL1_MOUSE']
Q66X05,['NAL4F_MOUSE']
Q69Z26,['CNTN4_MOUSE']
Q69ZJ7,['RIC1_MOUSE']
Q69ZL1,['FGD6_MOUSE']
Q69ZM6,['STK36_MOUSE']
Q6A025,['PPR26_MOUSE']
Q6A068,['CDC5L_MOUSE']
Q6IQX7,['CHSS2_MOUSE']
Q6NVD0,['FREM2_MOUSE']
Q6NXW6,['RAD17_MOUSE']
Q6P1C6,['LRIG3_MOUSE']
Q6PCN3,['TTBK1_MOUSE']
Q6PDC8,['MFD4A_MOUSE']
Q6PGF7,['EXOC8_MOUSE']
Q6PIJ4,['NFRKB_MOUSE']
Q6Q2Z6,['ACOT5_MOUSE']
Q6Q473,['CLA4A_MOUSE']
Q6T264,['MAML1_MOUSE']
Q6VH22,['IF172_MOUSE']
Q6W8Q3,['PC4L1_MOUSE']
Q6X1Y6,['ASIC3_MOUSE']
Q6ZPS2,['CRNS1_MOUSE']
Q6ZPY7,['KDM3B_MOUSE']
Q6ZWM4,['LSM8_MOUSE']
Q78RX3,['SIM12_MOUSE']
Q7M6U3,['TEX14_MOUSE']
Q7TQI7,['ABTB2_MOUSE']
Q7TS48,['OL180_MOUSE']
Q7TSF0,['DSG1C_MOUSE']
Q7TSU7,['KIRR2_MOUSE']
Q80TA6,['MTMRC_MOUSE']
Q80WE4,['KI20B_MOUSE']
Q80X44,['ZBT24_MOUSE']
Q80X91,['F110D_MOUSE']
Q80ZI2,['RTP2_MOUSE']
Q810D6,['GRWD1_MOUSE']
Q8BFR4,['GNS_MOUSE']
Q8BFW4,['TRI65_MOUSE']
Q8BFZ2,['PLPR1_MOUSE']
Q8BG16,['S6A15_MOUSE']
Q8BG36,['DMRT2_MOUSE']
Q8BG48,['ST17B_MOUSE']
Q8BGT5,['ALAT2_MOUSE']
Q8BH01,['TMCO3_MOUSE']
Q8BH49,['SESQ1_MOUSE']
Q8BHJ6,['SERC5_MOUSE']
Q8BI79,['CCD40_MOUSE']
Q8BI99,['ZN879_MOUSE']
Q8BIJ7,['RUFY1_MOUSE']
Q8BJQ2,['UBP1_MOUSE']
Q8BKX6,['SMG1_MOUSE']
Q8BL74,['TF3C2_MOUSE']
Q8BMB3,['IF4E2_MOUSE']
Q8BND3,['WDR35_MOUSE']
Q8BP56,['PGGHG_MOUSE']
Q8BPM0,['DAAM1_MOUSE']
Q8BTH8,['KC1G1_MOUSE']
Q8BU33,['HACL2_MOUSE']
Q8BWQ6,['VP35L_MOUSE']
Q8BWW9,['PKN2_MOUSE']
Q8BXJ8,['Z385B_MOUSE']
Q8BZ47,['ZN609_MOUSE']
Q8BZW2,['SWAHB_MOUSE']
Q8C0C4,['CCSE1_MOUSE']
Q8C1M2,['ZN428_MOUSE']
Q8C1Y8,['CCZ1_MOUSE']
Q8C3X2,['CC90B_MOUSE']
Q8C650,['SEP10_MOUSE']
Q8C6M1,['UBP20_MOUSE']
Q8C7N7,['APH1B_MOUSE']
Q8C8C1,['RTP1_MOUSE']
Q8CAF4,['NHSL1_MOUSE']
Q8CCS6,['PABP2_MOUSE']
Q8CCT4,['TCAL5_MOUSE']
Q8CD10,['MICU2_MOUSE']
Q8CF25,['CS067_MOUSE']
Q8CF89,['TAB1_MOUSE']
Q8CFI7,['RPB2_MOUSE']
Q8CGE9,['RGS12_MOUSE']
Q8CGR5,['KLK14_MOUSE']
Q8CJI4,['H1FNT_MOUSE']
Q8K207,['CA021_MOUSE']
Q8K402,['TBX22_MOUSE']
Q8K4Q0,['RPTOR_MOUSE']
Q8R0I0,['ACE2_MOUSE']
Q8R0V5,['I23O2_MOUSE']
Q8R2N0,['TAP26_MOUSE']
Q8R3I2,['MBOA2_MOUSE']
Q8VC56,['RNF8_MOUSE']
Q8VCB2,['MED25_MOUSE']
Q8VD26,['TM143_MOUSE']
Q8VD46,['ASZ1_MOUSE']
Q8VDW0,['DX39A_MOUSE']
Q8VE22,['RT23_MOUSE']
Q8VE73,['CUL7_MOUSE']
Q8VHJ5,['MARK1_MOUSE']
Q8VI47,['MRP2_MOUSE']
Q8VIM6,['STRC_MOUSE']
Q91VJ4,['STK38_MOUSE']
Q91VY9,['ZN622_MOUSE']
Q91W69,['EPN3_MOUSE']
Q91WA1,['TIPIN_MOUSE']
Q91WU5,['AS3MT_MOUSE']
Q91XQ6,['LAP4B_MOUSE']
Q91Z49,['UIF_MOUSE']
Q91ZB0,['ALPK2_MOUSE']
Q920A7,['AFG31_MOUSE']
Q921M4,['GOGA2_MOUSE']
Q922K9,['FRK_MOUSE']
Q924A2,['CIC_MOUSE']
Q925N1,['SFXN4_MOUSE']
Q99JR5,['TINAL_MOUSE']
Q99JW5,['EPCAM_MOUSE']
Q99KK2,['NEUA_MOUSE']
Q99KU6,['CF089_MOUSE']
Q99LI7,['CSTF3_MOUSE']
Q99MD9,['NASP_MOUSE']
Q99MI6,['GIMA3_MOUSE']
Q99MV7,['RNF17_MOUSE']
Q99N57,['RAF1_MOUSE']
Q99N80,['SYTL1_MOUSE']
Q99N96,['RM01_MOUSE']
