,Occurences
cell body,13
membrane-bounded organelle,207
cell projection,47
intracellular organelle,224
presynapse,3
organelle membrane,53
side of membrane,7
intrinsic component of membrane,77
supramolecular complex,34
membrane-enclosed lumen,16
plasma membrane region,30
leading edge membrane,4
postsynapse,3
cell junction,27
non-membrane-bounded organelle,62
membrane protein complex,22
organelle subcompartment,3
nuclear body,14
nuclear protein-containing complex,31
catalytic complex,32
ribonucleoprotein complex,20
protein-lipid complex,1
external encapsulating structure,9
intracellular protein-containing complex,17
chromosomal region,7
chromatin,3
cytochrome complex,1
mitochondrial protein-containing complex,8
membrane microdomain,9
receptor complex,3
protein complex involved in cell adhesion,1
microtubule associated complex,4
cilium,10
extracellular organelle,2
plasma membrane,2
extrinsic component of membrane,7
site of polarized growth,3
transporter complex,6
microtubule organizing center,23
condensed chromosome outer kinetochore,1
DNA repair complex,2
transcription regulator complex,6
cytosol,2
envelope,3
neuron projection terminus,2
postsynaptic specialization,6
cytoplasm,4
origin recognition complex,1
protein-DNA complex,1
outer membrane,3
host cellular component,1
actin filament bundle,3
actomyosin,3
myosin complex,1
spindle midzone,2
vesicle tethering complex,3
cluster of actin-based cell projections,1
Sm-like protein family complex,3
spindle pole,1
RNA cap binding complex,1
inclusion body,2
site of DNA damage,1
synaptonemal structure,1
myofilament,1
ciliary transition zone,1
ferritin complex,2
cell pole,1
chaperone complex,1
