,Unnamed: 0,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,0,P05213,TBA1B_MOUSE,Tubulin alpha-1B chain,Mus musculus (Mouse),"membrane raft IEA, microtubule IDA, cytosol TAS, cytoplasmic microtubule IDA, microtubule cytoskeleton ISO, cytoplasm IBA, myelin sheath HDA","GO:0005881, GO:0005737, GO:0005874, GO:0005829, GO:0015630, GO:0043209, GO:0045121","GTPase activity IEA, double-stranded RNA binding ISO, structural constituent of cytoskeleton IDA, GTP binding IBA, ubiquitin protein ligase binding ISO","GO:0031625, GO:0003924, GO:0005200, GO:0003725, GO:0005525","microtubule cytoskeleton organization IDA, microtubule-based process IBA, mitotic cell cycle IBA, cellular response to interleukin-4 IDA","GO:0000226, GO:0000278, GO:0007017, GO:0071353"," Direct protein sequencing,  Cytoskeleton, Acetylation,  Cytoplasm,  Phosphoprotein,  Microtubule, GTP-binding,  Nitration,  Reference proteome,  Methylation, Nucleotide-binding,  Ubl conjugation,  Isopeptide bond","GO:0050896, GO:0009987","GO:0005198, GO:0005488, GO:0003824",GO:0110165
1,1,P16858,G3P_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase,Mus musculus (Mouse),"intracellular membrane-bounded organelle ISO, lipid droplet ISO, microtubule cytoskeleton ISS, cytoplasm IDA, glutamatergic synapse ISO, nuclear membrane ISO, GAIT complex IDA, mitochondrion HDA, nucleus ISS, plasma membrane IDA, ribonucleoprotein complex ISO, cytosol IDA, postsynaptic density, intracellular component ISO, myelin sheath HDA","GO:0005739, GO:0005886, GO:0031965, GO:0005634, GO:0005811, GO:1990904, GO:0005737, GO:0097452, GO:0005829, GO:0015630, GO:0099092, GO:0043209, GO:0098978, GO:0043231","enzyme binding IPI, NADP binding IEA, identical protein binding ISO, microtubule binding ISS, peptidyl-cysteine S-nitrosylase activity ISS, aspartic-type endopeptidase inhibitor activity ISO, disordered domain specific binding ISO, NAD binding IEA, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity IDA","GO:0019828, GO:0097718, GO:0008017, GO:0004365, GO:0050661, GO:0042802, GO:0035605, GO:0019899, GO:0051287","negative regulation of endopeptidase activity ISO, cellular response to interferon-gamma ISO, response to ammonium ion ISO, negative regulation of translation IDA, killing by host of symbiont cells ISO, microtubule cytoskeleton organization ISS, defense response to fungus ISO, multicellular organism development IMP, peptidyl-cysteine S-trans-nitrosylation ISS, protein stabilization ISS, apoptotic process ISO, cAMP-mediated signaling ISO, carbohydrate metabolic process ISO, neuron apoptotic process ISS, negative regulation of vascular associated smooth muscle cell apoptotic process ISO, antimicrobial humoral immune response mediated by antimicrobial peptide ISO, killing of cells of other organism ISO, positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction ISO, glycolytic process ISO, positive regulation of cytokine secretion ISO, gluconeogenesis ISO","GO:0010951, GO:0006096, GO:1905460, GO:0035606, GO:0060359, GO:0006915, GO:0051873, GO:0000226, GO:0007275, GO:0005975, GO:0031640, GO:0050821, GO:0050715, GO:0071346, GO:0006094, GO:0061844, GO:0019933, GO:0050832, GO:0051402, GO:0052501, GO:0017148"," Cytoskeleton, Acetylation, S-nitrosylation,  Cytoplasm, Direct protein sequencing,  Phosphoprotein,  NAD,  Transferase,  Apoptosis,  ADP-ribosylation,  Oxidoreductase,  Reference proteome,  Methylation, Nucleus,  Ubl conjugation,  Glycolysis,  Isopeptide bond,  Translation regulation","GO:0032502, GO:0009987, GO:0008152, GO:0050896, GO:0044419, GO:0002376, GO:0032501, GO:0065007","GO:0005488, GO:0098772, GO:0003824","GO:0032991, GO:0110165"
2,2,S4R257,S4R257_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase {ECO:0000256|RuleBase:RU361160},Mus musculus (Mouse),,,"NAD binding IEA, NADP binding IEA, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity IEA","GO:0050661, GO:0004365, GO:0051287","glycolytic process IEA, glucose metabolic process IEA","GO:0006096, GO:0006006","ECO:0000213|MaxQB:S4R257, ECO:0000213|PeptideAtlas:S4R257}, NAD {ECO:0000256|RuleBase:RU361160}, ECO:0000256|RuleBase:RU361160}, Glycolysis {ECO:0000256|RuleBase:RU361160}, Proteomics identification {ECO:0000213|EPD:S4R257,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Oxidoreductase {ECO:0000256|ARBA:ARBA00023002,","GO:0008152, GO:0009987","GO:0005488, GO:0003824",
3,3,P63017,HSP7C_MOUSE,Heat shock cognate 71 kDa protein,Mus musculus (Mouse),"neuronal cell body ISO, lysosomal matrix ISO, neuron spine ISO, glutamatergic synapse IDA, synaptic vesicle ISO, spliceosomal complex IEA, lysosomal membrane ISS, messenger ribonucleoprotein complex ISO, cytoplasm IDA, postsynapse ISO, protein-containing complex ISO, postsynaptic density ISO, presynaptic cytosol ISO, glycinergic synapse ISO, membrane raft ISO, Prp19 complex ISS, photoreceptor inner segment ISO, cell surface ISO, microtubule ISO, perikaryon ISO, late endosome IDA, postsynaptic cytosol ISO, asymmetric synapse ISO, dendrite ISO, dendritic shaft ISO, chaperone complex ISO, presynapse IDA, extracellular exosome IDA, axon ISO, myelin sheath HDA, lysosome ISO, plasma membrane IBA, ribonucleoprotein complex ISS, terminal bouton ISO, neuron projection ISO, perinuclear region of cytoplasm IDA, dendritic spine ISO, nucleus ISS, nucleolus IEA, photoreceptor ribbon synapse IDA, cytosol IDA, intermediate filament ISO, autophagosome ISO, melanosome IEA","GO:0005770, GO:0005634, GO:0001917, GO:0043204, GO:0098684, GO:0032991, GO:0043025, GO:0098794, GO:0044309, GO:0014069, GO:0043197, GO:1990124, GO:0005737, GO:0030425, GO:0005874, GO:0005681, GO:0042470, GO:0101031, GO:0043195, GO:1990836, GO:0005882, GO:0005886, GO:1990904, GO:0043198, GO:0005730, GO:0099524, GO:0005765, GO:0008021, GO:0098978, GO:0098793, GO:0070062, GO:0030424, GO:0043005, GO:0099523, GO:0005829, GO:0009986, GO:0000974, GO:0048471, GO:0043209, GO:0005776, GO:0032279, GO:0098690, GO:0005764, GO:0045121","ADP binding ISO, A1 adenosine receptor binding ISO, heat shock protein binding ISO, C3HC4-type RING finger domain binding ISO, ATP binding ISO, protein-macromolecule adaptor activity ISO, phosphatidylserine binding IDA, peptide binding ISO, RNA binding ISO, transcription factor binding ISO, unfolded protein binding IPI, prostaglandin binding ISO, clathrin-uncoating ATPase activity ISO, signaling receptor binding ISO, protein folding chaperone IBA, chaperone binding ISO, enzyme binding ISO, ATPase activity IDA, misfolded protein binding IBA, G protein-coupled receptor binding ISO, ubiquitin protein ligase binding ISO","GO:0044183, GO:0051787, GO:0051082, GO:0008134, GO:0005524, GO:0003723, GO:0055131, GO:0031686, GO:0042277, GO:0005102, GO:0001786, GO:0016887, GO:0031625, GO:0030674, GO:1904593, GO:0031072, GO:1990833, GO:0019899, GO:0001664, GO:0051087, GO:0043531","mRNA processing IEA, protein refolding ISS, positive regulation of T cell mediated cytotoxicity ISO, positive regulation of proteolysis ISO, regulation of cell cycle IDA, axo-dendritic transport IBA, regulation of protein complex stability ISS, maintenance of postsynaptic specialization structure ISO, chaperone-mediated autophagy ISS, protein autophosphorylation ISO, ATP metabolic process ISO, chaperone-mediated protein transport involved in chaperone-mediated autophagy ISO, negative regulation of transcription, DNA-templated ISS, slow axonal transport IBA, chaperone-mediated autophagy translocation complex disassembly ISS, cellular protein complex disassembly ISO, modulation by host of viral process IMP, protein targeting to lysosome involved in chaperone-mediated autophagy ISO, RNA splicing IEA, negative regulation of supramolecular fiber organization ISO, protein folding IDA, protein import into nucleus ISO, chaperone-mediated protein folding IDA, negative regulation of cardiac muscle cell apoptotic process ISO, vesicle-mediated transport IBA, regulation of protein stability ISO, clathrin coat disassembly IGI, positive regulation by host of viral genome replication IMP, positive regulation of mRNA splicing, via spliceosome IMP, cellular response to unfolded protein IBA, positive regulation of phagocytosis ISO, positive regulation of catalytic activity ISO, regulation of postsynapse organization IDA, positive regulation of lysosomal membrane permeability ISO, positive regulation of gene expression ISO, late endosomal microautophagy IMP, chaperone cofactor-dependent protein refolding IGI, response to unfolded protein IBA, positive regulation of protein refolding ISO","GO:1990832, GO:0008380, GO:0072318, GO:0006397, GO:1902904, GO:0006606, GO:0050766, GO:0010628, GO:0099175, GO:0051726, GO:0098880, GO:0061684, GO:0031647, GO:1904592, GO:0010667, GO:0061077, GO:0016192, GO:0044788, GO:0034620, GO:0042026, GO:0006457, GO:0046777, GO:0061740, GO:0043624, GO:0061741, GO:0045862, GO:0051085, GO:0061635, GO:0008088, GO:0001916, GO:0044829, GO:1904764, GO:0006986, GO:0061738, GO:0045892, GO:0043085, GO:0097214, GO:0048026, GO:0046034"," Direct protein sequencing,  Transcription regulation,  Reference proteome,  Nucleotide-binding,  mRNA splicing,  ATP-binding,  Cell membrane, Stress response,  mRNA processing,  Acetylation, 3D-structure,  Transcription,  Spliceosome,  Chaperone,  Ubl conjugation,  Nucleus,  Isopeptide bond,  Membrane, Methylation, Cytoplasm, Phosphoprotein,  Repressor","GO:0009987, GO:0051179, GO:0008152, GO:0050896, GO:0044419, GO:0065007","GO:0005488, GO:0060090, GO:0003824","GO:0032991, GO:0110165"
4,4,Q504P4,Q504P4_MOUSE,,Mus musculus (Mouse),,,ATP binding IEA,GO:0005524,,,"ECO:0000213|MaxQB:Q504P4, ECO:0000213|PeptideAtlas:Q504P4}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU003322}, Proteomics identification {ECO:0000213|EPD:Q504P4,, Coiled coil {ECO:0000256|SAM:Coils}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000256|RuleBase:RU003322}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,",,GO:0005488,
5,5,A3KGU7,A3KGU7_MOUSE,,Mus musculus (Mouse),"cell cortex IEA, cytoskeleton IEA","GO:0005938, GO:0005856","actin binding IEA, calcium ion binding IEA, calmodulin binding IEA","GO:0003779, GO:0005509, GO:0005516",actin filament capping IEA,GO:0051693,"SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Proteomics identification {ECO:0000213|EPD:A3KGU7,, Calmodulin-binding {ECO:0000256|ARBA:ARBA00022860}, Calcium {ECO:0000256|PROSITE-ProRule:PRU00448}, Actin-binding {ECO:0000256|ARBA:ARBA00023203}, Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:A3KGU7, ECO:0000213|PeptideAtlas:A3KGU7}, Actin capping {ECO:0000256|ARBA:ARBA00022467}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ProRule:PRU00192}","GO:0065007, GO:0009987",GO:0005488,GO:0110165
6,6,P56480,ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"mitochondrial inner membrane HDA, membrane ISO, mitochondrial membrane ISO, cell surface ISO, proton-transporting ATP synthase complex, catalytic core F(1) ISO, plasma membrane ISO, mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) ISO, mitochondrion IDA, myelin sheath HDA, mitochondrial proton-transporting ATP synthase complex ISS, membrane raft ISO, mitochondrial nucleoid ISO, proton-transporting ATP synthase complex ISO","GO:0005739, GO:0005886, GO:0005743, GO:0042645, GO:0045261, GO:0009986, GO:0000275, GO:0045259, GO:0016020, GO:0043209, GO:0005753, GO:0031966, GO:0045121","ATP binding ISO, ADP binding ISO, lipoprotein particle receptor activity ISO, proton-transporting ATP synthase activity, rotational mechanism ISO, MHC class I protein binding ISO, calcium ion binding ISO, ATPase activity ISO, angiostatin binding ISO, proton-transporting ATPase activity, rotational mechanism ISO","GO:0046933, GO:0046961, GO:0043532, GO:0030228, GO:0005524, GO:0042288, GO:0005509, GO:0043531, GO:0016887","ATP metabolic process ISO, ATP biosynthetic process ISO, positive regulation of blood vessel endothelial cell migration ISO, negative regulation of cell adhesion involved in substrate-bound cell migration IMP, regulation of intracellular pH ISO, angiogenesis ISO, cellular response to interleukin-7 IDA, receptor-mediated endocytosis ISO, mitochondrial ATP synthesis coupled proton transport ISO, lipid metabolic process IMP, proton transmembrane transport ISO","GO:0098761, GO:0001525, GO:0006933, GO:1902600, GO:0006754, GO:0051453, GO:0043536, GO:0006629, GO:0046034, GO:0042776, GO:0006898"," ATP-binding,  Direct protein sequencing, Acetylation,  Hydrogen ion transport,  Ion transport,  Transit peptide,  Translocase, Transport, Glycoprotein, Mitochondrion, Phosphoprotein,  ATP synthesis,  Reference proteome,  Nucleotide-binding,  Mitochondrion inner membrane,  CF(1),  Membrane","GO:0032502, GO:0009987, GO:0051179, GO:0050896, GO:0008152, GO:0065007","GO:0038024, GO:0005488, GO:0005215, GO:0003824","GO:0032991, GO:0110165"
7,7,Q04447,KCRB_MOUSE,Creatine kinase B-type,Mus musculus (Mouse),"neuronal cell body ISO, dendrite ISO, nucleus ISO, cytosol ISO, mitochondrion HDA, extracellular space IBA, myelin sheath HDA","GO:0005739, GO:0005615, GO:0005634, GO:0030425, GO:0005829, GO:0043025, GO:0043209","creatine kinase activity IDA, ubiquitin protein ligase binding ISO, kinase activity IBA, ATP binding IEA","GO:0016301, GO:0004111, GO:0031625, GO:0005524","cerebellum development IEA, phosphocreatine biosynthetic process IBA, cellular chloride ion homeostasis ISO","GO:0021549, GO:0046314, GO:0030644"," Direct protein sequencing,  Cytoplasm,  Phosphoprotein,  Transferase,  Nitration,  Reference proteome, ATP-binding, Nucleotide-binding,  Kinase","GO:0008152, GO:0032502, GO:0065007, GO:0009987","GO:0005488, GO:0003824",GO:0110165
8,8,Q03265,ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"mitochondrial inner membrane HDA, nucleus ISO, membrane IMP, cell surface ISO, proton-transporting ATP synthase complex, catalytic core F(1) ISO, mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) ISO, COP9 signalosome IEA, mitochondrion IDA, plasma membrane ISO, mitochondrial proton-transporting ATP synthase complex ISS, membrane raft ISO, myelin sheath HDA, proton-transporting ATP synthase complex ISO","GO:0005739, GO:0005886, GO:0005634, GO:0005743, GO:0045261, GO:0009986, GO:0000275, GO:0045259, GO:0016020, GO:0043209, GO:0008180, GO:0005753, GO:0045121","ADP binding ISO, proton-transporting ATP synthase activity, rotational mechanism IMP, ATP binding IMP, MHC class I protein binding ISO, angiostatin binding ISO, protease binding ISO","GO:0002020, GO:0046933, GO:0043532, GO:0042288, GO:0043531, GO:0005524","ATP synthesis coupled proton transport IBA, ATP metabolic process ISO, ATP biosynthetic process ISO, positive regulation of blood vessel endothelial cell migration ISO, negative regulation of endothelial cell proliferation ISO, mitochondrial ATP synthesis coupled proton transport ISO, lipid metabolic process IMP","GO:0001937, GO:0006754, GO:0015986, GO:0043536, GO:0006629, GO:0046034, GO:0042776"," ATP-binding,  Cell membrane, Acetylation,  Hydrogen ion transport,  Transit peptide, Mitochondrion inner membrane, Direct protein sequencing,  Phosphoprotein,  Transport,  Mitochondrion,  ATP synthesis, Ion transport,  Methylation,  Nucleotide-binding, Reference proteome,  CF(1),  Membrane,  Glycoprotein","GO:0008152, GO:0051179, GO:0065007, GO:0009987","GO:0005215, GO:0005488, GO:0003824","GO:0032991, GO:0110165"
9,9,D3Z6F5,D3Z6F5_MOUSE,ATP synthase subunit alpha {ECO:0000256|RuleBase:RU003551},Mus musculus (Mouse),"plasma membrane IEA, proton-transporting ATP synthase complex, catalytic core F(1) IEA","GO:0005886, GO:0045261","proton-transporting ATP synthase activity, rotational mechanism IEA, ATP binding IEA","GO:0046933, GO:0005524",,," Membrane {ECO:0000256|ARBA:ARBA00023136}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU003551}, CF(1) {ECO:0000256|ARBA:ARBA00023196, ECO:0000256|RuleBase:RU003551}, ECO:0000213|MaxQB:D3Z6F5, ECO:0000213|PeptideAtlas:D3Z6F5}, Ion transport {ECO:0000256|ARBA:ARBA00022781,, ECO:0000256|RuleBase:RU003551}, ECO:0000256|RuleBase:RU000339}, Hydrogen ion transport {ECO:0000256|ARBA:ARBA00022781,, Proteomics identification {ECO:0000213|EPD:D3Z6F5,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ATP synthesis {ECO:0000256|ARBA:ARBA00023196,, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, Transport {ECO:0000256|ARBA:ARBA00022781, ECO:0000256|RuleBase:RU000339}",,"GO:0005488, GO:0005215, GO:0003824","GO:0032991, GO:0110165"
