P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
Q9CWB1,"Nucleotide-binding,  Potassium,  Magnesium,  Glycolysis,  Hydroxylation,  Kinase,  Ubl conjugation,  Methylation, Reference proteome,  Pyruvate,  Direct protein sequencing,  Alternative splicing,  Allosteric enzyme,  ATP-binding,  Transferase, Cytoplasm,  Phosphoprotein, Acetylation,  Nucleus,  Translation regulation, Isopeptide bond,  Metal-binding"
Q9D051," Direct protein sequencing,  Carbohydrate metabolism,  Phosphoprotein,  Reference proteome, Tricarboxylic acid cycle,  Mitochondrion, Glucose metabolism, Acetylation,  Transit peptide, Pyruvate,  Oxidoreductase,  Thiamine pyrophosphate"
P16125," Direct protein sequencing,  Reference proteome,  NAD, Phosphoprotein,  Cytoplasm, Acetylation,  Oxidoreductase"
Q9D2G2," Phosphoprotein,  Alternative splicing,  Lipoyl,  Mitochondrion, Reference proteome,  Acyltransferase,  Transferase, Acetylation,  Transit peptide,  Nucleus, Direct protein sequencing,  Tricarboxylic acid cycle"
Q61753," Direct protein sequencing,  Phosphoprotein,  Reference proteome,  Ubl conjugation,  NAD, Serine biosynthesis, Acetylation,  Oxidoreductase, Isopeptide bond,  Amino-acid biosynthesis"
Q9DCX2," Membrane,  Direct protein sequencing,  Transport,  Mitochondrion inner membrane,  Mitochondrion, Reference proteome,  Hydrogen ion transport, Acetylation, Ion transport,  CF(0)"
Q91ZA3,"Nucleotide-binding,  Phosphoprotein,  Ligase,  Lipid degradation,  ATP-binding,  Magnesium,  Metal-binding,  Mitochondrion, Acetylation, Lipid metabolism,  Transit peptide,  Reference proteome,  Biotin"
Q9CPY7," Protease,  Magnesium,  Hydrolase, Phosphoprotein,  Cytoplasm,  Alternative initiation, Acetylation,  Aminopeptidase,  Manganese, Direct protein sequencing,  Reference proteome,  Metal-binding,  Zinc"
Q8K183," Direct protein sequencing,  Phosphoprotein, Magnesium,  ATP-binding, Reference proteome,  Nucleotide-binding,  Transferase,  Cytoplasm, Acetylation,  Sodium,  Metal-binding,  Kinase,  Zinc"
P28663," Membrane,  Transport, Reference proteome,  ER-Golgi transport,  Protein transport, Direct protein sequencing"
Q7TQF7," Cytoskeleton,  Phosphoprotein,  Coiled coil, Membrane,  SH3 domain, Cell junction,  Synapse,  Cytoplasm,  Reference proteome,  Cytoplasmic vesicle"
P51859,"Heparin-binding, Transcription regulation,  Secreted,  Ubl conjugation,  Disulfide bond,  DNA-binding,  Isopeptide bond,  Nucleotide-binding, Phosphoprotein,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome,  Repressor,  Transcription,  Growth factor"
Q64521," Membrane,  Direct protein sequencing,  Flavoprotein,  Reference proteome,  Mitochondrion inner membrane,  Mitochondrion, Phosphoprotein,  Repeat,  FAD,  Transit peptide, Calcium,  Oxidoreductase, Metal-binding"
Q99LX0," Membrane, Lipoprotein,  Palmitate,  Zymogen,  Isopeptide bond,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  DNA damage,  Ubl conjugation,  Stress response,  Cytoplasm,  Inflammatory response,  Oxidation,  DNA repair,  Protease,  Copper,  Mitochondrion, Phosphoprotein,  RNA-binding,  Autophagy, Tumor suppressor,  Cell membrane,  Chaperone, Fertilization,  Hydrolase, Acetylation,  Nucleus"
P09411," Acetylation, Nucleotide-binding,  Phosphoprotein,  ATP-binding, 3D-structure,  Transferase,  Cytoplasm,  Glycolysis, Direct protein sequencing,  Reference proteome,  Hydroxylation,  Kinase"
Q60692," Acetylation,  Direct protein sequencing,  Phosphoprotein, Nucleus,  Protease,  Threonine protease,  Zymogen, Reference proteome,  Hydrolase, 3D-structure,  Polymorphism,  Cytoplasm,  Proteasome"
P09671," Direct protein sequencing,  Reference proteome,  Ubl conjugation, Mitochondrion, Transit peptide,  Manganese, Acetylation,  Nitration,  Oxidoreductase,  Metal-binding"
Q61644," Membrane,  Direct protein sequencing,  Phosphoprotein,  Coiled coil, Synapse,  Cell membrane,  SH3 domain, Lipid-binding, 3D-structure,  Synaptosome,  Cell projection,  Cytoplasmic vesicle,  Reference proteome,  Endocytosis, Cytoplasm,  Cell junction"
Q01853," Acetylation,  DNA repair,  Autophagy,  Phosphoprotein, Nucleus,  Transport,  Ubl conjugation, Ubl conjugation pathway,  Methylation,  ATP-binding, 3D-structure,  Isopeptide bond,  Lipid-binding,  Nucleotide-binding,  Cytoplasm, Hydrolase,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  DNA damage"
P40142," Direct protein sequencing,  Phosphoprotein,  Ubl conjugation, Thiamine pyrophosphate, Magnesium,  Isopeptide bond,  Transferase,  Calcium, Acetylation,  Reference proteome,  Metal-binding"
Q3U0V1," Transport,  Phosphoprotein, mRNA processing, Transcription regulation,  Ubl conjugation,  Methylation, Reference proteome,  DNA-binding,  Isopeptide bond,  mRNA transport,  mRNA splicing,  Repeat,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Transcription"
