Uniprot Entry,Accession Name,Name,Organism,Biological Process Label,Brain Part,Molecular Function Label,Cellular Component Label
Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"GO:0065007, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0030312, GO:1902494, GO:0042995"
Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,GO:0003824,"GO:0043226, GO:1902494, GO:0005622, GO:0098798"
P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0045239, GO:0016020, GO:0005622, GO:0031974, GO:1902494"
Q9DB77,QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0050896",Medulla,GO:0005488,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:1902494, GO:0098796"
Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0051179",Medulla,"GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0098796"
Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),GO:0008152,Medulla,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622"
Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488",
P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0009987, GO:0023052",Medulla,"GO:0005488, GO:0060090","GO:0016020, GO:0098796"
Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"GO:0051179, GO:0007610, GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0019898, GO:0030054"
P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488",GO:0016020
Q64521,GPDM_MOUSE,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0040007, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:1902494, GO:0005622"
P09671,SODM_MOUSE,"Superoxide dismutase [Mn], mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0098754, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0016209","GO:0043226, GO:0016020, GO:0005622, GO:0031974, GO:0009295"
