P05064," Cytoplasm,  Ubl conjugation,  Lyase,  Direct protein sequencing,  Phosphoprotein,  Reference proteome,  Glycolysis, Acetylation,  Isopeptide bond, Schiff base, Hydroxylation"
P16125,"Phosphoprotein,  Cytoplasm,  NAD,  Direct protein sequencing,  Reference proteome,  Oxidoreductase, Acetylation"
P60710," Nucleus,  ATP-binding, Oxidation,  Cytoplasm,  Ubl conjugation,  Reference proteome, Acetylation, Direct protein sequencing,  Methylation,  Nucleotide-binding,  Cytoskeleton"
P80316,"Phosphoprotein,  ATP-binding,  Cytoplasm,  Ubl conjugation,  Reference proteome, Acetylation, Direct protein sequencing,  Isopeptide bond,  Chaperone,  Nucleotide-binding,  Cytoskeleton"
P68368," Microtubule, Phosphoprotein,  Cytoplasm,  Direct protein sequencing,  Reference proteome,  Nitration, Acetylation,  Methylation,  Nucleotide-binding,  Cytoskeleton, GTP-binding"
Q7TMM9," Microtubule, Phosphoprotein,  Cytoplasm,  Ubl conjugation,  Direct protein sequencing,  Reference proteome, Acetylation,  Isopeptide bond,  Methylation,  Nucleotide-binding,  Cytoskeleton, GTP-binding"
Q7TQF7," Cytoplasmic vesicle,  Cytoplasm, Membrane,  Synapse,  Reference proteome,  SH3 domain,  Phosphoprotein, Cell junction,  Coiled coil,  Cytoskeleton"
P62897," Mitochondrion,  Transport,  Direct protein sequencing,  Metal-binding, Heme, Acetylation,  Respiratory chain,  Phosphoprotein,  Apoptosis, Reference proteome,  Iron,  Electron transport"
Q64521," Mitochondrion inner membrane,  FAD, Phosphoprotein,  Repeat,  Transit peptide, Metal-binding,  Flavoprotein, Calcium,  Direct protein sequencing,  Membrane,  Oxidoreductase,  Reference proteome,  Mitochondrion"
P61979," Cytoplasm,  Ubl conjugation,  mRNA splicing, Cell projection,  Activator, Ribonucleoprotein,  Alternative splicing,  RNA-binding, Nucleus, Transcription regulation,  Repressor, Acetylation,  DNA-binding,  Isopeptide bond,  Transcription,  Direct protein sequencing, Glycoprotein,  Repeat,  Spliceosome,  Cell junction,  mRNA processing,  Reference proteome,  Methylation,  Phosphoprotein"
O08709," Hydrolase,  Multifunctional enzyme,  Lysosome,  Lipid metabolism,  Cytoplasm,  Antioxidant,  Direct protein sequencing,  Peroxidase,  Redox-active center,  Transferase, Acetylation,  Phosphoprotein, Reference proteome, Oxidoreductase, Lipid degradation"
P09671,"Transit peptide, Mitochondrion,  Ubl conjugation,  Manganese,  Direct protein sequencing,  Metal-binding,  Oxidoreductase,  Nitration,  Reference proteome, Acetylation"
P10649," Direct protein sequencing,  Reference proteome, Transferase,  Phosphoprotein, Cytoplasm"
Q63810,"Phosphoprotein,  Repeat,  Cytoplasm,  Calcium,  Cell membrane,  Membrane,  Lipoprotein,  Metal-binding,  Reference proteome,  Myristate, 3D-structure, Direct protein sequencing,  Alternative splicing"
