Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name
A0A4W9,A0A4W9_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Signal {ECO:0000256|SAM:SignalP}, ECO:0000213|PeptideAtlas:A0A4W9}, Proteomics identification {ECO:0000213|MaxQB:A0A4W9,",,,,,,,
A0JLR7,A0JLR7_MOUSE,Mus musculus (Mouse),,"cytosol ISO, plasma membrane ISO, cytoplasm ISO, sarcolemma ISO, costamere IBA, nucleus IBA, cell-cell junction ISS, vesicle ISO, extracellular exosome ISO, actin cytoskeleton ISO, cell-cell contact zone ISO","GO:0005737, GO:0042383, GO:0031982, GO:0043034, GO:0070062, GO:0005829, GO:0005886, GO:0044291, GO:0005634, GO:0015629, GO:0005911","S100 protein binding ISO, identical protein binding ISO","GO:0042802, GO:0044548","regulation of RNA splicing IBA, regulation of voltage-gated calcium channel activity ISO","GO:0043484, GO:1901385",
A0JLV3,A0JLV3_MOUSE,Mus musculus (Mouse),"DNA-binding {ECO:0000256|RuleBase:RU000451}, Chromosome {ECO:0000256|RuleBase:RU000451}, Nucleosome core {ECO:0000256|RuleBase:RU000451}, Nucleus {ECO:0000256|RuleBase:RU000451}","nucleosome IEA, nucleus IEA","GO:0005634, GO:0000786","DNA binding IEA, protein heterodimerization activity IEA","GO:0003677, GO:0046982",,,Histone H2B {ECO:0000256|RuleBase:RU000451}
A0PJB8,A0PJB8_MOUSE,Mus musculus (Mouse),,,,,,,,
A1BN54,A1BN54_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A1BN54, ECO:0000213|PeptideAtlas:A1BN54}, Coiled coil {ECO:0000256|SAM:Coils}, Membrane {ECO:0000256|ARBA:ARBA00023136}, Actin-binding {ECO:0000256|ARBA:ARBA00023203}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|EPD:A1BN54,, Cell projection {ECO:0000256|ARBA:ARBA00023273}","plasma membrane IEA, ruffle IEA, Z disc IEA, cell junction IEA","GO:0030054, GO:0030018, GO:0001726, GO:0005886","calcium ion binding IEA, actin filament binding IEA","GO:0005509, GO:0051015","actin crosslink formation IEA, actin filament bundle assembly IEA","GO:0051017, GO:0051764",Alpha-actinin cytoskeletal isoform {ECO:0000256|ARBA:ARBA00015114}
A1E2B8,A1E2B8_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000256|RuleBase:RU003322}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, Stress response {ECO:0000313|EMBL:ABK968111}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU003322}",,,ATP binding IEA,GO:0005524,,,
A1L2Z3,A1L2Z3_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|SAM:SignalP}, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, Membrane {ECO:0000256|ARBA:ARBA00022989}",ER membrane protein complex IEA,GO:0072546,,,,,ER membrane protein complex subunit 1 {ECO:0000256|ARBA:ARBA00020824}
A1L332,A1L332_MOUSE,Mus musculus (Mouse),"ECO:0000256|RuleBase:RU362033}, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|RuleBase:RU362033}, Metal-binding {ECO:0000256|ARBA:ARBA00022723}, Magnesium {ECO:0000256|ARBA:ARBA00022842, ECO:0000256|RuleBase:RU362033}, Translocase {ECO:0000256|ARBA:ARBA00022967, ECO:0000256|RuleBase:RU362033}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU362033}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, Transmembrane {ECO:0000256|ARBA:ARBA00022989,",integral component of membrane IEA,GO:0016021,"ATPase-coupled intramembrane lipid transporter activity IEA, magnesium ion binding IEA, ATP binding IEA","GO:0000287, GO:0005524, GO:0140326",phospholipid transport IEA,GO:0015914,Phospholipid-transporting ATPase {ECO:0000256|RuleBase:RU362033}
A2A4E2,A2A4E2_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2A4E2}",,,,,,,
A2A513,A2A513_MOUSE,Mus musculus (Mouse),"ECO:0000256|RuleBase:RU000685}, Intermediate filament {ECO:0000256|ARBA:ARBA00022754,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2A513,, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:A2A513, ECO:0000213|PeptideAtlas:A2A513}","cornified envelope IEA, intermediate filament IEA, cytoplasm IEA","GO:0005737, GO:0005882, GO:0001533","structural constituent of skin epidermis IEA, protein heterodimerization activity IEA","GO:0030280, GO:0046982","keratinocyte differentiation IEA, peptide cross-linking IEA, protein heterotetramerization IEA","GO:0018149, GO:0051290, GO:0030216",
