Q9CWB1," Alternative splicing, Reference proteome,  ATP-binding,  Direct protein sequencing,  Transferase,  Potassium, Acetylation,  Pyruvate,  Glycolysis,  Nucleus, Cytoplasm, Isopeptide bond,  Magnesium,  Metal-binding,  Ubl conjugation, Nucleotide-binding,  Hydroxylation,  Allosteric enzyme,  Translation regulation,  Phosphoprotein,  Kinase,  Methylation"
Q9D051,"Pyruvate, Acetylation, Glucose metabolism,  Oxidoreductase,  Reference proteome,  Thiamine pyrophosphate,  Direct protein sequencing,  Phosphoprotein,  Mitochondrion,  Transit peptide, Tricarboxylic acid cycle,  Carbohydrate metabolism"
P16125,"Acetylation,  Oxidoreductase,  Reference proteome,  Direct protein sequencing, Phosphoprotein,  NAD,  Cytoplasm"
Q9D2G2," Nucleus,  Tricarboxylic acid cycle, Acetylation,  Alternative splicing, Reference proteome,  Lipoyl,  Phosphoprotein,  Acyltransferase,  Mitochondrion, Direct protein sequencing,  Transit peptide,  Transferase"
Q61753,"Acetylation,  Oxidoreductase,  Reference proteome, Serine biosynthesis,  Ubl conjugation,  Direct protein sequencing,  Phosphoprotein,  NAD, Isopeptide bond,  Amino-acid biosynthesis"
Q9DCX2,"Acetylation, Reference proteome,  Transport,  Direct protein sequencing,  Mitochondrion,  Mitochondrion inner membrane,  CF(0),  Membrane,  Hydrogen ion transport, Ion transport"
Q91ZA3,"Acetylation,  Biotin,  Metal-binding, Lipid metabolism, Nucleotide-binding,  ATP-binding,  Reference proteome,  Phosphoprotein,  Mitochondrion,  Lipid degradation,  Transit peptide,  Magnesium,  Ligase"
Q8K183,"Acetylation,  Metal-binding,  Zinc,  Nucleotide-binding, Magnesium,  ATP-binding, Reference proteome,  Direct protein sequencing,  Sodium,  Phosphoprotein,  Kinase,  Cytoplasm,  Transferase"
Q99LX0,"Lipoprotein,  Inflammatory response,  Reference proteome, Tumor suppressor,  RNA-binding, Direct protein sequencing,  Oxidation,  Cell membrane,  Hydrolase, Fertilization,  Protease,  DNA repair, Acetylation,  Mitochondrion,  Membrane,  Stress response,  Nucleus,  Zymogen,  Autophagy,  Endoplasmic reticulum,  Copper,  Palmitate,  Ubl conjugation, Phosphoprotein,  Chaperone,  Isopeptide bond,  DNA damage,  Cytoplasm"
P09411," Reference proteome,  Acetylation, Nucleotide-binding,  ATP-binding,  Hydroxylation,  Phosphoprotein, 3D-structure, Direct protein sequencing,  Glycolysis,  Kinase,  Cytoplasm,  Transferase"
Q64521," Reference proteome,  Oxidoreductase,  Repeat,  Flavoprotein,  FAD, Calcium,  Direct protein sequencing, Phosphoprotein, Metal-binding,  Mitochondrion,  Mitochondrion inner membrane,  Membrane,  Transit peptide"
Q63932," Metal-binding,  Reference proteome,  Acetylation, Serine/threonine-protein kinase, Nucleotide-binding,  ATP-binding,  Tyrosine-protein kinase,  Magnesium,  Phosphoprotein, 3D-structure, Direct protein sequencing,  Membrane,  Kinase,  Cytoplasm,  Transferase"
P09671,"Acetylation,  Metal-binding,  Oxidoreductase,  Reference proteome, Transit peptide,  Ubl conjugation,  Direct protein sequencing,  Nitration,  Manganese, Mitochondrion"
Q01853," DNA repair,  Autophagy,  Reference proteome,  Acetylation,  Nucleotide-binding,  Lipid-binding,  ATP-binding, Hydrolase, Nucleus,  Ubl conjugation,  Isopeptide bond,  Phosphoprotein, 3D-structure,  DNA damage, Direct protein sequencing, Ubl conjugation pathway,  Endoplasmic reticulum,  Transport,  Cytoplasm,  Methylation"
P40142,"Acetylation,  Metal-binding,  Reference proteome,  Ubl conjugation, Magnesium,  Direct protein sequencing,  Isopeptide bond,  Phosphoprotein, Thiamine pyrophosphate,  Calcium,  Transferase"
Q3U0V1," Nucleus, Transcription regulation, Acetylation, mRNA processing,  Repeat, Reference proteome,  Ubl conjugation,  mRNA splicing,  Isopeptide bond,  mRNA transport,  Phosphoprotein,  RNA-binding,  Transcription,  DNA-binding,  Transport,  Cytoplasm,  Methylation"
Q3THS6," Potassium, Acetylation,  Metal-binding, Reference proteome, Nucleotide-binding,  ATP-binding,  Ubl conjugation,  Isopeptide bond,  One-carbon metabolism,  Phosphoprotein,  Magnesium,  Transferase"
P17183,"Acetylation,  Reference proteome,  Ubl conjugation,  Hydroxylation,  Direct protein sequencing,  Isopeptide bond, Glycolysis,  Lyase, Metal-binding,  Phosphoprotein,  Membrane,  Cell membrane,  Magnesium,  Cytoplasm"
P63085," Nucleus, Acetylation,  Cytoskeleton,  Reference proteome,  Nucleotide-binding,  Ubl conjugation,  ATP-binding,  Cell cycle,  Serine/threonine-protein kinase, Phosphoprotein, Transferase, Direct protein sequencing,  Membrane,  Kinase,  Cytoplasm,  Apoptosis"
P68373,"Acetylation,  Cytoskeleton,  Reference proteome,  Nucleotide-binding,  Microtubule,  Direct protein sequencing, Phosphoprotein,  Nitration, GTP-binding,  Cytoplasm,  Methylation"
Q8BVI4," Reference proteome,  Oxidoreductase, Direct protein sequencing,  NADP, Tetrahydrobiopterin biosynthesis"
Q9CWS0,"Acetylation,  Metal-binding,  Reference proteome,  S-nitrosylation, Phosphoprotein,  Direct protein sequencing,  Hydrolase,  Zinc"
P18760,"Acetylation,  Actin-binding,  Reference proteome, Nucleus,  Ubl conjugation,  Direct protein sequencing,  Isopeptide bond, Cytoskeleton,  Phosphoprotein,  Membrane,  Cell membrane,  Cytoplasm,  Cell projection"
P00493,"Acetylation,  Metal-binding,  Reference proteome,  Nucleotide-binding,  Purine salvage,  Glycosyltransferase,  Direct protein sequencing, Phosphoprotein, Isopeptide bond,  Magnesium, Ubl conjugation,  Cytoplasm,  Transferase"
Q61206,"Acetylation,  Reference proteome,  Direct protein sequencing, Lipid degradation,  Phosphoprotein,  Hydrolase,  Lipid metabolism,  Cytoplasm"
P47753,"Acetylation,  Actin-binding,  Cytoskeleton,  Reference proteome,  Actin capping,  Phosphoprotein, Direct protein sequencing,  Cytoplasm"
Q9QUM9," Nucleus,  Reference proteome,  Acetylation,  Proteasome,  Direct protein sequencing, Glycoprotein,  Phosphoprotein, 3D-structure,  Cytoplasm"
P15105," Reference proteome,  Lipoprotein, Magnesium,  ATP-binding, Direct protein sequencing,  Cell membrane,  Ligase,  Angiogenesis, Acetylation,  Microsome,  Mitochondrion,  Membrane,  Manganese,  Endoplasmic reticulum,  Palmitate,  Metal-binding,  Ubl conjugation, Nucleotide-binding, Transferase,  Phosphoprotein,  Cytoplasm"
