Q9CWB1," Hydroxylation,  Translation regulation,  Potassium,  Metal-binding,  Direct protein sequencing, Acetylation,  Ubl conjugation,  Pyruvate, Isopeptide bond,  Glycolysis,  Methylation,  Nucleus,  Allosteric enzyme, Nucleotide-binding,  Magnesium,  Transferase,  Alternative splicing,  Kinase, Reference proteome,  ATP-binding, Cytoplasm,  Phosphoprotein"
P16125," Direct protein sequencing,  Reference proteome,  Oxidoreductase, Phosphoprotein, Acetylation,  Cytoplasm,  NAD"
P60710," Nucleotide-binding,  ATP-binding,  Methylation,  Nucleus,  Reference proteome, Acetylation, Direct protein sequencing,  Cytoplasm,  Cytoskeleton, Oxidation,  Ubl conjugation"
P80316," Nucleotide-binding,  Isopeptide bond, Direct protein sequencing,  ATP-binding,  Chaperone,  Reference proteome, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton,  Ubl conjugation"
Q8K183," Metal-binding, Magnesium,  Nucleotide-binding,  Kinase, Reference proteome,  ATP-binding,  Direct protein sequencing,  Phosphoprotein,  Zinc, Acetylation,  Cytoplasm,  Sodium,  Transferase"
P68368," Nitration,  Nucleotide-binding, GTP-binding,  Direct protein sequencing,  Methylation,  Reference proteome,  Microtubule, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton"
Q7TMM9," Nucleotide-binding,  Isopeptide bond, GTP-binding,  Direct protein sequencing,  Methylation,  Reference proteome,  Microtubule, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton,  Ubl conjugation"
P28663," ER-Golgi transport,  Membrane, Reference proteome, Direct protein sequencing,  Protein transport,  Transport"
Q01853,"3D-structure,  Nucleotide-binding,  Isopeptide bond,  Lipid-binding,  Autophagy,  ATP-binding, Hydrolase,  DNA damage, Nucleus,  Methylation,  Acetylation,  Phosphoprotein,  Reference proteome,  DNA repair,  Endoplasmic reticulum, Direct protein sequencing,  Cytoplasm,  Transport, Ubl conjugation pathway,  Ubl conjugation"
Q61029," Chromosome,  Ubl conjugation,  Membrane,  Nucleus,  Citrullination,  Phosphoprotein, Acetylation,  DNA-binding, Methylation,  Reference proteome,  Signal-anchor, Transmembrane, Direct protein sequencing,  Isopeptide bond,  Transmembrane helix,  Alternative splicing"
P26443," Mitochondrion,  ADP-ribosylation,  ATP-binding,  Direct protein sequencing,  Phosphoprotein,  Reference proteome,  Oxidoreductase,  NADP, Acetylation, Nucleotide-binding,  GTP-binding, Transit peptide, Endoplasmic reticulum"
P09103," Membrane,  Cell membrane,  Chaperone,  Phosphoprotein,  Reference proteome,  Signal,  Disulfide bond, Redox-active center, Acetylation,  Isomerase, Endoplasmic reticulum,  Repeat"
P14211,"3D-structure,  Metal-binding,  Sarcoplasmic reticulum, Disulfide bond, Reference proteome,  Direct protein sequencing,  Chaperone,  Calcium,  Lectin,  Acetylation,  Endoplasmic reticulum,  Zinc,  Signal,  Repeat"
P17183," Isopeptide bond,  Membrane,  Hydroxylation,  Cell membrane,  Direct protein sequencing,  Phosphoprotein,  Reference proteome,  Lyase, Acetylation,  Cytoplasm,  Magnesium, Metal-binding, Glycolysis,  Ubl conjugation"
P08113," Nucleotide-binding,  Sarcoplasmic reticulum, Disulfide bond,  ATP-binding,  Glycoprotein,  Direct protein sequencing,  Chaperone,  Calcium,  Reference proteome,  Endoplasmic reticulum, Phosphoprotein, Acetylation,  Signal"
P63085," Cell cycle,  Nucleotide-binding, Direct protein sequencing,  Apoptosis,  Kinase,  Membrane,  ATP-binding, Transferase,  Nucleus,  Reference proteome,  Serine/threonine-protein kinase, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton,  Ubl conjugation"
Q9D6R2," Metal-binding,  Mitochondrion,  Transit peptide, Tricarboxylic acid cycle, Manganese,  Direct protein sequencing,  Reference proteome,  Oxidoreductase, Phosphoprotein, Acetylation,  Magnesium,  NAD,  Alternative splicing"
