,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"cytoplasm ISO, cilium IDA, photoreceptor inner segment IDA, mitochondrion HDA, collagen-containing extracellular matrix HDA, myelin sheath HDA, nucleus ISO, cytosol ISO, pyruvate kinase complex ISO, rough endoplasmic reticulum IDA","GO:0005737, GO:0043209, GO:1902912, GO:0001917, GO:0005634, GO:0005739, GO:0005791, GO:0062023, GO:0005929, GO:0005829","ADP binding ISO, potassium ion binding IEA, ATP binding IEA, magnesium ion binding IEA, thyroid hormone binding ISO, mRNA binding IDA, kinase activity IEA, pyruvate kinase activity IDA, identical protein binding ISO","GO:0030955, GO:0016301, GO:0070324, GO:0003729, GO:0000287, GO:0005524, GO:0042802, GO:0004743, GO:0043531","skeletal muscle tissue regeneration ISO, animal organ regeneration ISO, cellular response to insulin stimulus IBA, pyruvate biosynthetic process ISO, ATP biosynthetic process ISO, programmed cell death ISO, positive regulation of cytoplasmic translation IDA, glucose metabolic process ISO, liver development ISO, positive regulation of sprouting angiogenesis ISS, glycolytic process IDA","GO:1903672, GO:0006096, GO:0043403, GO:0042866, GO:0031100, GO:0032869, GO:2000767, GO:0001889, GO:0006754, GO:0012501, GO:0006006"," Alternative splicing, Reference proteome,  ATP-binding,  Direct protein sequencing,  Transferase,  Potassium, Acetylation,  Pyruvate,  Glycolysis,  Nucleus, Cytoplasm, Isopeptide bond,  Magnesium,  Metal-binding,  Ubl conjugation, Nucleotide-binding,  Hydroxylation,  Allosteric enzyme,  Translation regulation,  Phosphoprotein,  Kinase,  Methylation","GO:0009987, GO:0065007, GO:0050896, GO:0008152, GO:0040007, GO:0032502","GO:0003824, GO:0005488","GO:0030312, GO:0042995, GO:0005622, GO:0043226, GO:1902494"
1,Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"pyruvate dehydrogenase complex ISS, mitochondrial pyruvate dehydrogenase complex IBA, mitochondrion HDA, nucleoplasm ISO","GO:0005739, GO:0005967, GO:0045254, GO:0005654","pyruvate dehydrogenase (NAD+) activity IEA, pyruvate dehydrogenase (acetyl-transferring) activity ISS","GO:0034604, GO:0004739","mitochondrial acetyl-CoA biosynthetic process from pyruvate ISO, acetyl-CoA biosynthetic process from pyruvate ISS, glucose metabolic process IEA, tricarboxylic acid cycle IEA","GO:0006086, GO:0061732, GO:0006099, GO:0006006","Pyruvate, Acetylation, Glucose metabolism,  Oxidoreductase,  Reference proteome,  Thiamine pyrophosphate,  Direct protein sequencing,  Phosphoprotein,  Mitochondrion,  Transit peptide, Tricarboxylic acid cycle,  Carbohydrate metabolism","GO:0009987, GO:0008152",GO:0003824,"GO:0005622, GO:1902494, GO:0098798, GO:0043226"
2,P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"mitochondrion HDA, membrane raft ISO, myelin sheath HDA, cytosol ISO","GO:0045121, GO:0005739, GO:0005829, GO:0043209","kinase binding ISO, lactate dehydrogenase activity ISO, NAD binding ISO, L-lactate dehydrogenase activity IDA, identical protein binding ISO","GO:0019900, GO:0051287, GO:0042802, GO:0004457, GO:0004459","lactate biosynthetic process from pyruvate IC, NAD metabolic process ISO, carbohydrate metabolic process IEA, lactate metabolic process ISO","GO:0006089, GO:0019244, GO:0019674, GO:0005975","Acetylation,  Oxidoreductase,  Reference proteome,  Direct protein sequencing, Phosphoprotein,  NAD,  Cytoplasm","GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0005622, GO:0043226, GO:0016020"
3,Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"mitochondrion HDA, myelin sheath HDA, oxoglutarate dehydrogenase complex ISS, nucleus ISS, mitochondrial matrix IEA, plasma membrane ISO, intracellular membrane-bounded organelle ISO","GO:0043209, GO:0005634, GO:0005759, GO:0005739, GO:0045252, GO:0043231, GO:0005886","heat shock protein binding ISO, chaperone binding ISO, dihydrolipoyllysine-residue succinyltransferase activity ISS, transferase activity, transferring acyl groups ISS","GO:0031072, GO:0004149, GO:0051087, GO:0016746","NADH metabolic process ISO, histone succinylation ISS, tricarboxylic acid cycle ISS, L-lysine catabolic process to acetyl-CoA via saccharopine IEA, succinyl-CoA metabolic process ISS, 2-oxoglutarate metabolic process ISS","GO:0006734, GO:0033512, GO:0006099, GO:0106077, GO:0006103, GO:0006104"," Nucleus,  Tricarboxylic acid cycle, Acetylation,  Alternative splicing, Reference proteome,  Lipoyl,  Phosphoprotein,  Acyltransferase,  Mitochondrion, Direct protein sequencing,  Transit peptide,  Transferase","GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0045239, GO:0031974, GO:0005622, GO:0043226, GO:1902494, GO:0016020"
4,Q61753,SERA_MOUSE,D-3-phosphoglycerate dehydrogenase,Mus musculus (Mouse),myelin sheath HDA,GO:0043209,"NAD binding IEA, phosphoglycerate dehydrogenase activity ISO","GO:0051287, GO:0004617","L-serine metabolic process IMP, cellular amino acid metabolic process IBA, L-serine biosynthetic process IEA, glutamine metabolic process IMP, neuron projection development IMP, glycine metabolic process IMP, regulation of gene expression IMP, neurogenesis IMP, taurine metabolic process IMP, threonine metabolic process IMP, neural tube development IMP, G1 to G0 transition IMP, spinal cord development IMP, glial cell development IMP, gamma-aminobutyric acid metabolic process IMP","GO:0006564, GO:0031175, GO:0006544, GO:0021915, GO:0021782, GO:0006520, GO:0009448, GO:0006541, GO:0006563, GO:0021510, GO:0006566, GO:0022008, GO:0070314, GO:0019530, GO:0010468","Acetylation,  Oxidoreductase,  Reference proteome, Serine biosynthesis,  Ubl conjugation,  Direct protein sequencing,  Phosphoprotein,  NAD, Isopeptide bond,  Amino-acid biosynthesis","GO:0009987, GO:0032502, GO:0008152, GO:0065007","GO:0003824, GO:0005488",
5,Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"mitochondrial inner membrane HDA, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) ISO, mitochondrion IDA, myelin sheath HDA, mitochondrial proton-transporting ATP synthase complex ISS, mitochondrial proton-transporting ATP synthase, stator stalk IBA","GO:0000274, GO:0043209, GO:0005739, GO:0000276, GO:0005743, GO:0005753","protein-containing complex binding ISO, proton-transporting ATP synthase activity, rotational mechanism IEA","GO:0046933, GO:0044877","mitochondrial ATP synthesis coupled proton transport ISO, ATP metabolic process ISO, ATP synthesis coupled proton transport IBA","GO:0046034, GO:0042776, GO:0015986","Acetylation, Reference proteome,  Transport,  Direct protein sequencing,  Mitochondrion,  Mitochondrion inner membrane,  CF(0),  Membrane,  Hydrogen ion transport, Ion transport","GO:0009987, GO:0051179, GO:0008152","GO:0005215, GO:0003824, GO:0005488","GO:0005622, GO:0043226, GO:0098798, GO:0098796, GO:0016020"
6,Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),"mitochondrion HDA, mitochondrial matrix ISS","GO:0005759, GO:0005739","ATP binding IEA, CoA carboxylase activity IBA, enzyme binding ISO, propionyl-CoA carboxylase activity IMP, metal ion binding IEA","GO:0004658, GO:0005524, GO:0046872, GO:0016421, GO:0019899",lipid catabolic process IEA,GO:0016042,"Acetylation,  Biotin,  Metal-binding, Lipid metabolism, Nucleotide-binding,  ATP-binding,  Reference proteome,  Phosphoprotein,  Mitochondrion,  Lipid degradation,  Transit peptide,  Magnesium,  Ligase",GO:0008152,"GO:0003824, GO:0005488","GO:0005622, GO:0031974, GO:0043226"
7,Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"cytosol IBA, nucleoplasm ISO","GO:0005829, GO:0005654","potassium ion binding ISO, lithium ion binding ISO, ATP binding ISO, protein homodimerization activity ISO, drug binding ISO, sodium ion binding ISO, zinc ion binding ISO, magnesium ion binding ISO, pyridoxal kinase activity ISO, pyridoxal phosphate binding ISO, pyridoxal binding ISO","GO:0030955, GO:0031403, GO:0000287, GO:0042803, GO:0005524, GO:0031402, GO:0008270, GO:0030170, GO:0008478, GO:0008144, GO:0070280","pyridoxal phosphate biosynthetic process ISO, negative regulation of apoptotic process ISO, pyridoxal 5'-phosphate salvage ISO","GO:0043066, GO:0009443, GO:0042823","Acetylation,  Metal-binding,  Zinc,  Nucleotide-binding, Magnesium,  ATP-binding, Reference proteome,  Direct protein sequencing,  Sodium,  Phosphoprotein,  Kinase,  Cytoplasm,  Transferase","GO:0009987, GO:0008152, GO:0065007","GO:0003824, GO:0005488",
8,Q99LX0,FT,Parkinson disease protein 7 homolog {ECO:0000305},Mus musculus (Mouse),"cytoplasm ISS, chromatin ISO, cytosol IDA, mitochondrion IDA, perinuclear region of cytoplasm ISO, presynapse IEA, membrane raft ISO, PML body ISO, nucleoplasm ISO, cell body IDA, mitochondrial matrix IDA, neuron projection IDA, plasma membrane IEA, sperm head ISO, axon ISO, mitochondrial intermembrane space IDA, endoplasmic reticulum IDA, nucleus IDA","GO:0005737, GO:0044297, GO:0000785, GO:0043005, GO:0005783, GO:0098793, GO:0045121, GO:0005759, GO:0005739, GO:0005634, GO:0005758, GO:0005654, GO:0030424, GO:0061827, GO:0005886, GO:0016605, GO:0005829, GO:0048471","mercury ion binding ISS, peroxiredoxin activity IMP, small protein activating enzyme binding ISO, transcription coactivator activity ISO, L-dopa decarboxylase activator activity ISO, scaffold protein binding ISO, cytokine binding ISO, cupric ion binding ISO, protein deglycase activity IBA, signaling receptor binding ISO, repressing transcription factor binding ISO, transcription factor binding ISO, protein-containing complex binding ISO, identical protein binding ISO, peptidase activity ISS, ubiquitin-like protein conjugating enzyme binding ISO, ubiquitin-specific protease binding ISO, cuprous ion binding ISO, copper ion binding ISS, oxidoreductase activity, acting on peroxide as acceptor ISO, kinase binding ISO, superoxide dismutase copper chaperone activity ISO, enzyme binding ISO, protein homodimerization activity ISS, tyrosine 3-monooxygenase activator activity ISO, glyoxalase (glycolic acid-forming) activity ISS, androgen receptor binding ISO, RNA binding TAS, mRNA binding ISS","GO:0036478, GO:1903135, GO:0008233, GO:1990422, GO:0016532, GO:0019900, GO:0003729, GO:0019955, GO:0005102, GO:0042802, GO:0016684, GO:0070491, GO:0050681, GO:0036470, GO:0008134, GO:0003713, GO:0005507, GO:0045340, GO:0019899, GO:1990381, GO:0042803, GO:0097110, GO:0036524, GO:0044877, GO:1903136, GO:0044390, GO:0044388, GO:0051920, GO:0003723","positive regulation of superoxide dismutase activity ISO, peptidyl-arginine deglycation ISS, DNA repair ISS, negative regulation of apoptotic process IMP, glyoxal metabolic process IDA, positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway IMP, negative regulation of protein sumoylation ISO, peptidyl-lysine deglycation ISO, protein deglycosylation ISS, positive regulation of androgen receptor activity ISO, guanine deglycation, glyoxal removal ISS, guanine deglycation, methylglyoxal removal ISS, response to hydrogen peroxide IDA, positive regulation of tyrosine 3-monooxygenase activity ISO, negative regulation of neuron apoptotic process ISO, negative regulation of protein export from nucleus ISO, positive regulation of pyrroline-5-carboxylate reductase activity ISO, negative regulation of protein catabolic process IMP, cellular response to oxidative stress IMP, positive regulation of reactive oxygen species biosynthetic process IDA, negative regulation of NMDA glutamate receptor activity ISO, positive regulation of protein localization to nucleus ISO, negative regulation of TRAIL-activated apoptotic signaling pathway ISO, membrane hyperpolarization IMP, protein deglycation, methylglyoxal removal ISS, cellular detoxification of methylglyoxal ISS, positive regulation of acute inflammatory response to antigenic stimulus IMP, histone modification ISS, negative regulation of ubiquitin-specific protease activity ISO, guanine deglycation ISS, cellular response to glyoxal IMP, autophagy IEA, regulation of androgen receptor signaling pathway ISO, regulation of inflammatory response IMP, positive regulation of interleukin-8 production ISO, membrane depolarization IMP, negative regulation of oxidative stress-induced cell death ISO, negative regulation of gene expression ISO, protein stabilization IMP, glutathione deglycation ISO, glycolate biosynthetic process IDA, negative regulation of oxidative stress-induced neuron death IMP, synaptic transmission, dopaminergic IMP, lactate biosynthetic process ISO, negative regulation of cell death IMP, single fertilization IEA, negative regulation of protein ubiquitination IMP, negative regulation of protein phosphorylation ISO, negative regulation of ubiquitin-protein transferase activity ISO, mitochondrion organization IMP, protein deglycation, glyoxal removal ISO, detoxification of mercury ion IMP, regulation of histone acetylation ISS, hydrogen peroxide metabolic process IMP, negative regulation of reactive oxygen species biosynthetic process IMP, negative regulation of proteasomal ubiquitin-dependent protein catabolic process ISO, regulation of histone ubiquitination ISS, positive regulation of DNA-binding transcription factor activity ISO, regulation of mitochondrial membrane potential ISO, positive regulation of fertilization ISO, negative regulation of extrinsic apoptotic signaling pathway ISO, cellular response to reactive oxygen species IMP, dopamine uptake involved in synaptic transmission IMP, positive regulation of NAD(P)H oxidase activity IMP, glucose homeostasis IMP, negative regulation of hydrogen peroxide-induced neuron death IMP, negative regulation of protein binding ISS, negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway ISO, cellular detoxification of aldehyde ISS, regulation of neuron apoptotic process ISS, positive regulation of transcription regulatory region DNA binding ISO, inflammatory response IEA, methylglyoxal catabolic process to lactate ISS, positive regulation of peptidyl-serine phosphorylation ISO, positive regulation of L-dopa decarboxylase activity ISO, adult locomotory behavior IMP, negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway ISO, negative regulation of protein kinase activity ISO, negative regulation of protein K48-linked deubiquitination ISO, positive regulation of L-dopa biosynthetic process ISO, positive regulation of mitochondrial electron transport, NADH to ubiquinone IMP, positive regulation of dopamine biosynthetic process ISO, positive regulation of oxidative phosphorylation uncoupler activity IMP, positive regulation of gene expression IMP, cellular response to hydrogen peroxide IMP, positive regulation of transcription by RNA polymerase II IMP, insulin secretion IMP, positive regulation of protein-containing complex assembly ISO, response to oxidative stress ISO, negative regulation of neuron death ISO, negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway ISO, negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway IMP, detoxification of copper ion IMP, peptidyl-cysteine deglycation ISO, negative regulation of hydrogen peroxide-induced cell death ISO, negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway IMP, negative regulation of protein acetylation ISO, enzyme active site formation via L-cysteine sulfinic acid IMP","GO:0032091, GO:0035065, GO:2001268, GO:0042593, GO:1903189, GO:0036529, GO:1903094, GO:0018323, GO:0110095, GO:1901671, GO:1903122, GO:0007005, GO:1903377, GO:2000825, GO:1901215, GO:0010628, GO:0050821, GO:0060081, GO:0002866, GO:0033864, GO:0036471, GO:1905259, GO:0034614, GO:0006914, GO:0001933, GO:1903197, GO:0033182, GO:0042542, GO:2000679, GO:0016570, GO:0019249, GO:0036531, GO:0010273, GO:1901984, GO:1903181, GO:0030073, GO:0051583, GO:0006517, GO:0050787, GO:0061727, GO:0106046, GO:1903206, GO:0036526, GO:0051444, GO:0106044, GO:0051881, GO:2000157, GO:0031397, GO:1903428, GO:1902958, GO:0008344, GO:2000277, GO:0046826, GO:0033138, GO:1903178, GO:0051091, GO:0006954, GO:2001237, GO:0036528, GO:0036527, GO:1905516, GO:1903204, GO:0043523, GO:0060765, GO:1903427, GO:0042743, GO:0031334, GO:0036530, GO:1904782, GO:0033234, GO:1903200, GO:1902177, GO:0043066, GO:1903168, GO:0045944, GO:0140041, GO:0034599, GO:1903202, GO:0032435, GO:0001963, GO:0060548, GO:0050727, GO:0006281, GO:1900182, GO:0043524, GO:1903384, GO:0106045, GO:0010629, GO:0007338, GO:1903208, GO:0070301, GO:0046295, GO:0032757, GO:0051899, GO:0042177, GO:1902236, GO:0006469, GO:0006979","Lipoprotein,  Inflammatory response,  Reference proteome, Tumor suppressor,  RNA-binding, Direct protein sequencing,  Oxidation,  Cell membrane,  Hydrolase, Fertilization,  Protease,  DNA repair, Acetylation,  Mitochondrion,  Membrane,  Stress response,  Nucleus,  Zymogen,  Autophagy,  Endoplasmic reticulum,  Copper,  Palmitate,  Ubl conjugation, Phosphoprotein,  Chaperone,  Isopeptide bond,  DNA damage,  Cytoplasm","GO:0022414, GO:0051179, GO:0009987, GO:0065007, GO:0007610, GO:0050896, GO:0032501, GO:0023052, GO:0008152, GO:0098754","GO:0140104, GO:0016209, GO:0003824, GO:0098772, GO:0140110, GO:0005488","GO:0031974, GO:0042995, GO:0005622, GO:0043226, GO:0016604, GO:0016020"
9,P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,Mus musculus (Mouse),"cytoplasm ISO, extracellular space ISO, membrane raft ISO, cytosol ISO","GO:0005737, GO:0005829, GO:0045121, GO:0005615","phosphoglycerate kinase activity IDA, ADP binding ISO, protein-disulfide reductase activity ISO, ATP binding ISS","GO:0005524, GO:0047134, GO:0004618, GO:0043531","negative regulation of angiogenesis ISO, epithelial cell differentiation IEA, plasminogen activation ISO, phosphorylation ISS, gluconeogenesis ISO, carbohydrate metabolic process ISO, cellular response to hypoxia ISO, positive regulation of oxidative phosphorylation IBA, glycolytic process IDA","GO:0006096, GO:0031639, GO:0016310, GO:1903862, GO:0006094, GO:0005975, GO:0016525, GO:0030855, GO:0071456"," Reference proteome,  Acetylation, Nucleotide-binding,  ATP-binding,  Hydroxylation,  Phosphoprotein, 3D-structure, Direct protein sequencing,  Glycolysis,  Kinase,  Cytoplasm,  Transferase","GO:0009987, GO:0065007, GO:0050896, GO:0008152, GO:0032502","GO:0003824, GO:0005488",GO:0016020
