Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
P16305_MOUSE,FT,Gamma-aminobutyric acid receptor subunit alpha-6,Mus musculus (Mouse),"neuronal cell body membrane ISO, integral component of postsynaptic specialization membrane ISO, chloride channel complex IEA, membrane ISO, neuron projection IBA, synapse IBA, integral component of plasma membrane ISO, cerebellar Golgi cell to granule cell synapse IDA, postsynaptic membrane ISO, GABA-A receptor complex IBA, receptor complex ISO, presynaptic membrane ISO, GABA-ergic synapse ISO, dendrite membrane IBA, hippocampal mossy fiber to CA3 synapse ISO, postsynapse IBA, dendrite ISO","GO:0099060, GO:0005887, GO:0098794, GO:0045202, GO:0034707, GO:1902711, GO:0098982, GO:0016020, GO:0099192, GO:0043235, GO:0030425, GO:0098686, GO:0042734, GO:0032590, GO:0043005, GO:0045211, GO:0032809","neurotransmitter receptor activity IBA, inhibitory extracellular ligand-gated ion channel activity ISO, chloride channel activity IBA, GABA-gated chloride ion channel activity IBA, transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential IDA, GABA-A receptor activity IEA, protein-containing complex binding ISO, drug binding ISO","GO:0008144, GO:0005237, GO:0022851, GO:0005254, GO:0030594, GO:0044877, GO:1904315, GO:0004890","signal transduction IBA, nervous system process IBA, chemical synaptic transmission IBA, gamma-aminobutyric acid signaling pathway IBA, ion transmembrane transport IBA, regulation of membrane potential IBA, regulation of postsynaptic membrane potential IBA, synaptic transmission, GABAergic ISO, chloride transmembrane transport IBA","GO:0007165, GO:0051932, GO:0042391, GO:0060078, GO:1902476, GO:0007214, GO:0034220, GO:0007268, GO:0050877","Transmembrane,  Phosphoprotein,  Cell junction,  Ion channel,  Cell membrane,  Glycoprotein, Alternative splicing,  Receptor,  Membrane,  Reference proteome, Postsynaptic cell membrane,  Signal,  Transport, Ligand-gated ion channel,  Chloride,  Synapse,  Transmembrane helix, Chloride channel,  Ion transport,  Disulfide bond"
O43424_MOUSE,FT,"Glutamate receptor ionotropic, delta-2",Homo sapiens (Human),"plasma membrane ISS, dendritic spine ISS, synapse ISS, glutamatergic synapse IEA, ionotropic glutamate receptor complex ISS, integral component of plasma membrane TAS, postsynaptic membrane IBA","GO:0005887, GO:0045202, GO:0005886, GO:0098978, GO:0008328, GO:0043197, GO:0045211","scaffold protein binding ISS, transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential IBA, PDZ domain binding ISS, ligand-gated ion channel activity IBA, signaling receptor activity IBA, glutamate receptor activity IBA, ionotropic glutamate receptor activity IEA","GO:0015276, GO:0004970, GO:0008066, GO:0038023, GO:0030165, GO:0097110, GO:1904315","excitatory synapse assembly IMP, positive regulation of long-term synaptic depression IMP, heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules ISS, synaptic transmission, glutamatergic ISS, cellular protein localization ISS, modulation of chemical synaptic transmission IBA, regulation of neuron projection development IEA, glutamate receptor signaling pathway TAS, regulation of neuron apoptotic process ISS, positive regulation of synapse assembly IMP, prepulse inhibition ISS, regulation of postsynaptic density assembly IEA, excitatory postsynaptic potential ISS, cerebellar granule cell differentiation ISS","GO:1904861, GO:0050804, GO:0060079, GO:0010975, GO:0035249, GO:0021707, GO:0099151, GO:0060134, GO:0034613, GO:0007157, GO:0051965, GO:0043523, GO:1900454, GO:0007215"," Receptor,  Postsynaptic cell membrane,  Membrane,  Synapse,  Ion channel,  Transmembrane,  Cell junction,  Cell membrane,  Glycoprotein, Signal,  Transport, Ligand-gated ion channel,  Transmembrane helix,  Alternative splicing, Disulfide bond,  Reference proteome,  Ion transport,  Phosphoprotein, Polymorphism, 3D-structure,  Neurodegeneration"
Q2KI00_MOUSE,F107B_BOVIN,Protein FAM107B {ECO:0000305},Bos taurus (Bovine),,,,,,,"Acetylation,  Reference proteome,  Coiled coil"
B1AUH1_MOUSE,FT,Receptor-type tyrosine-protein phosphatase U,Mus musculus (Mouse),"cell-cell junction ISO, plasma membrane IEA, integral component of membrane IEA","GO:0016021, GO:0005911, GO:0005886","beta-catenin binding IPI, protein tyrosine phosphatase activity ISO","GO:0004725, GO:0008013","protein localization to cell surface ISO, response to glucocorticoid IEA, negative regulation of canonical Wnt signaling pathway ISO, homotypic cell-cell adhesion IDA, protein dephosphorylation ISO, negative regulation of cell population proliferation ISO, animal organ regeneration IEA, negative regulation of cell migration ISO, positive regulation of cell-cell adhesion mediated by cadherin ISO, cell differentiation IEA","GO:0030336, GO:0051384, GO:0006470, GO:0034394, GO:0008285, GO:0034109, GO:0090090, GO:2000049, GO:0030154, GO:0031100"," Hydrolase,  Phosphoprotein,  Cell junction, Receptor,  Cell membrane,  Glycoprotein, Alternative splicing,  Reference proteome,  Membrane,  Signal,  Transmembrane, Differentiation,  Repeat,  Protein phosphatase, Immunoglobulin domain,  Cell adhesion, Transmembrane helix,  Disulfide bond"
O77696_MOUSE,FT,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,Sus scrofa (Pig),"sarcoplasmic reticulum membrane IBA, integral component of membrane IEA","GO:0033017, GO:0016021","ATP binding IEA, metal ion binding IEA, ATPase activity IBA, calcium transmembrane transporter activity, phosphorylative mechanism IBA, proton-exporting ATPase activity, phosphorylative mechanism IBA","GO:0005388, GO:0008553, GO:0046872, GO:0016887, GO:0005524","calcium ion transmembrane transport IBA, cellular calcium ion homeostasis IBA","GO:0006874, GO:0070588","Endoplasmic reticulum, Sarcoplasmic reticulum,  Phosphoprotein,  Transmembrane, Acetylation,  Reference proteome,  Translocase,  Magnesium, Transport,  Membrane,  Metal-binding,  ATP-binding, Nucleotide-binding,  Calcium,  Transmembrane helix,  Calcium transport,  Ion transport,  Disulfide bond"
D4A702_MOUSE,SYNP2_RAT,Synaptopodin-2,Rattus norvegicus (Rat),"actin cytoskeleton IBA, cytosol IEA, nucleoplasm IEA, stress fiber IDA, focal adhesion ISO, nucleus IDA, Z disc IDA","GO:0005634, GO:0005925, GO:0015629, GO:0030018, GO:0001725, GO:0005654, GO:0005829","filamin binding ISO, protein-macromolecule adaptor activity IMP, actin binding IBA, 14-3-3 protein binding ISS, muscle alpha-actinin binding ISS, alpha-actinin binding ISO","GO:0003779, GO:0030674, GO:0051393, GO:0031005, GO:0071889, GO:0051371","positive regulation of actin filament bundle assembly ISO, positive regulation of cell migration ISO, regulation of Rho-dependent protein serine/threonine kinase activity ISO, chaperone-mediated autophagy IMP, autophagosome assembly IMP","GO:0000045, GO:2000298, GO:0030335, GO:0061684, GO:0032233"," Nucleus,  Cell junction,  Reference proteome, Alternative splicing,  Cytoskeleton, Phosphoprotein,  Cytoplasm"
A7E2V1_MOUSE,CEP76_DANRE,Centrosomal protein of 76 kDa,Danio rerio (Zebrafish) (Brachydanio rerio),"cytoplasm IEA, centriole ISS","GO:0005814, GO:0005737",,,regulation of centriole replication ISS,GO:0046599," Cytoskeleton, Cytoplasm,  Reference proteome"
O35544_MOUSE,EAA4_MOUSE,Excitatory amino acid transporter 4,Mus musculus (Mouse),"Golgi apparatus IDA, plasma membrane ISO, integral component of postsynaptic membrane ISO, membrane protein complex ISO, membrane IDA, parallel fiber to Purkinje cell synapse ISO, intermediate filament cytoskeleton ISO, integral component of plasma membrane ISS, integral component of presynaptic membrane IDA, glutamatergic synapse IDA","GO:0005887, GO:0099055, GO:0016020, GO:0098688, GO:0099056, GO:0005886, GO:0098978, GO:0098796, GO:0045111, GO:0005794","L-glutamate transmembrane transporter activity IMP, metal ion binding IEA, anion transmembrane transporter activity ISO, high-affinity glutamate transmembrane transporter activity ISS","GO:0005314, GO:0008509, GO:0046872, GO:0005313","regulation of membrane potential IMP, L-glutamate transmembrane transport IMP, neurotransmitter uptake ISO, L-glutamate import across plasma membrane ISS","GO:0098712, GO:0015813, GO:0001504, GO:0042391"," Potassium, Metal-binding,  Phosphoprotein,  Sodium, Symport,  Cell membrane,  Glycoprotein,  Reference proteome,  Transmembrane,  Membrane, Amino-acid transport,  Transport,  Chloride,  Transmembrane helix"
O43815_MOUSE,STRN_HUMAN,Striatin,Homo sapiens (Human),"dendrite IBA, membrane ISS, dendritic spine ISS, FAR/SIN/STRIPAK complex IDA, postsynaptic membrane ISS, cytoplasm IEA, neuronal cell body ISS, postsynaptic density ISS, bicellular tight junction IDA","GO:0043025, GO:0005737, GO:0014069, GO:0090443, GO:0016020, GO:0030425, GO:0005923, GO:0043197, GO:0045211","calmodulin binding ISS, protein phosphatase 2A binding IDA, protein-containing complex binding IDA, armadillo repeat domain binding IPI, estrogen receptor binding IPI","GO:0005516, GO:0051721, GO:0030331, GO:0070016, GO:0044877","locomotory behavior ISS, bicellular tight junction assembly NAS, negative regulation of cell population proliferation IMP, dendrite development ISS, Wnt signaling pathway IMP","GO:0007626, GO:0016358, GO:0008285, GO:0016055, GO:0070830","Coiled coil,  Cell projection,  Phosphoprotein,  Calmodulin-binding,  Cell junction,  Reference proteome, Alternative splicing, Repeat,  Membrane,  WD repeat,  Cytoplasm,  Synapse"
O43610_MOUSE,SPY3_HUMAN,Protein sprouty homolog 3,Homo sapiens (Human),"cytosol IBA, membrane IEA","GO:0016020, GO:0005829",,,"negative regulation of Ras protein signal transduction IBA, animal organ development IBA, negative regulation of fibroblast growth factor receptor signaling pathway IBA, negative regulation of MAP kinase activity IBA, multicellular organism development NAS, axon development IEA","GO:0046580, GO:0061564, GO:0048513, GO:0040037, GO:0007275, GO:0043407"," Polymorphism,  Developmental protein,  Membrane, Cytoplasm, Reference proteome"
A2V9Y8_MOUSE,OXDA_MACFA,D-amino-acid oxidase,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),peroxisome IEA,GO:0005777,"D-amino-acid oxidase activity IEA, FAD binding IEA","GO:0071949, GO:0003884",D-amino acid metabolic process IEA,GO:0046416," Peroxisome,  Oxidoreductase,  Reference proteome,  Flavoprotein, FAD"
