,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"cytoplasm ISO, photoreceptor inner segment IDA, myelin sheath HDA, cilium IDA, mitochondrion HDA, collagen-containing extracellular matrix HDA, pyruvate kinase complex ISO, rough endoplasmic reticulum IDA, cytosol ISO, nucleus ISO","GO:0005739, GO:0005829, GO:0005929, GO:0005737, GO:0062023, GO:0043209, GO:0005634, GO:0005791, GO:0001917, GO:1902912","pyruvate kinase activity IDA, identical protein binding ISO, ATP binding IEA, kinase activity IEA, magnesium ion binding IEA, potassium ion binding IEA, mRNA binding IDA, thyroid hormone binding ISO, ADP binding ISO","GO:0003729, GO:0030955, GO:0004743, GO:0043531, GO:0042802, GO:0016301, GO:0070324, GO:0000287, GO:0005524","positive regulation of sprouting angiogenesis ISS, positive regulation of cytoplasmic translation IDA, cellular response to insulin stimulus IBA, animal organ regeneration ISO, pyruvate biosynthetic process ISO, liver development ISO, skeletal muscle tissue regeneration ISO, ATP biosynthetic process ISO, programmed cell death ISO, glucose metabolic process ISO, glycolytic process IDA","GO:0032869, GO:0001889, GO:0006754, GO:0006006, GO:0042866, GO:1903672, GO:0043403, GO:2000767, GO:0006096, GO:0031100, GO:0012501"," Hydroxylation,  Translation regulation,  Potassium,  Metal-binding,  Direct protein sequencing, Acetylation,  Ubl conjugation,  Pyruvate, Isopeptide bond,  Glycolysis,  Methylation,  Nucleus,  Allosteric enzyme, Nucleotide-binding,  Magnesium,  Transferase,  Alternative splicing,  Kinase, Reference proteome,  ATP-binding, Cytoplasm,  Phosphoprotein","GO:0040007, GO:0050896, GO:0008152, GO:0032502, GO:0009987, GO:0065007","GO:0005488, GO:0003824","GO:0043226, GO:0042995, GO:0030312, GO:1902494, GO:0005622"
1,P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"mitochondrion HDA, myelin sheath HDA, cytosol ISO, membrane raft ISO","GO:0005739, GO:0005829, GO:0045121, GO:0043209","identical protein binding ISO, NAD binding ISO, L-lactate dehydrogenase activity IDA, lactate dehydrogenase activity ISO, kinase binding ISO","GO:0004457, GO:0004459, GO:0042802, GO:0019900, GO:0051287","NAD metabolic process ISO, lactate metabolic process ISO, carbohydrate metabolic process IEA, lactate biosynthetic process from pyruvate IC","GO:0019244, GO:0006089, GO:0019674, GO:0005975"," Direct protein sequencing,  Reference proteome,  Oxidoreductase, Phosphoprotein, Acetylation,  Cytoplasm,  NAD","GO:0008152, GO:0009987","GO:0005488, GO:0003824","GO:0016020, GO:0043226, GO:0005622"
2,P60710,ACTB_MOUSE,"Actin, cytoplasmic 1",Mus musculus (Mouse),"stress fiber ISO, postsynaptic density ISO, protein-containing complex ISS, cytoplasmic ribonucleoprotein granule ISO, glutamatergic synapse ISO, membrane IBA, podosome ISO, membrane raft ISO, NuA4 histone acetyltransferase complex ISO, cell-cell junction ISO, cortical cytoskeleton IDA, cytoplasm IDA, cytosol IDA, actin cytoskeleton ISS, myelin sheath HDA, postsynaptic actin cytoskeleton ISO, plasma membrane ISS, axon ISO, dense body ISS, actin filament IBA, apical junction complex ISO, cytoskeleton IDA, ribonucleoprotein complex ISO, lamellipodium ISO, synapse IBA, nucleus ISS, adherens junction ISO, focal adhesion ISS, tight junction ISO","GO:0030027, GO:0070160, GO:0005886, GO:0045202, GO:0035267, GO:0043209, GO:0001725, GO:0097433, GO:0005884, GO:0005911, GO:0098871, GO:0045121, GO:0043296, GO:0030863, GO:0005634, GO:0032991, GO:0015629, GO:0005925, GO:0005829, GO:0036464, GO:0030424, GO:0005737, GO:0002102, GO:1990904, GO:0098978, GO:0005856, GO:0016020, GO:0005912, GO:0014069","kinesin binding ISO, identical protein binding ISO, ATP binding IEA, structural constituent of postsynaptic actin cytoskeleton ISO, protein kinase binding ISO, Tat protein binding ISO, nitric-oxide synthase binding ISO","GO:0042802, GO:0050998, GO:0019894, GO:0019901, GO:0098973, GO:0030957, GO:0005524","regulation of protein localization to plasma membrane ISO, regulation of norepinephrine uptake ISO, axonogenesis ISO, postsynaptic actin cytoskeleton organization ISO, regulation of transepithelial transport ISO, protein localization to adherens junction ISO, morphogenesis of a polarized epithelium ISO, regulation of transmembrane transporter activity ISO, cellular response to cytochalasin B ISO, cellular response to electrical stimulus ISO, regulation of cyclin-dependent protein serine/threonine kinase activity ISO, adherens junction assembly ISO, establishment or maintenance of cell polarity ISO, apical protein localization ISO, negative regulation of protein binding IDA, negative regulation of cyclin-dependent protein kinase activity IC, cell motility ISO","GO:0150111, GO:0007163, GO:0001738, GO:1903076, GO:0032091, GO:0071896, GO:0000079, GO:0022898, GO:0045176, GO:0072749, GO:0007409, GO:0071257, GO:0051621, GO:0048870, GO:1904030, GO:0034333, GO:0098974"," Nucleotide-binding,  ATP-binding,  Methylation,  Nucleus,  Reference proteome, Acetylation, Direct protein sequencing,  Cytoplasm,  Cytoskeleton, Oxidation,  Ubl conjugation","GO:0051179, GO:0050896, GO:0040011, GO:0032502, GO:0009987, GO:0065007","GO:0005488, GO:0005198","GO:0140513, GO:0043226, GO:0042995, GO:0140535, GO:0042641, GO:0099080, GO:1902494, GO:0005622, GO:0032432, GO:0016020, GO:0030054"
3,P80316,TCPE_MOUSE,T-complex protein 1 subunit epsilon,Mus musculus (Mouse),"microtubule ISO, myelin sheath HDA, cell body IDA, chaperonin-containing T-complex IDA, centrosome ISO","GO:0005874, GO:0005813, GO:0005832, GO:0043209, GO:0044297","G-protein beta-subunit binding ISS, ATP binding IEA, mRNA 5'-UTR binding ISO, unfolded protein binding IBA, beta-tubulin binding ISO, mRNA 3'-UTR binding ISO","GO:0003730, GO:0048027, GO:0051082, GO:0048487, GO:0005524, GO:0031681","protein folding IBA, toxin transport IMP, positive regulation of establishment of protein localization to telomere ISO, protein stabilization ISO, binding of sperm to zona pellucida IDA, positive regulation of telomere maintenance via telomerase ISO, response to virus IEA","GO:0006457, GO:0050821, GO:0009615, GO:1901998, GO:0007339, GO:1904851, GO:0032212"," Nucleotide-binding,  Isopeptide bond, Direct protein sequencing,  ATP-binding,  Chaperone,  Reference proteome, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton,  Ubl conjugation","GO:0022414, GO:0051179, GO:0044419, GO:0050896, GO:0009987, GO:0065007",GO:0005488,"GO:0099080, GO:0005815, GO:0101031"
4,Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"cytosol IBA, nucleoplasm ISO","GO:0005829, GO:0005654","lithium ion binding ISO, pyridoxal kinase activity ISO, protein homodimerization activity ISO, potassium ion binding ISO, pyridoxal binding ISO, zinc ion binding ISO, drug binding ISO, pyridoxal phosphate binding ISO, sodium ion binding ISO, magnesium ion binding ISO, ATP binding ISO","GO:0030955, GO:0008270, GO:0008478, GO:0031403, GO:0008144, GO:0042803, GO:0031402, GO:0030170, GO:0070280, GO:0000287, GO:0005524","negative regulation of apoptotic process ISO, pyridoxal 5'-phosphate salvage ISO, pyridoxal phosphate biosynthetic process ISO","GO:0043066, GO:0042823, GO:0009443"," Metal-binding, Magnesium,  Nucleotide-binding,  Kinase, Reference proteome,  ATP-binding,  Direct protein sequencing,  Phosphoprotein,  Zinc, Acetylation,  Cytoplasm,  Sodium,  Transferase","GO:0008152, GO:0065007, GO:0009987","GO:0005488, GO:0003824",
5,P68368,TBA4A_MOUSE,Tubulin alpha-4A chain,Mus musculus (Mouse),"microtubule ISO, microtubule cytoskeleton ISO, cytoskeleton ISO, cytoplasm IBA","GO:0005856, GO:0015630, GO:0005737, GO:0005874","enzyme binding IPI, protein kinase binding ISO, structural constituent of cytoskeleton IBA, GTP binding IBA, GTPase activity IEA","GO:0019899, GO:0005525, GO:0005200, GO:0003924, GO:0019901","microtubule cytoskeleton organization IBA, mitotic cell cycle IBA, microtubule-based process IBA","GO:0007017, GO:0000278, GO:0000226"," Nitration,  Nucleotide-binding, GTP-binding,  Direct protein sequencing,  Methylation,  Reference proteome,  Microtubule, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton",GO:0009987,"GO:0005488, GO:0003824, GO:0005198","GO:0099080, GO:0043226, GO:0005622"
6,Q7TMM9,TBB2A_MOUSE,Tubulin beta-2A chain,Mus musculus (Mouse),"microtubule ISO, cytoplasm IBA","GO:0005737, GO:0005874","structural constituent of cytoskeleton IBA, GTP binding IBA, GTPase activity IEA","GO:0003924, GO:0005525, GO:0005200","neuron migration IBA, microtubule cytoskeleton organization IBA, mitotic cell cycle IBA, microtubule-based process IBA","GO:0007017, GO:0000278, GO:0001764, GO:0000226"," Nucleotide-binding,  Isopeptide bond, GTP-binding,  Direct protein sequencing,  Methylation,  Reference proteome,  Microtubule, Phosphoprotein, Acetylation,  Cytoplasm,  Cytoskeleton,  Ubl conjugation","GO:0009987, GO:0040011","GO:0005488, GO:0003824, GO:0005198",GO:0099080
7,P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"SNARE complex IBA, myelin sheath HDA, vacuolar membrane IBA, presynapse ISO, synaptobrevin 2-SNAP-25-syntaxin-1a complex IDA, postsynapse ISO","GO:0098794, GO:0005774, GO:0098793, GO:0043209, GO:0031201, GO:0070044","syntaxin binding IDA, SNARE binding ISO, soluble NSF attachment protein activity IBA","GO:0000149, GO:0005483, GO:0019905","regulation of synaptic vesicle priming IGI, regulation of ATPase activity ISO, synaptic transmission, glutamatergic IGI, synaptic vesicle endocytosis IC, regulation of receptor internalization ISO, SNARE complex disassembly IGI, intracellular protein transport IBA, protein-containing complex disassembly ISO","GO:0032984, GO:0010807, GO:0043462, GO:0006886, GO:0035249, GO:0035494, GO:0002090, GO:0048488"," ER-Golgi transport,  Membrane, Reference proteome, Direct protein sequencing,  Protein transport,  Transport","GO:0023052, GO:0009987, GO:0065007, GO:0051179","GO:0060090, GO:0005488","GO:0016020, GO:0098796"
8,Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase,Mus musculus (Mouse),"cytoplasm ISO, VCP-NPL4-UFD1 AAA ATPase complex IDA, protein-containing complex IPI, myelin sheath HDA, perinuclear region of cytoplasm ISO, nucleus ISO, proteasome complex ISO, ATPase complex IMP, VCP-NSFL1C complex IPI, Derlin-1 retrotranslocation complex IDA, cytoplasmic stress granule ISS, glutamatergic synapse ISO, lipid droplet ISO, synapse IDA, cytosol ISS, site of double-strand break ISS, endoplasmic reticulum membrane IDA, intracellular membrane-bounded organelle ISO, endoplasmic reticulum ISS, nucleoplasm ISO","GO:1904949, GO:0010494, GO:0005783, GO:0005789, GO:0036513, GO:0005654, GO:0034098, GO:0005829, GO:0005811, GO:1990730, GO:0005737, GO:0045202, GO:0098978, GO:0043231, GO:0043209, GO:0000502, GO:0005634, GO:0048471, GO:0032991, GO:0035861","ubiquitin-specific protease binding IPI, MHC class I protein binding IDA, ATP binding IDA, ubiquitin protein ligase binding ISO, protein domain specific binding ISO, polyubiquitin modification-dependent protein binding IDA, signaling receptor binding ISO, ubiquitin-like protein ligase binding ISO, protein-containing complex binding ISO, BAT3 complex binding ISO, K48-linked polyubiquitin modification-dependent protein binding IDA, ATPase activity IDA, lipid binding IEA, identical protein binding IPI, ADP binding IMP, deubiquitinase activator activity ISO, protein phosphatase binding ISO","GO:0005524, GO:0005102, GO:0035800, GO:0043531, GO:1904288, GO:0042802, GO:0044877, GO:0036435, GO:0031625, GO:0044389, GO:0019903, GO:0008289, GO:0031593, GO:0019904, GO:1990381, GO:0042288, GO:0016887","cellular response to heat ISS, positive regulation of protein catabolic process ISO, viral genome replication ISO, endoplasmic reticulum stress-induced pre-emptive quality control ISS, mitotic spindle disassembly IBA, flavin adenine dinucleotide catabolic process ISO, positive regulation of protein K63-linked deubiquitination ISO, proteasome-mediated ubiquitin-dependent protein catabolic process IMP, cellular response to arsenite ion ISS, regulation of synapse organization ISO, positive regulation of proteasomal ubiquitin-dependent protein catabolic process ISO, interstrand cross-link repair ISS, stress granule disassembly ISS, positive regulation of protein-containing complex assembly ISO, autophagosome maturation ISS, activation of cysteine-type endopeptidase activity involved in apoptotic process IDA, endosome to lysosome transport via multivesicular body sorting pathway ISS, retrograde protein transport, ER to cytosol IMP, double-strand break repair ISS, positive regulation of oxidative phosphorylation ISO, autophagy ISS, proteasomal protein catabolic process ISS, ER-associated misfolded protein catabolic process ISO, positive regulation of Lys63-specific deubiquitinase activity ISO, regulation of protein localization to chromatin ISS, regulation of aerobic respiration ISO, aggresome assembly IGI, cellular response to DNA damage stimulus ISS, protein ubiquitination ISS, positive regulation of canonical Wnt signaling pathway ISO, DNA repair ISS, NADH metabolic process ISO, positive regulation of ATP biosynthetic process ISO, positive regulation of mitochondrial membrane potential IMP, translesion synthesis ISS, negative regulation of smoothened signaling pathway ISO, ERAD pathway ISS, ubiquitin-dependent ERAD pathway ISS, macroautophagy ISS, ATP metabolic process IDA, endoplasmic reticulum to Golgi vesicle-mediated transport ISO, ubiquitin-dependent protein catabolic process IGI","GO:0006302, GO:0006974, GO:0071712, GO:0061857, GO:0035617, GO:0051228, GO:0030433, GO:0045879, GO:0043161, GO:0010498, GO:0036503, GO:0016567, GO:0034605, GO:0006281, GO:0072389, GO:0070842, GO:1903862, GO:0050807, GO:0006888, GO:0032510, GO:0006734, GO:1903715, GO:0031334, GO:0006919, GO:1905634, GO:0032436, GO:0019985, GO:0046034, GO:0010918, GO:0090263, GO:0019079, GO:0045732, GO:0030970, GO:1903843, GO:0036297, GO:0097352, GO:0006511, GO:0016236, GO:2001171, GO:1903006, GO:1903007, GO:0006914","3D-structure,  Nucleotide-binding,  Isopeptide bond,  Lipid-binding,  Autophagy,  ATP-binding, Hydrolase,  DNA damage, Nucleus,  Methylation,  Acetylation,  Phosphoprotein,  Reference proteome,  DNA repair,  Endoplasmic reticulum, Direct protein sequencing,  Cytoplasm,  Transport, Ubl conjugation pathway,  Ubl conjugation","GO:0051179, GO:0044419, GO:0050896, GO:0008152, GO:0009987, GO:0065007","GO:0005488, GO:0098772, GO:0003824","GO:0043226, GO:0090734, GO:0140535, GO:0099080, GO:0005622, GO:1902494, GO:0098796, GO:0016020, GO:0030054, GO:0140534"
9,Q61029,LAP2B_MOUSE,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma",Mus musculus (Mouse),"chromatin ISO, integral component of membrane IEA, nuclear inner membrane ISO, nuclear envelope IDA, nuclear membrane ISO, nucleus ISO","GO:0005635, GO:0031965, GO:0000785, GO:0005637, GO:0005634, GO:0016021",DNA binding IEA,GO:0003677,"regulation of transcription, DNA-templated IDA",GO:0006355," Chromosome,  Ubl conjugation,  Membrane,  Nucleus,  Citrullination,  Phosphoprotein, Acetylation,  DNA-binding, Methylation,  Reference proteome,  Signal-anchor, Transmembrane, Direct protein sequencing,  Isopeptide bond,  Transmembrane helix,  Alternative splicing",GO:0065007,GO:0005488,"GO:0043226, GO:0031224, GO:0031975, GO:0005622, GO:0016020"
