Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
Q6GQT1,FT,Alpha-2-macroglobulin-P,Mus musculus (Mouse),extracellular space ISO,GO:0005615,"peptidase inhibitor activity TAS, protease binding ISO, enzyme binding ISO, interleukin-8 binding ISO, signaling receptor binding ISO, identical protein binding ISO, serine-type endopeptidase inhibitor activity ISO, tumor necrosis factor binding ISO, calcium-dependent protein binding ISO, interleukin-1 binding ISO, nerve growth factor binding ISO, endopeptidase inhibitor activity ISO, growth factor binding ISO, brain-derived neurotrophic factor binding ISO","GO:0030414, GO:0004867, GO:0019899, GO:0043120, GO:0019966, GO:0042802, GO:0002020, GO:0005102, GO:0019959, GO:0048306, GO:0019838, GO:0004866, GO:0048406, GO:0048403","negative regulation of complement activation, lectin pathway ISO, stem cell differentiation IDA, female pregnancy IEA","GO:0048863, GO:0007565, GO:0001869"," Disulfide bond,  Glycoprotein, Reference proteome, Bait region,  Secreted, Thioester bond,  Pregnancy,  Protease inhibitor,  Serine protease inhibitor,  Signal"
Q61838,FT,Pregnancy zone protein,Mus musculus (Mouse),"extracellular space IEA, extracellular region TAS, collagen-containing extracellular matrix HDA","GO:0005576, GO:0062023, GO:0005615","protein-containing complex binding ISO, endopeptidase inhibitor activity IDA, serine-type endopeptidase inhibitor activity IEA, protease binding IBA, nerve growth factor binding ISO, brain-derived neurotrophic factor binding ISO","GO:0044877, GO:0002020, GO:0004867, GO:0004866, GO:0048406, GO:0048403",embryo implantation IGI,GO:0007566," Disulfide bond,  Glycoprotein,  Reference proteome, Bait region,  Secreted, Serine protease inhibitor, Protease inhibitor,  Direct protein sequencing,  Thioester bond,  Signal"
Q9D258,ACBD7_MOUSE,Acyl-CoA-binding domain-containing protein 7,Mus musculus (Mouse),,,"fatty-acyl-CoA binding IEA, lipid binding IEA","GO:0000062, GO:0008289",,,"Lipid-binding,  Reference proteome"
Q9D358,PPAC_MOUSE,Low molecular weight phosphotyrosine protein phosphatase,Mus musculus (Mouse),"cytosol IDA, cytoplasmic side of plasma membrane ISO, sarcolemma IDA, cytoplasm ISO","GO:0005829, GO:0005737, GO:0042383, GO:0009898","phosphatase activity IDA, acid phosphatase activity IDA, protein tyrosine phosphatase activity IBA, non-membrane spanning protein tyrosine phosphatase activity IEA","GO:0004726, GO:0016791, GO:0004725, GO:0003993",,," Reference proteome,  Alternative splicing,  Acetylation,  Protein phosphatase, 3D-structure,  Hydrolase, Phosphoprotein,  Cytoplasm"
Q80W40,ACSM4_MOUSE,"Acyl-coenzyme A synthetase ACSM4, mitochondrial",Mus musculus (Mouse),"mitochondrion HDA, mitochondrial matrix IBA","GO:0005759, GO:0005739","butyrate-CoA ligase activity IEA, decanoate-CoA ligase activity ISS, ATP binding IEA, acyl-CoA ligase activity IBA, metal ion binding IEA, fatty-acyl-CoA synthase activity ISO, fatty acid ligase activity ISS","GO:0102391, GO:0015645, GO:0004321, GO:0046872, GO:0003996, GO:0047760, GO:0005524","fatty acid biosynthetic process IBA, acyl-CoA metabolic process ISO","GO:0006633, GO:0006637","ATP-binding,  Reference proteome,  Mitochondrion, Transit peptide,  Ligase,  Fatty acid metabolism,  Lipid metabolism,  Nucleotide-binding,  Magnesium, Metal-binding"
P03958,ADA_MOUSE,Adenosine deaminase,Mus musculus (Mouse),"dendrite cytoplasm ISO, neuronal cell body ISO, plasma membrane ISO, cell junction IEA, lysosome ISO, cytoplasmic vesicle lumen IEA, external side of plasma membrane ISO, cell surface ISO, cytosol ISO, cytoplasm IDA, extracellular space ISO, membrane ISO","GO:0009897, GO:0005737, GO:0060205, GO:0032839, GO:0043025, GO:0005615, GO:0016020, GO:0005829, GO:0005764, GO:0009986, GO:0005886, GO:0030054","purine nucleoside binding ISO, adenosine deaminase activity IDA, zinc ion binding IDA","GO:0008270, GO:0004000, GO:0001883","positive regulation of alpha-beta T cell differentiation IMP, T cell activation ISO, positive regulation of T cell receptor signaling pathway IMP, cell adhesion IEA, negative regulation of inflammatory response IMP, placenta development IMP, lung development IMP, deoxyadenosine catabolic process IDA, negative regulation of mucus secretion IMP, liver development IMP, inosine biosynthetic process IDA, negative regulation of thymocyte apoptotic process IMP, positive regulation of heart rate IMP, positive regulation of B cell proliferation IMP, response to drug IEA, aging IEA, hypoxanthine salvage IBA, positive regulation of germinal center formation IMP, positive regulation of T cell differentiation IMP, histamine secretion ISO, positive regulation of calcium-mediated signaling IMP, hypoxanthine biosynthetic process IMP, response to vitamin E ISO, adenosine metabolic process ISO, response to hypoxia ISO, positive regulation of smooth muscle contraction IMP, positive regulation of T cell differentiation in thymus IMP, embryonic digestive tract development IMP, negative regulation of leukocyte migration IMP, response to hydrogen peroxide IEA, negative regulation of penile erection IMP, adenosine catabolic process IDA, xanthine biosynthetic process IMP, dATP catabolic process IDA, in utero embryonic development IMP, response to morphine ISO, negative regulation of apoptotic process IMP, positive regulation of T cell activation IMP, regulation of cell-cell adhesion mediated by integrin ISO, trophectodermal cell differentiation IMP, Peyer's patch development IMP, lung alveolus development IMP, negative regulation of mature B cell apoptotic process IMP, purine ribonucleoside monophosphate biosynthetic process IEA, regulation of T cell differentiation IMP, germinal center B cell differentiation IMP, negative regulation of circadian sleep/wake cycle, non-REM sleep ISO, purine nucleotide salvage ISO, negative regulation of adenosine receptor signaling pathway ISO","GO:0042110, GO:0007155, GO:0032261, GO:0009168, GO:0042323, GO:0001889, GO:0002314, GO:0043103, GO:0046111, GO:0048541, GO:0048566, GO:0060169, GO:0050850, GO:0050728, GO:0070244, GO:0048286, GO:0001666, GO:0070256, GO:0043066, GO:0001701, GO:0046638, GO:0001890, GO:0033089, GO:0050870, GO:0050862, GO:0042542, GO:0010460, GO:0045987, GO:0006154, GO:0046061, GO:0043278, GO:0002906, GO:0046103, GO:0033197, GO:0046101, GO:0045580, GO:0033632, GO:0007568, GO:0046085, GO:0002636, GO:0001821, GO:0042493, GO:0060407, GO:0030890, GO:0030324, GO:0045582, GO:0002686, GO:0001829, GO:0006157","Cytoplasm,  Reference proteome,  Cell junction,  Zinc,  Cell adhesion,  Acetylation,  Cell membrane, 3D-structure,  Membrane,  Nucleotide metabolism,  Hydrolase,  Lysosome,  Cytoplasmic vesicle, Metal-binding"
Q566J8,COQ8B_MOUSE,"Atypical kinase COQ8B, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"extrinsic component of mitochondrial inner membrane IBA, integral component of membrane IEA, cytosol IEA, mitochondrion HDA, plasma membrane IEA","GO:0031314, GO:0005829, GO:0005886, GO:0005739, GO:0016021","ATP binding IEA, kinase activity IBA","GO:0016301, GO:0005524","cerebellar Purkinje cell layer morphogenesis ISS, protein phosphorylation IEA, ubiquinone biosynthetic process ISS","GO:0021692, GO:0006468, GO:0006744","ATP-binding,  Reference proteome, Nucleotide-binding,  Mitochondrion,  Transmembrane,  Cell membrane,  Kinase,  Transferase,  Membrane, Transmembrane helix,  Cytoplasm"
Q80YS6,AFAP1_MOUSE,Actin filament-associated protein 1,Mus musculus (Mouse),"actin cytoskeleton ISO, focal adhesion ISO, actin filament ISO, cytosol ISO","GO:0005829, GO:0005925, GO:0005884, GO:0015629","actin binding IEA, SH2 domain binding ISO, SH3 domain binding ISO","GO:0042169, GO:0017124, GO:0003779","regulation of signal transduction ISO, regulation of cytoskeleton organization IEA","GO:0051493, GO:0009966"," Cytoskeleton,  Reference proteome, Acetylation,  SH3-binding,  Actin-binding, Phosphoprotein,  Repeat,  Cytoplasm,  Coiled coil"
Q62148,AL1A2_MOUSE,Retinal dehydrogenase 2,Mus musculus (Mouse),"cytoplasm ISO, perinuclear region of cytoplasm ISO, cytosol ISO","GO:0005829, GO:0005737, GO:0048471","3-chloroallyl aldehyde dehydrogenase activity IDA, retinal binding ISO, aldehyde dehydrogenase (NAD+) activity IBA, retinal dehydrogenase activity IDA","GO:0004028, GO:0004029, GO:0016918, GO:0001758","blood vessel development IMP, negative regulation of cell population proliferation ISO, retinoic acid receptor signaling pathway IMP, embryonic forelimb morphogenesis IMP, kidney development IEA, neuron differentiation IMP, retinoic acid metabolic process IDA, response to cytokine ISO, anterior/posterior pattern specification IMP, lung development IMP, cardiac muscle tissue development IMP, hindbrain development IMP, heart development TAS, neural tube development ISO, embryonic limb morphogenesis IMP, retinal metabolic process IDA, positive regulation of gene expression IMP, retinoic acid receptor signaling pathway involved in somitogenesis IMP, morphogenesis of embryonic epithelium IMP, pancreas development IMP, cellular response to retinoic acid IEP, face development IMP, proximal/distal pattern formation IMP, retinol metabolic process IEA, retinoic acid biosynthetic process ISO, liver development IEA, embryonic digestive tract development IMP, 9-cis-retinoic acid biosynthetic process IDA, retinoid metabolic process TAS, pituitary gland development IEA, embryonic camera-type eye development IGI, positive regulation of apoptotic process IMP, ureter maturation IMP, regulation of endothelial cell proliferation IMP, forebrain development IMP, positive regulation of cell population proliferation IMP, determination of bilateral symmetry IMP, heart morphogenesis IMP, response to vitamin A IEA, camera-type eye development IMP, protein homotetramerization ISS, heart looping TAS, response to estradiol IEA, neural crest cell development IMP, midgut development IEA","GO:0031016, GO:0001889, GO:0010628, GO:0031076, GO:0016331, GO:0035799, GO:0048566, GO:0060324, GO:0007507, GO:0008285, GO:0090242, GO:0048738, GO:0001568, GO:0021983, GO:0035115, GO:0043065, GO:0001947, GO:0009855, GO:0002138, GO:0001523, GO:0030902, GO:0008284, GO:0021915, GO:0042573, GO:0051289, GO:0043010, GO:0030900, GO:0003007, GO:0009954, GO:0001936, GO:0009952, GO:0030326, GO:0001822, GO:0048384, GO:0042904, GO:0014032, GO:0071300, GO:0007494, GO:0030182, GO:0042572, GO:0032355, GO:0042574, GO:0030324, GO:0034097, GO:0033189","Cytoplasm,  Phosphoprotein,  Reference proteome,  NAD,  Oxidoreductase"
Q07456,FT,Protein AMBP,Mus musculus (Mouse),"intracellular membrane-bounded organelle ISO, collagen-containing extracellular matrix HDA, plasma membrane ISS, cell surface ISO, extracellular space ISO","GO:0062023, GO:0043231, GO:0005615, GO:0009986, GO:0005886","serine-type endopeptidase inhibitor activity ISO, IgA binding ISS, heme binding ISS, protein homodimerization activity ISS","GO:0019862, GO:0020037, GO:0004867, GO:0042803","protein maturation ISO, protein-chromophore linkage IEA, protein catabolic process ISO","GO:0051604, GO:0018298, GO:0030163"," Disulfide bond,  Reference proteome,  Secreted, Serine protease inhibitor,  Cleavage on pair of basic residues,  Protease inhibitor, Glycoprotein,  Signal,  Repeat, Chromophore"
