Q9CWB1," Pyruvate,  Kinase,  Glycolysis, Isopeptide bond,  Direct protein sequencing,  Alternative splicing,  Ubl conjugation,  Metal-binding, Reference proteome,  ATP-binding,  Phosphoprotein,  Potassium, Cytoplasm,  Nucleus,  Allosteric enzyme,  Translation regulation,  Hydroxylation,  Transferase, Nucleotide-binding,  Methylation,  Magnesium, Acetylation"
Q9D051,"Pyruvate,  Transit peptide, Tricarboxylic acid cycle, Acetylation,  Oxidoreductase,  Phosphoprotein,  Mitochondrion,  Reference proteome,  Direct protein sequencing,  Thiamine pyrophosphate, Glucose metabolism,  Carbohydrate metabolism"
P16125," Cytoplasm,  NAD,  Oxidoreductase, Phosphoprotein,  Reference proteome,  Direct protein sequencing, Acetylation"
Q61753," NAD,  Phosphoprotein,  Oxidoreductase, Isopeptide bond, Serine biosynthesis,  Ubl conjugation,  Reference proteome,  Direct protein sequencing,  Amino-acid biosynthesis, Acetylation"
Q9DCX2,"Reference proteome,  CF(0),  Transport,  Hydrogen ion transport,  Mitochondrion, Ion transport,  Mitochondrion inner membrane,  Direct protein sequencing,  Membrane, Acetylation"
Q91ZA3," Lipid degradation,  Transit peptide, Nucleotide-binding,  ATP-binding,  Phosphoprotein,  Biotin,  Magnesium,  Mitochondrion,  Ligase,  Reference proteome, Lipid metabolism, Acetylation,  Metal-binding"
Q8K183,"Reference proteome,  Cytoplasm, Magnesium,  Transferase,  Nucleotide-binding,  ATP-binding,  Phosphoprotein,  Sodium,  Kinase,  Zinc,  Direct protein sequencing, Acetylation,  Metal-binding"
P28663,"Reference proteome,  Protein transport,  Transport,  ER-Golgi transport,  Membrane, Direct protein sequencing"
Q7TQF7," Cytoplasm, Membrane,  Synapse,  SH3 domain,  Coiled coil, Cell junction,  Phosphoprotein,  Cytoskeleton,  Reference proteome,  Cytoplasmic vesicle"
Q9CQM9," Cytoplasm, Iron-sulfur,  Iron,  Phosphoprotein,  Repeat, 3D-structure,  Reference proteome,  Direct protein sequencing,  Acetylation,  Metal-binding"
