P16305_MOUSE,"Transmembrane,  Phosphoprotein,  Cell junction,  Ion channel,  Cell membrane,  Glycoprotein, Alternative splicing,  Receptor,  Membrane,  Reference proteome, Postsynaptic cell membrane,  Signal,  Transport, Ligand-gated ion channel,  Chloride,  Synapse,  Transmembrane helix, Chloride channel,  Ion transport,  Disulfide bond"
O43424_MOUSE," Receptor,  Postsynaptic cell membrane,  Membrane,  Synapse,  Ion channel,  Transmembrane,  Cell junction,  Cell membrane,  Glycoprotein, Signal,  Transport, Ligand-gated ion channel,  Transmembrane helix,  Alternative splicing, Disulfide bond,  Reference proteome,  Ion transport,  Phosphoprotein, Polymorphism, 3D-structure,  Neurodegeneration"
Q2KI00_MOUSE,"Acetylation,  Reference proteome,  Coiled coil"
B1AUH1_MOUSE," Hydrolase,  Phosphoprotein,  Cell junction, Receptor,  Cell membrane,  Glycoprotein, Alternative splicing,  Reference proteome,  Membrane,  Signal,  Transmembrane, Differentiation,  Repeat,  Protein phosphatase, Immunoglobulin domain,  Cell adhesion, Transmembrane helix,  Disulfide bond"
O77696_MOUSE,"Endoplasmic reticulum, Sarcoplasmic reticulum,  Phosphoprotein,  Transmembrane, Acetylation,  Reference proteome,  Translocase,  Magnesium, Transport,  Membrane,  Metal-binding,  ATP-binding, Nucleotide-binding,  Calcium,  Transmembrane helix,  Calcium transport,  Ion transport,  Disulfide bond"
D4A702_MOUSE," Nucleus,  Cell junction,  Reference proteome, Alternative splicing,  Cytoskeleton, Phosphoprotein,  Cytoplasm"
A7E2V1_MOUSE," Cytoskeleton, Cytoplasm,  Reference proteome"
O35544_MOUSE," Potassium, Metal-binding,  Phosphoprotein,  Sodium, Symport,  Cell membrane,  Glycoprotein,  Reference proteome,  Transmembrane,  Membrane, Amino-acid transport,  Transport,  Chloride,  Transmembrane helix"
O43815_MOUSE,"Coiled coil,  Cell projection,  Phosphoprotein,  Calmodulin-binding,  Cell junction,  Reference proteome, Alternative splicing, Repeat,  Membrane,  WD repeat,  Cytoplasm,  Synapse"
O43610_MOUSE," Polymorphism,  Developmental protein,  Membrane, Cytoplasm, Reference proteome"
A2V9Y8_MOUSE," Peroxisome,  Oxidoreductase,  Reference proteome,  Flavoprotein, FAD"
Q78ZR5_MOUSE," Nucleus,  Transcription regulation,  Homeobox, Transcription,  Reference proteome, Developmental protein,  Repressor"
P52757_MOUSE," Polymorphism,  Alternative splicing,  SH2 domain, Metal-binding,  Reference proteome,  Membrane,  Zinc, Zinc-finger, 3D-structure,  GTPase activation"
P18653_MOUSE," Nucleotide-binding,  Kinase,  Nucleus, ATP-binding,  Reference proteome,  Transferase,  Repeat, Phosphoprotein,  Cytoplasm, Serine/threonine-protein kinase"
Q9H3Q1_MOUSE," Phosphoprotein,  Reference proteome, Alternative splicing,  Membrane,  Cell shape,  Cytoskeleton,  Cytoplasm, Methylation"
Q17QF9_MOUSE,"Golgi apparatus,  Reference proteome,  Glycoprotein,  Signal,  Secreted, Cell junction,  Synapse,  Endoplasmic reticulum,  Disulfide bond"
Q3U7R1_MOUSE," Alternative splicing, Endoplasmic reticulum, Metal-binding,  Phosphoprotein,  Transmembrane, Acetylation,  Cell membrane,  Lipid transport,  Lipid-binding,  Reference proteome,  Membrane,  Repeat,  Transport,  Calcium, Transmembrane helix"
P33146_MOUSE,"Transmembrane, Calcium,  Cell membrane,  Cleavage on pair of basic residues,  Reference proteome,  Signal,  Membrane,  Repeat,  Metal-binding, Glycoprotein,  Transmembrane helix,  Cell adhesion"
O76070_MOUSE," Polymorphism,  Phosphoprotein,  Reference proteome, Repeat,  Cytoskeleton, Cytoplasm"
P48454_MOUSE," Hydrolase,  Polymorphism,  Calmodulin-binding,  Reference proteome, Alternative splicing, Zinc,  Metal-binding, Phosphoprotein,  Iron,  Protein phosphatase"
Q12797_MOUSE,"Metal-binding,  Oxidoreductase,  Membrane,  Sarcoplasmic reticulum,  Transmembrane,  Glycoprotein,  Dioxygenase, TPR repeat,  Disease mutation,  Transmembrane helix,  Alternative splicing, Disulfide bond, Reference proteome,  Iron,  Endoplasmic reticulum,  Polymorphism,  Phosphoprotein,  Signal-anchor,  Repeat, 3D-structure,  Calcium"
B6ETT4_MOUSE," Golgi apparatus, Metal-binding,  Transmembrane, Calcium,  Lipid transport,  Lipid-binding,  Reference proteome,  Membrane,  Repeat,  Transport, Transmembrane helix"
P50150_MOUSE," Lipoprotein,  Transducer,  Prenylation,  Methylation,  Membrane, Reference proteome, Cell membrane"
P08523_MOUSE," Sensory transduction,  Olfaction,  Acetylation, 3D-structure,  Cytoplasm, Reference proteome,  Direct protein sequencing"
P07090_MOUSE,"Calcium,  Metal-binding,  Reference proteome,  Repeat"
A2XX73_MOUSE,"S-adenosyl-L-methionine, Endoplasmic reticulum,  Transmembrane,  Reference proteome,  Membrane,  Transferase,  Methyltransferase,  Transmembrane helix"
