,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,A0AUV4,SMKY_MOUSE,Sperm motility kinase Y,Mus musculus (Mouse),"nucleus IBA, cytoplasm IBA","GO:0005634, GO:0005737","protein serine/threonine kinase activity IBA, ATP binding IEA","GO:0005524, GO:0004674","protein phosphorylation IBA, intracellular signal transduction IBA","GO:0006468, GO:0035556","ATP-binding,  Reference proteome,  Transferase,  Kinase, Serine/threonine-protein kinase,  Nucleotide-binding","GO:0009987, GO:0065007, GO:0008152","GO:0005488, GO:0003824",GO:0110165
1,A1A535,MELT_MOUSE,Ventricular zone-expressed PH domain-containing protein 1,Mus musculus (Mouse),plasma membrane IBA,GO:0005886,phosphatidylinositol-5-phosphate binding IBA,GO:0010314,"negative regulation of transforming growth factor beta receptor signaling pathway ISS, regulation of signal transduction IBA, negative regulation of SMAD protein signal transduction ISS","GO:0060392, GO:0009966, GO:0030512"," Membrane, Alternative splicing,  Cell membrane,  Reference proteome",GO:0065007,GO:0005488,GO:0110165
2,A1A5B6,TBC25_MOUSE,TBC1 domain family member 25,Mus musculus (Mouse),"autophagosome ISS, cytoplasmic vesicle IEA","GO:0031410, GO:0005776","GTPase activator activity ISS, Rab GTPase binding IBA","GO:0017137, GO:0005096","activation of GTPase activity IBA, regulation of autophagosome maturation ISS, autophagy IEA, intracellular protein transport IBA","GO:0006914, GO:0090630, GO:1901096, GO:0006886"," Cytoplasm,  GTPase activation,  Reference proteome, Autophagy, Phosphoprotein,  Cytoplasmic vesicle","GO:0051179, GO:0009987, GO:0065007, GO:0008152","GO:0098772, GO:0005488",GO:0110165
3,A2A791,ZMYM4_MOUSE,Zinc finger MYM-type protein 4,Mus musculus (Mouse),,,zinc ion binding IEA,GO:0008270,"regulation of cell morphogenesis ISS, cytoskeleton organization ISS","GO:0022604, GO:0007010"," Alternative splicing,  Metal-binding,  Reference proteome, Acetylation,  Zinc, Phosphoprotein,  Repeat,  Isopeptide bond,  Ubl conjugation, Zinc-finger","GO:0009987, GO:0065007",GO:0005488,
4,A2A8L5,FT,Receptor-type tyrosine-protein phosphatase F,Mus musculus (Mouse),"intracellular membrane-bounded organelle ISO, plasma membrane ISO, membrane ISO, neuron projection IDA, excitatory synapse ISO, endosome ISO, integral component of postsynaptic density membrane ISO, growth cone ISO, neuronal cell body IDA","GO:0043231, GO:0030426, GO:0060076, GO:0099061, GO:0043005, GO:0043025, GO:0016020, GO:0005886, GO:0005768","protein-containing complex binding IDA, phosphate ion binding ISO, chondroitin sulfate proteoglycan binding IPI, insulin receptor binding ISO, cell adhesion molecule binding ISO, receptor tyrosine kinase binding ISO, protein tyrosine phosphatase activity ISS, heparin binding IEA, transmembrane receptor protein tyrosine phosphatase activity ISO, phosphoprotein phosphatase activity IDA","GO:0005001, GO:0050839, GO:0042301, GO:0044877, GO:0030971, GO:0005158, GO:0008201, GO:0004721, GO:0004725, GO:0035373","negative regulation of cytokine-mediated signaling pathway ISO, negative regulation of insulin receptor signaling pathway ISO, regulation of axon regeneration IMP, positive regulation of neuron apoptotic process ISO, nervous system development ISO, protein dephosphorylation ISO, positive regulation of apoptotic process ISO, cell migration ISS, homophilic cell adhesion via plasma membrane adhesion molecules ISO, synaptic membrane adhesion ISO, negative regulation of cell population proliferation ISO, negative regulation of receptor binding ISS, negative regulation of neurotrophin TRK receptor signaling pathway ISO, regulation of neuron projection development IMP, negative regulation of epidermal growth factor receptor signaling pathway ISO, peptidyl-tyrosine dephosphorylation ISS, negative regulation of cell projection organization ISO, neuron projection regeneration IMP, regulation of synapse structure or activity ISO, positive regulation of dendrite morphogenesis ISO, regulation of postsynapse organization ISO","GO:0051387, GO:0046627, GO:0016477, GO:0001960, GO:0042059, GO:0035335, GO:0010975, GO:0007399, GO:0099175, GO:0043065, GO:0099560, GO:0031102, GO:0031345, GO:0043525, GO:0007156, GO:0006470, GO:0050803, GO:0048679, GO:0008285, GO:1900121, GO:0050775"," Transmembrane helix,  Heparin-binding,  Reference proteome,  Membrane,  Phosphoprotein, Transmembrane, 3D-structure,  Repeat,  Signal, Hydrolase,  Disulfide bond,  Immunoglobulin domain,  Receptor,  Glycoprotein,  Cell adhesion, Protein phosphatase","GO:0032502, GO:0050896, GO:0022610, GO:0040011, GO:0008152, GO:0009987, GO:0065007","GO:0003824, GO:0060089, GO:0005488",GO:0110165
5,A2AM29,AF9_MOUSE,Protein AF-9,Mus musculus (Mouse),"nucleoplasm ISO, transcription elongation factor complex ISS, cytosol ISO, chromosome IEA","GO:0005654, GO:0005829, GO:0008023, GO:0005694","histone binding ISS, chromatin binding ISS, lysine-acetylated histone binding ISS, modification-dependent protein binding ISS, DNA binding IEA","GO:0070577, GO:0140030, GO:0003682, GO:0042393, GO:0003677","segment specification IMP, regulation of chromatin organization ISS, regulation of stem cell division ISS, negative regulation of canonical Wnt signaling pathway ISO, positive regulation of Wnt signaling pathway, planar cell polarity pathway ISO, anterior/posterior pattern specification IMP, hematopoietic stem cell differentiation ISS, positive regulation of transcription, DNA-templated ISS","GO:1902275, GO:0090090, GO:2000035, GO:0007379, GO:0045893, GO:2000096, GO:0060218, GO:0009952","Activator,  DNA-binding, Transcription regulation,  Reference proteome,  Nucleus, Phosphoprotein,  Transcription,  Isopeptide bond,  Ubl conjugation,  Chromosome","GO:0032502, GO:0009987, GO:0065007, GO:0032501",GO:0005488,"GO:0110165, GO:0032991"
6,A2AQ07,TBB1_MOUSE,Tubulin beta-1 chain,Mus musculus (Mouse),"cytoplasm ISO, microtubule IDA","GO:0005874, GO:0005737","GTPase activity IEA, structural constituent of cytoskeleton IDA, GTP binding IBA","GO:0003924, GO:0005525, GO:0005200","mitotic cell cycle IBA, microtubule cytoskeleton organization IBA, spindle assembly IDA, microtubule-based process IDA","GO:0007017, GO:0000278, GO:0000226, GO:0051225"," Reference proteome,  Phosphoprotein,  Microtubule, Cytoplasm,  Isopeptide bond, Nucleotide-binding,  GTP-binding,  Cytoskeleton",GO:0009987,"GO:0005198, GO:0003824, GO:0005488",GO:0110165
7,A2AQ19,RTF1_MOUSE,RNA polymerase-associated protein RTF1 homolog,Mus musculus (Mouse),"Cdc73/Paf1 complex IPI, nucleolus IDA","GO:0016593, GO:0005730","RNA polymerase II C-terminal domain phosphoserine binding IBA, single-stranded DNA binding ISS","GO:0003697, GO:1990269","stem cell population maintenance IMP, endodermal cell fate commitment IMP, Wnt signaling pathway IEA, blastocyst growth IMP, positive regulation of histone H3-K4 methylation IMP, histone H3-K4 trimethylation IMP, negative regulation of transcription by RNA polymerase II IMP, transcription elongation from RNA polymerase II promoter ISS","GO:0051571, GO:0080182, GO:0006368, GO:0001832, GO:0000122, GO:0019827, GO:0001711, GO:0016055","Activator, Wnt signaling pathway,  Phosphoprotein, Reference proteome,  Coiled coil,  Nucleus,  Transcription,  DNA-binding,  Transcription regulation","GO:0032502, GO:0040007, GO:0008152, GO:0032501, GO:0009987, GO:0065007",GO:0005488,"GO:0110165, GO:0032991"
8,A2AWL7,MGAP_MOUSE,MAX gene-associated protein,Mus musculus (Mouse),"transcription regulator complex IDA, MLL1 complex ISS, nuclear chromatin IBA","GO:0071339, GO:0005667, GO:0000790","DNA-binding transcription activator activity, RNA polymerase II-specific IDA, RNA polymerase II transcription regulatory region sequence-specific DNA binding IDA, protein dimerization activity IEA, DNA-binding transcription factor activity, RNA polymerase II-specific IBA, DNA-binding transcription factor activity TAS","GO:0003700, GO:0046983, GO:0000981, GO:0001228, GO:0000977","cellular response to leukemia inhibitory factor IEP, cell fate specification IBA, negative regulation of transcription by RNA polymerase II IBA, positive regulation of transcription by RNA polymerase II IDA","GO:1990830, GO:0000122, GO:0001708, GO:0045944"," DNA-binding, Transcription,  Reference proteome,  Phosphoprotein,  Repressor,  Coiled coil, Alternative splicing,  Nucleus,  Isopeptide bond,  Transcription regulation,  Ubl conjugation, Methylation","GO:0032502, GO:0050896, GO:0065007, GO:0009987","GO:0005488, GO:0140110","GO:0110165, GO:0032991"
9,A2RSY6,TRM1L_MOUSE,TRMT1-like protein,Mus musculus (Mouse),nucleus IBA,GO:0005634,"tRNA (guanine-N2-)-methyltransferase activity IBA, metal ion binding IEA, tRNA binding IEA","GO:0004809, GO:0000049, GO:0046872","adult locomotory behavior IMP, tRNA N2-guanine methylation IBA, adult behavior IMP","GO:0030534, GO:0002940, GO:0008344"," tRNA processing,  Metal-binding,  Reference proteome,  Zinc-finger,  Zinc,  Phosphoprotein,  Transferase,  tRNA-binding, Alternative splicing,  Behavior,  RNA-binding,  Isopeptide bond, Ubl conjugation, S-adenosyl-L-methionine, Methyltransferase","GO:0009987, GO:0032501, GO:0008152, GO:0007610","GO:0003824, GO:0005488",GO:0110165
