Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"rough endoplasmic reticulum IDA, cytosol ISO, cytoplasm ISO, nucleus ISO, cilium IDA, mitochondrion HDA, collagen-containing extracellular matrix HDA, pyruvate kinase complex ISO, myelin sheath HDA, photoreceptor inner segment IDA","GO:1902912, GO:0062023, GO:0005929, GO:0005829, GO:0005739, GO:0001917, GO:0043209, GO:0005791, GO:0005634, GO:0005737","kinase activity IEA, pyruvate kinase activity IDA, ATP binding IEA, magnesium ion binding IEA, identical protein binding ISO, mRNA binding IDA, thyroid hormone binding ISO, ADP binding ISO, potassium ion binding IEA","GO:0016301, GO:0005524, GO:0030955, GO:0070324, GO:0004743, GO:0000287, GO:0043531, GO:0042802, GO:0003729","glucose metabolic process ISO, positive regulation of cytoplasmic translation IDA, pyruvate biosynthetic process ISO, positive regulation of sprouting angiogenesis ISS, glycolytic process IDA, cellular response to insulin stimulus IBA, animal organ regeneration ISO, programmed cell death ISO, ATP biosynthetic process ISO, liver development ISO, skeletal muscle tissue regeneration ISO","GO:0006096, GO:0012501, GO:0042866, GO:0006754, GO:0031100, GO:0001889, GO:1903672, GO:0006006, GO:0043403, GO:0032869, GO:2000767"," Pyruvate,  Kinase,  Glycolysis, Isopeptide bond,  Direct protein sequencing,  Alternative splicing,  Ubl conjugation,  Metal-binding, Reference proteome,  ATP-binding,  Phosphoprotein,  Potassium, Cytoplasm,  Nucleus,  Allosteric enzyme,  Translation regulation,  Hydroxylation,  Transferase, Nucleotide-binding,  Methylation,  Magnesium, Acetylation"
Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"nucleoplasm ISO, mitochondrion HDA, pyruvate dehydrogenase complex ISS, mitochondrial pyruvate dehydrogenase complex IBA","GO:0005654, GO:0005967, GO:0045254, GO:0005739","pyruvate dehydrogenase (acetyl-transferring) activity ISS, pyruvate dehydrogenase (NAD+) activity IEA","GO:0004739, GO:0034604","glucose metabolic process IEA, acetyl-CoA biosynthetic process from pyruvate ISS, tricarboxylic acid cycle IEA, mitochondrial acetyl-CoA biosynthetic process from pyruvate ISO","GO:0006099, GO:0006006, GO:0006086, GO:0061732","Pyruvate,  Transit peptide, Tricarboxylic acid cycle, Acetylation,  Oxidoreductase,  Phosphoprotein,  Mitochondrion,  Reference proteome,  Direct protein sequencing,  Thiamine pyrophosphate, Glucose metabolism,  Carbohydrate metabolism"
P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"membrane raft ISO, myelin sheath HDA, cytosol ISO, mitochondrion HDA","GO:0043209, GO:0005829, GO:0005739, GO:0045121","NAD binding ISO, identical protein binding ISO, L-lactate dehydrogenase activity IDA, lactate dehydrogenase activity ISO, kinase binding ISO","GO:0019900, GO:0004459, GO:0051287, GO:0042802, GO:0004457","NAD metabolic process ISO, carbohydrate metabolic process IEA, lactate metabolic process ISO, lactate biosynthetic process from pyruvate IC","GO:0019244, GO:0006089, GO:0019674, GO:0005975"," Cytoplasm,  NAD,  Oxidoreductase, Phosphoprotein,  Reference proteome,  Direct protein sequencing, Acetylation"
Q61753,SERA_MOUSE,D-3-phosphoglycerate dehydrogenase,Mus musculus (Mouse),myelin sheath HDA,GO:0043209,"NAD binding IEA, phosphoglycerate dehydrogenase activity ISO","GO:0004617, GO:0051287","glutamine metabolic process IMP, glycine metabolic process IMP, L-serine biosynthetic process IEA, L-serine metabolic process IMP, neurogenesis IMP, neuron projection development IMP, cellular amino acid metabolic process IBA, G1 to G0 transition IMP, glial cell development IMP, taurine metabolic process IMP, threonine metabolic process IMP, spinal cord development IMP, neural tube development IMP, regulation of gene expression IMP, gamma-aminobutyric acid metabolic process IMP","GO:0031175, GO:0021510, GO:0021915, GO:0006563, GO:0010468, GO:0070314, GO:0006520, GO:0019530, GO:0006566, GO:0009448, GO:0022008, GO:0006564, GO:0021782, GO:0006544, GO:0006541"," NAD,  Phosphoprotein,  Oxidoreductase, Isopeptide bond, Serine biosynthesis,  Ubl conjugation,  Reference proteome,  Direct protein sequencing,  Amino-acid biosynthesis, Acetylation"
Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"mitochondrion IDA, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) ISO, mitochondrial inner membrane HDA, mitochondrial proton-transporting ATP synthase, stator stalk IBA, mitochondrial proton-transporting ATP synthase complex ISS, myelin sheath HDA","GO:0005753, GO:0000274, GO:0043209, GO:0000276, GO:0005743, GO:0005739","protein-containing complex binding ISO, proton-transporting ATP synthase activity, rotational mechanism IEA","GO:0046933, GO:0044877","ATP synthesis coupled proton transport IBA, ATP metabolic process ISO, mitochondrial ATP synthesis coupled proton transport ISO","GO:0015986, GO:0042776, GO:0046034","Reference proteome,  CF(0),  Transport,  Hydrogen ion transport,  Mitochondrion, Ion transport,  Mitochondrion inner membrane,  Direct protein sequencing,  Membrane, Acetylation"
Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),"mitochondrial matrix ISS, mitochondrion HDA","GO:0005739, GO:0005759","CoA carboxylase activity IBA, ATP binding IEA, metal ion binding IEA, propionyl-CoA carboxylase activity IMP, enzyme binding ISO","GO:0005524, GO:0019899, GO:0016421, GO:0046872, GO:0004658",lipid catabolic process IEA,GO:0016042," Lipid degradation,  Transit peptide, Nucleotide-binding,  ATP-binding,  Phosphoprotein,  Biotin,  Magnesium,  Mitochondrion,  Ligase,  Reference proteome, Lipid metabolism, Acetylation,  Metal-binding"
Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"nucleoplasm ISO, cytosol IBA","GO:0005654, GO:0005829","ATP binding ISO, drug binding ISO, protein homodimerization activity ISO, pyridoxal binding ISO, sodium ion binding ISO, magnesium ion binding ISO, potassium ion binding ISO, pyridoxal kinase activity ISO, lithium ion binding ISO, pyridoxal phosphate binding ISO, zinc ion binding ISO","GO:0031403, GO:0070280, GO:0005524, GO:0030955, GO:0008478, GO:0030170, GO:0008270, GO:0000287, GO:0031402, GO:0008144, GO:0042803","pyridoxal 5'-phosphate salvage ISO, pyridoxal phosphate biosynthetic process ISO, negative regulation of apoptotic process ISO","GO:0042823, GO:0009443, GO:0043066","Reference proteome,  Cytoplasm, Magnesium,  Transferase,  Nucleotide-binding,  ATP-binding,  Phosphoprotein,  Sodium,  Kinase,  Zinc,  Direct protein sequencing, Acetylation,  Metal-binding"
P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"SNARE complex IBA, vacuolar membrane IBA, presynapse ISO, synaptobrevin 2-SNAP-25-syntaxin-1a complex IDA, postsynapse ISO, myelin sheath HDA","GO:0098793, GO:0005774, GO:0031201, GO:0098794, GO:0070044, GO:0043209","soluble NSF attachment protein activity IBA, SNARE binding ISO, syntaxin binding IDA","GO:0000149, GO:0005483, GO:0019905","protein-containing complex disassembly ISO, regulation of ATPase activity ISO, intracellular protein transport IBA, SNARE complex disassembly IGI, regulation of receptor internalization ISO, regulation of synaptic vesicle priming IGI, synaptic transmission, glutamatergic IGI, synaptic vesicle endocytosis IC","GO:0032984, GO:0035249, GO:0006886, GO:0048488, GO:0010807, GO:0035494, GO:0043462, GO:0002090","Reference proteome,  Protein transport,  Transport,  ER-Golgi transport,  Membrane, Direct protein sequencing"
Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"cytoskeleton IEA, extrinsic component of synaptic vesicle membrane ISO, axon terminus ISO, plasma membrane IBA, leading edge membrane ISO, glutamatergic synapse IDA, photoreceptor ribbon synapse IDA, presynaptic endocytic zone IDA, synaptic vesicle IDA","GO:0098833, GO:0043679, GO:0031256, GO:0008021, GO:0005856, GO:0098850, GO:0098684, GO:0098978, GO:0005886","protein-containing complex binding ISO, phospholipid binding ISO, protein C-terminus binding ISO","GO:0044877, GO:0005543, GO:0008022","synaptic vesicle endocytosis IDA, learning IMP","GO:0007612, GO:0048488"," Cytoplasm, Membrane,  Synapse,  SH3 domain,  Coiled coil, Cell junction,  Phosphoprotein,  Cytoskeleton,  Reference proteome,  Cytoplasmic vesicle"
Q9CQM9,GLRX3_MOUSE,Glutaredoxin-3,Mus musculus (Mouse),"Z disc IDA, dendrite ISO, cell cortex IEA, nucleus ISO, cytosol IBA","GO:0030425, GO:0005938, GO:0005829, GO:0030018, GO:0005634","metal ion binding IEA, identical protein binding ISO, electron transfer activity IEA, protein kinase C binding ISO, protein disulfide oxidoreductase activity IEA, iron-sulfur cluster binding IEA","GO:0015035, GO:0046872, GO:0005080, GO:0009055, GO:0042802, GO:0051536","[2Fe-2S] cluster assembly ISS, cellular iron ion homeostasis IBA, protein maturation by iron-sulfur cluster transfer ISS, negative regulation of cardiac muscle hypertrophy IMP, regulation of the force of heart contraction IMP","GO:0010614, GO:0006879, GO:0097428, GO:0002026, GO:0044571"," Cytoplasm, Iron-sulfur,  Iron,  Phosphoprotein,  Repeat, 3D-structure,  Reference proteome,  Direct protein sequencing,  Acetylation,  Metal-binding"
