Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
A0A087WPF7,AUTS2_MOUSE,Autism susceptibility gene 2 protein homolog,Mus musculus (Mouse),"nucleus IDA, cytoplasm IEA, growth cone IDA, cytoskeleton IEA","GO:0005634, GO:0005856, GO:0030426, GO:0005737",chromatin binding ISO,GO:0003682,"neuron migration IMP, positive regulation of histone H3-K4 methylation ISO, dendrite extension IMP, positive regulation of lamellipodium assembly IMP, axon extension IMP, righting reflex IMP, positive regulation of Rac protein signal transduction IMP, actin cytoskeleton reorganization IMP, positive regulation of transcription by RNA polymerase II ISO, innate vocalization behavior IMP, positive regulation of histone H4-K16 acetylation ISO","GO:0097484, GO:2000620, GO:0031532, GO:0035022, GO:0060013, GO:0001764, GO:0045944, GO:0048675, GO:0051571, GO:0010592, GO:0098582","Transcription regulation,  Cytoskeleton,  Transcription,  Nucleus, Phosphoprotein, Alternative splicing,  Cell projection,  Reference proteome,  Cytoplasm"
A2A935,PRD16_MOUSE,Histone-lysine N-methyltransferase PRDM16 {ECO:0000305},Mus musculus (Mouse),"transcription repressor complex IDA, cytosol ISO, aggresome ISO, nucleoplasm ISO, nucleus IDA","GO:0017053, GO:0016235, GO:0005634, GO:0005654, GO:0005829","DNA-binding transcription activator activity, RNA polymerase II-specific IBA, histone methyltransferase activity (H3-K9 specific) IDA, transcription coregulator activity IBA, SMAD binding IPI, sequence-specific DNA binding IDA, transcription coactivator activity IDA, DNA-binding transcription repressor activity, RNA polymerase II-specific IEA, activating transcription factor binding ISO, metal ion binding IEA, RNA polymerase II cis-regulatory region sequence-specific DNA binding IBA","GO:0046872, GO:0000978, GO:0043565, GO:0001227, GO:0033613, GO:0003713, GO:0001228, GO:0003712, GO:0046332, GO:0046974","negative regulation of transcription, DNA-templated IDA, brown fat cell differentiation IDA, negative regulation of transforming growth factor beta receptor signaling pathway IMP, neurogenesis IDA, positive regulation of brown fat cell differentiation IMP, regulation of cellular respiration IDA, regulation of transcription by RNA polymerase II IBA, roof of mouth development IMP, tongue development IMP, stem cell population maintenance IMP, cell development IC, positive regulation of cold-induced thermogenesis IMP, negative regulation of granulocyte differentiation ISS, positive regulation of transcription, DNA-templated IDA, white fat cell differentiation IDA, negative regulation of transcription by RNA polymerase II IMP, somatic stem cell population maintenance IDA, heterochromatin organization IMP","GO:0030512, GO:0043457, GO:0043586, GO:0048468, GO:0060021, GO:0050873, GO:0070828, GO:0035019, GO:0090336, GO:0050872, GO:0045893, GO:0019827, GO:0006357, GO:0030853, GO:0120162, GO:0000122, GO:0045892, GO:0022008"," Differentiation,  DNA-binding,  Transcription,  Transcription regulation,  Transferase, Metal-binding,  Nucleus, Activator, Repressor,  Reference proteome,  Cytoplasm,  Repeat, Zinc-finger,  Zinc,  Methyltransferase,  Alternative splicing"
A2ABU4,MYOM3_MOUSE,Myomesin-3,Mus musculus (Mouse),"M band IDA, sarcomere IBA","GO:0031430, GO:0030017","identical protein binding IPI, actin filament binding IBA, protein homodimerization activity IDA","GO:0042802, GO:0051015, GO:0042803",muscle contraction IBA,GO:0006936," Reference proteome,  Cytoplasm,  Repeat, Coiled coil,  Immunoglobulin domain"
A2AHG0,LZTS3_MOUSE,Leucine zipper putative tumor suppressor 3 {ECO:0000305},Mus musculus (Mouse),"cytoplasm IEA, synapse ISS, postsynaptic density ISS, dendritic spine ISO, cytoskeleton IEA","GO:0005737, GO:0005856, GO:0043197, GO:0014069, GO:0045202","protein self-association ISO, PDZ domain binding ISO","GO:0043621, GO:0030165","regulation of dendritic spine morphogenesis ISS, protein homooligomerization ISO","GO:0051260, GO:0061001"," Cytoskeleton, Cytoplasm, Alternative splicing,  Cell projection,  Reference proteome,  Synapse,  Coiled coil,  Cell junction,  Phosphoprotein"
A2AHJ4,BRWD3_MOUSE,Bromodomain and WD repeat-containing protein 3,Mus musculus (Mouse),nucleus IBA,GO:0005634,,,"regulation of transcription by RNA polymerase II IBA, regulation of cell shape ISS, cytoskeleton organization ISS","GO:0006357, GO:0008360, GO:0007010"," WD repeat, Alternative splicing,  Reference proteome, Repeat,  Bromodomain,  Phosphoprotein"
A2AQH4,BCORL_MOUSE,BCL-6 corepressor-like protein 1,Mus musculus (Mouse),"plasma membrane ISO, nucleoplasm ISO","GO:0005886, GO:0005654",,,chromatin organization IEA,GO:0006325," Chromatin regulator, Transcription regulation,  Transcription,  Nucleus, Reference proteome,  Repressor,  Isopeptide bond,  Repeat,  Ubl conjugation, ANK repeat,  Phosphoprotein"
A3KFU9,DISP3_MOUSE,Protein dispatched homolog 3 {ECO:0000250|UniProtKB:Q9P2K9},Mus musculus (Mouse),"integral component of membrane IEA, cytoplasm ISS, endoplasmic reticulum membrane IEA, cytoplasmic vesicle membrane IEA, nuclear membrane IEA","GO:0030659, GO:0005737, GO:0005789, GO:0031965, GO:0016021",,,"cholesterol metabolic process IEA, positive regulation of lipid metabolic process ISS, positive regulation of neural precursor cell proliferation ISS, negative regulation of neuron differentiation ISS","GO:0045665, GO:2000179, GO:0045834, GO:0008203","Sterol metabolism, Membrane,  Cholesterol metabolism,  Transmembrane helix, Differentiation,  Endoplasmic reticulum,  Nucleus,  Transmembrane, Alternative splicing,  Glycoprotein,  Lipid metabolism,  Reference proteome,  Steroid metabolism,  Cytoplasmic vesicle"
A4Q9F1,TTLL8_MOUSE,Protein monoglycylase TTLL8,Mus musculus (Mouse),"microtubule IEA, axoneme IDA, cilium IDA, microtubule cytoskeleton IDA","GO:0015630, GO:0005874, GO:0005930, GO:0005929","protein-glycine ligase activity IDA, protein-glycine ligase activity, initiating IDA, ATP binding IEA","GO:0070735, GO:0070736, GO:0005524","protein polyglycylation IDA, cilium assembly IMP","GO:0060271, GO:0018094"," Cytoskeleton, ATP-binding,  Nucleotide-binding,  Cell projection, Microtubule,  Reference proteome,  Cytoplasm,  Cilium,  Ligase"
B1AT66,MOT7_MOUSE,Monocarboxylate transporter 7,Mus musculus (Mouse),"integral component of plasma membrane IBA, integral component of membrane IBA","GO:0005887, GO:0016021","monocarboxylic acid transmembrane transporter activity IBA, symporter activity IEA","GO:0015293, GO:0008028",monocarboxylic acid transport IBA,GO:0015718," Transmembrane helix,  Transmembrane,  Cell membrane, Alternative splicing, Reference proteome,  Symport,  Transport,  Phosphoprotein,  Membrane"
B2RRD7,BRPF1_MOUSE,Peregrin {ECO:0000305},Mus musculus (Mouse),"cytoplasm ISS, plasma membrane ISO, chromosome IEA, MOZ/MORF histone acetyltransferase complex ISS, cytosol ISO, histone acetyltransferase complex ISS, nucleus ISS","GO:0005737, GO:0070776, GO:0005634, GO:0005886, GO:0005694, GO:0005829, GO:0000123","histone binding IBA, DNA binding IEA, metal ion binding IEA","GO:0003677, GO:0046872, GO:0042393","regulation of fibroblast proliferation IMP, common myeloid progenitor cell proliferation IMP, positive regulation of transcription, DNA-templated ISO, histone H3 acetylation ISO, histone H3-K14 acetylation ISS, vasculogenesis IMP, neural tube formation IMP, histone H3-K23 acetylation IMP","GO:0001570, GO:0035726, GO:0048145, GO:0001841, GO:0045893, GO:0043966, GO:0043972, GO:0044154"," Chromatin regulator,  Metal-binding,  Activator,  DNA-binding,  Transcription,  Transcription regulation, Cytoplasm,  Nucleus, Reference proteome, Acetylation,  Repeat,  Chromosome, Zinc-finger,  Zinc,  Bromodomain,  Phosphoprotein"
