,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,A2A891,CMTA1_MOUSE,Calmodulin-binding transcription activator 1 {ECO:0000312|EMBL:CAM24783.1},Mus musculus (Mouse),"nucleus IBA, cytosol ISO, nucleolus ISO","GO:0005634, GO:0005730, GO:0005829","sequence-specific DNA binding IDA, transcription coregulator activity IBA, double-stranded DNA binding IBA","GO:0003712, GO:0043565, GO:0003690","positive regulation of transcription by RNA polymerase II IDA, positive regulation of protein dephosphorylation ISO, neuromuscular process controlling balance IMP, positive regulation of calcineurin-NFAT signaling cascade ISO, regulation of transcription by RNA polymerase II IBA","GO:0070886, GO:0006357, GO:0045944, GO:0050885, GO:0035307"," Cytoplasm,  Repeat, Reference proteome, Activator,  Transcription,  ANK repeat,  Nucleus,  Alternative splicing,  Transcription regulation","GO:0065007, GO:0032501","GO:0005488, GO:0140110, GO:0098772","GO:0043229, GO:0043227, GO:0043228"
1,A2AIV2,VIR_MOUSE,Protein virilizer homolog {ECO:0000305},Mus musculus (Mouse),"nuclear body ISO, nuclear speck ISS, cytosol ISO, nucleus IDA, cytoplasm IDA, nucleoplasm ISS, RNA N6-methyladenosine methyltransferase complex IDA","GO:0036396, GO:0005654, GO:0005737, GO:0016607, GO:0005829, GO:0016604, GO:0005634",,,"RNA splicing IEA, multicellular organism development IEA, mRNA methylation ISS, mRNA processing IEA, mRNA alternative polyadenylation ISS","GO:0006397, GO:0008380, GO:0007275, GO:0080009, GO:0110104"," mRNA splicing,  Cytoplasm, Reference proteome,  Phosphoprotein,  Developmental protein, Acetylation,  mRNA processing, Methylation,  Nucleus,  Alternative splicing","GO:0065007, GO:0009987, GO:0032502, GO:0032501, GO:0008152",,"GO:0045293, GO:0016604, GO:0043227, GO:1902494, GO:0043229"
2,B1AZI6,THOC2_MOUSE,THO complex subunit 2,Mus musculus (Mouse),"transcription export complex ISO, nucleus IDA, THO complex part of transcription export complex ISO, nuclear speck IEA, nuclear chromosome, telomeric region IEA, THO complex ISO","GO:0000347, GO:0000784, GO:0016607, GO:0000445, GO:0000346, GO:0005634",mRNA binding IMP,GO:0003729,"regulation of gene expression IMP, regulation of mRNA export from nucleus IMP, poly(A)+ mRNA export from nucleus ISO, blastocyst development IMP, mRNA export from nucleus ISO, generation of neurons ISS, RNA splicing IEA, neuron development ISS, stem cell division IMP, viral mRNA export from host cell nucleus ISO, negative regulation of neuron projection development ISO, mRNA processing IEA, cell morphogenesis IMP","GO:0006397, GO:0008380, GO:0001824, GO:0000902, GO:0048666, GO:0010468, GO:0010793, GO:0046784, GO:0017145, GO:0006406, GO:0016973, GO:0010977, GO:0048699"," mRNA splicing, Coiled coil,  Transport,  mRNA transport,  RNA-binding,  mRNA processing,  Reference proteome,  Nucleus, Phosphoprotein","GO:0051179, GO:0065007, GO:0009987, GO:0044419, GO:0032502, GO:0008152",GO:0005488,"GO:0140513, GO:0016604, GO:0043227, GO:0098687, GO:0043229"
3,B2RPU2,PLHD1_MOUSE,Pleckstrin homology domain-containing family D member 1,Mus musculus (Mouse),,,,,,,"Coiled coil,  Reference proteome,  Methylation",,,
4,E9Q5R7,NAL12_MOUSE,"NACHT, LRR and PYD domains-containing protein 12",Mus musculus (Mouse),cytoplasm ISO,GO:0005737,ATP binding IEA,GO:0005524,"negative regulation of NF-kappaB transcription factor activity ISO, negative regulation of inflammatory response IMP, negative regulation of protein autophosphorylation ISO, negative regulation of signal transduction ISO, regulation of I-kappaB kinase/NF-kappaB signaling ISO, negative regulation of NIK/NF-kappaB signaling IMP, dendritic cell migration IMP, cellular response to cytokine stimulus IMP, negative regulation of interleukin-6 production ISO, negative regulation of cytokine secretion ISO, positive regulation of MHC class I biosynthetic process ISO, regulation of cysteine-type endopeptidase activity involved in apoptotic process ISO, positive regulation of NIK/NF-kappaB signaling ISO, negative regulation of I-kappaB kinase/NF-kappaB signaling ISO, negative regulation of ERK1 and ERK2 cascade IMP, negative regulation of interleukin-1 production ISO, negative regulation of Toll signaling pathway ISO","GO:0071345, GO:0045751, GO:0031953, GO:0043122, GO:0070373, GO:1901224, GO:0032692, GO:0032088, GO:1901223, GO:0043281, GO:0050710, GO:0045345, GO:0032715, GO:0009968, GO:0050728, GO:0036336, GO:0043124"," Cytoplasm, ATP-binding,  Nucleotide-binding,  Repeat, Reference proteome,  Leucine-rich repeat","GO:0065007, GO:0002376, GO:0009987, GO:0050896, GO:0040011",GO:0005488,
5,E9Q9F6,CTSRD_MOUSE,Cation channel sperm-associated protein subunit delta,Mus musculus (Mouse),"CatSper complex IDA, sperm principal piece IDA","GO:0036128, GO:0097228",,,"spermatogenesis IMP, flagellated sperm motility IMP, multicellular organism development IEA, sperm capacitation IMP","GO:0030317, GO:0048240, GO:0007275, GO:0007283","Alternative splicing,  Spermatogenesis,  Cell membrane, Reference proteome,  Cilium,  Membrane,  Differentiation,  Signal,  Cell projection, Transmembrane helix,  Glycoprotein, Developmental protein,  Transmembrane,  Flagellum","GO:0009987, GO:0032502, GO:0032501, GO:0022414, GO:0040011",,"GO:1990351, GO:0098796"
6,F8VQB6,MYO10_MOUSE,Unconventional myosin-X,Mus musculus (Mouse),"cell cortex IEA, neuron projection IDA, plasma membrane ISO, filopodium tip ISS, cytosol ISO, neuronal cell body IDA, nucleolus ISO, filopodium IDA, ruffle ISO, filopodium membrane IEA, myosin complex IEA, lamellipodium ISO","GO:0030027, GO:0031527, GO:0005886, GO:0043005, GO:0001726, GO:0005938, GO:0030175, GO:0005829, GO:0016459, GO:0043025, GO:0032433, GO:0005730","ATP binding IEA, actin filament binding ISS, spectrin binding ISO, actin-dependent ATPase activity ISS, plus-end directed microfilament motor activity ISS, calmodulin binding IEA, phosphatidylinositol-3,4,5-trisphosphate binding ISS","GO:0051015, GO:0005524, GO:0030507, GO:0005516, GO:0060002, GO:0005547, GO:0030898","positive regulation of cell-cell adhesion IGI, regulation of filopodium assembly ISS, cytoskeleton-dependent intracellular transport ISS, regulation of cell shape ISS, cell motility IC","GO:0008360, GO:0048870, GO:0051489, GO:0022409, GO:0030705"," Transport,  Cytoplasm,  Actin-binding,  Alternative promoter usage,  Cell membrane, Calmodulin-binding,  Myosin,  Phosphoprotein,  Repeat, Acetylation,  Membrane,  Reference proteome,  Cell projection, Cytoskeleton,  Motor protein, Nucleotide-binding,  ATP-binding,  Direct protein sequencing","GO:0051179, GO:0009987, GO:0065007, GO:0040011","GO:0003824, GO:0005488","GO:0044297, GO:0016020, GO:0043229, GO:0005737, GO:0042995, GO:0043228"
7,O08538,FT,Angiopoietin-1,Mus musculus (Mouse),"plasma membrane ISO, collagen-containing extracellular matrix IBA, membrane raft ISO, extracellular space ISO, microvillus ISO","GO:0005902, GO:0005886, GO:0045121, GO:0005615, GO:0062023","identical protein binding ISO, signaling receptor binding IPI, vascular endothelial growth factor receptor binding TAS, receptor tyrosine kinase binding ISO","GO:0005172, GO:0030971, GO:0005102, GO:0042802","negative regulation of apoptotic process ISO, positive regulation of endothelial cell migration ISO, endoderm development TAS, negative regulation of endothelial cell apoptotic process ISO, positive chemotaxis ISO, cardiac muscle tissue morphogenesis TAS, branching involved in blood vessel morphogenesis TAS, angiogenesis IDA, vasculogenesis TAS, cell-substrate adhesion IDA, positive regulation of protein phosphorylation ISO, regulation of I-kappaB kinase/NF-kappaB signaling IGI, negative regulation of vascular permeability IDA, positive regulation of blood-brain barrier permeability ISO, positive regulation of peptidyl-tyrosine phosphorylation IDA, regulation of skeletal muscle satellite cell proliferation ISO, positive regulation of peptidyl-serine phosphorylation IDA, regulation of protein binding IDA, positive regulation of cell adhesion IDA, protein localization to cell surface ISO, negative regulation of protein phosphorylation IDA, in utero embryonic development IMP, sprouting angiogenesis ISO, endocardium morphogenesis TAS, positive regulation of protein ubiquitination ISO, positive regulation of ERK1 and ERK2 cascade ISO, regulation of tumor necrosis factor production IDA, positive regulation of blood vessel endothelial cell migration ISO, ovarian follicle development ISO, transmembrane receptor protein tyrosine kinase signaling pathway IDA, hemopoiesis IDA, positive regulation of vascular endothelial growth factor receptor signaling pathway TAS, positive regulation of phosphatidylinositol 3-kinase signaling IDA, Tie signaling pathway ISO, regulation of macrophage migration inhibitory factor signaling pathway IDA, negative regulation of cell adhesion ISO, vasculogenesis involved in coronary vascular morphogenesis TAS, heparin biosynthetic process ISO, positive regulation of gene expression ISO, glomerulus vasculature development IDA, negative regulation of neuron apoptotic process IDA, negative regulation of protein import into nucleus IDA, activation of transmembrane receptor protein tyrosine kinase activity ISO, positive regulation of receptor internalization ISO, negative regulation of cytokine production involved in immune response IDA, positive regulation of protein kinase B signaling ISO","GO:0030949, GO:0007492, GO:0042308, GO:0010595, GO:0043524, GO:0043116, GO:0001934, GO:0003160, GO:0030210, GO:0048014, GO:0001525, GO:0014068, GO:0072012, GO:0007162, GO:0014842, GO:0031398, GO:0010628, GO:0002719, GO:0043393, GO:0055008, GO:1905605, GO:0033138, GO:0051897, GO:0001933, GO:0043122, GO:0002092, GO:0007169, GO:0001701, GO:0002040, GO:0043066, GO:0070374, GO:0030097, GO:0031589, GO:0001570, GO:0034394, GO:0050731, GO:0060979, GO:0045785, GO:0001569, GO:0043536, GO:0032680, GO:0007171, GO:0001541, GO:0050918, GO:2000352, GO:2000446","Angiogenesis,  Coiled coil,  Developmental protein,  Differentiation,  Reference proteome,  Secreted,  Signal, Disulfide bond,  Glycoprotein","GO:0051179, GO:0065007, GO:0022610, GO:0009987, GO:0032502, GO:0032501, GO:0022414, GO:0008152, GO:0040011",GO:0005488,"GO:0030312, GO:0042995, GO:0016020"
8,O08967,CYH3_MOUSE,Cytohesin-3,Mus musculus (Mouse),"adherens junction IDA, plasma membrane IDA, cytosol ISS, ruffle IPI, cytoplasm IDA, bicellular tight junction IDA, nucleoplasm ISO, extrinsic component of cytoplasmic side of plasma membrane ISS","GO:0005923, GO:0031234, GO:0005654, GO:0005886, GO:0001726, GO:0005737, GO:0005829, GO:0005912","ARF guanyl-nucleotide exchange factor activity ISS, phosphatidylinositol-3,4,5-trisphosphate binding IDA, guanyl-nucleotide exchange factor activity ISS","GO:0005085, GO:0005547, GO:0005086","establishment of epithelial cell polarity IMP, positive regulation of cell adhesion IDA, Golgi vesicle transport ISS, regulation of ARF protein signal transduction IEA","GO:0090162, GO:0032012, GO:0045785, GO:0048193"," Cytoplasm, 3D-structure,  Cell membrane, Reference proteome,  Coiled coil,  Cell junction, Guanine-nucleotide releasing factor,  Membrane,  Tight junction,  Lipid-binding","GO:0051179, GO:0009987, GO:0065007","GO:0005488, GO:0098772","GO:0030054, GO:0042995, GO:0019898, GO:0016020"
9,O35125,LRC23_MOUSE,Leucine-rich repeat-containing protein 23,Mus musculus (Mouse),"cytoplasm IBA, cytosol IDA","GO:0005737, GO:0005829",,,,,"Coiled coil,  Reference proteome,  Leucine-rich repeat,  Repeat",,,
