,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"nucleus ISO, pyruvate kinase complex ISO, cilium IDA, mitochondrion HDA, photoreceptor inner segment IDA, cytosol ISO, cytoplasm ISO, rough endoplasmic reticulum IDA, myelin sheath HDA, collagen-containing extracellular matrix HDA","GO:0005739, GO:0005929, GO:0005737, GO:0005829, GO:0005791, GO:0043209, GO:0062023, GO:0001917, GO:0005634, GO:1902912","mRNA binding IDA, thyroid hormone binding ISO, pyruvate kinase activity IDA, identical protein binding ISO, ATP binding IEA, magnesium ion binding IEA, potassium ion binding IEA, ADP binding ISO, kinase activity IEA","GO:0070324, GO:0000287, GO:0003729, GO:0042802, GO:0004743, GO:0016301, GO:0030955, GO:0005524, GO:0043531","pyruvate biosynthetic process ISO, programmed cell death ISO, ATP biosynthetic process ISO, positive regulation of cytoplasmic translation IDA, liver development ISO, glycolytic process IDA, cellular response to insulin stimulus IBA, skeletal muscle tissue regeneration ISO, glucose metabolic process ISO, positive regulation of sprouting angiogenesis ISS, animal organ regeneration ISO","GO:0031100, GO:0012501, GO:0032869, GO:1903672, GO:0006096, GO:2000767, GO:0006006, GO:0001889, GO:0042866, GO:0043403, GO:0006754","Reference proteome,  Ubl conjugation, Cytoplasm,  Methylation, Acetylation,  Potassium,  Transferase,  ATP-binding,  Kinase,  Allosteric enzyme,  Hydroxylation,  Pyruvate,  Nucleus,  Translation regulation,  Direct protein sequencing,  Magnesium,  Glycolysis, Isopeptide bond,  Metal-binding,  Phosphoprotein, Nucleotide-binding,  Alternative splicing","GO:0065007, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0030312, GO:1902494, GO:0042995"
1,Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"mitochondrion HDA, pyruvate dehydrogenase complex ISS, nucleoplasm ISO, mitochondrial pyruvate dehydrogenase complex IBA","GO:0005654, GO:0005739, GO:0005967, GO:0045254","pyruvate dehydrogenase (NAD+) activity IEA, pyruvate dehydrogenase (acetyl-transferring) activity ISS","GO:0004739, GO:0034604","tricarboxylic acid cycle IEA, mitochondrial acetyl-CoA biosynthetic process from pyruvate ISO, acetyl-CoA biosynthetic process from pyruvate ISS, glucose metabolic process IEA","GO:0006006, GO:0061732, GO:0006086, GO:0006099","Acetylation, Pyruvate,  Phosphoprotein, Glucose metabolism, Tricarboxylic acid cycle,  Transit peptide,  Oxidoreductase,  Carbohydrate metabolism,  Thiamine pyrophosphate,  Reference proteome,  Mitochondrion,  Direct protein sequencing","GO:0008152, GO:0009987",GO:0003824,"GO:0043226, GO:1902494, GO:0005622, GO:0098798"
2,P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"mitochondrion HDA, membrane raft ISO, cytosol ISO, myelin sheath HDA","GO:0045121, GO:0005829, GO:0005739, GO:0043209","identical protein binding ISO, lactate dehydrogenase activity ISO, L-lactate dehydrogenase activity IDA, kinase binding ISO, NAD binding ISO","GO:0004457, GO:0042802, GO:0004459, GO:0019900, GO:0051287","lactate biosynthetic process from pyruvate IC, carbohydrate metabolic process IEA, lactate metabolic process ISO, NAD metabolic process ISO","GO:0019674, GO:0006089, GO:0019244, GO:0005975","Acetylation,  NAD, Phosphoprotein,  Oxidoreductase,  Cytoplasm,  Reference proteome,  Direct protein sequencing","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
3,Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"nucleus ISS, mitochondrial matrix IEA, mitochondrion HDA, intracellular membrane-bounded organelle ISO, myelin sheath HDA, oxoglutarate dehydrogenase complex ISS, plasma membrane ISO","GO:0005739, GO:0043231, GO:0043209, GO:0045252, GO:0005759, GO:0005634, GO:0005886","transferase activity, transferring acyl groups ISS, chaperone binding ISO, dihydrolipoyllysine-residue succinyltransferase activity ISS, heat shock protein binding ISO","GO:0016746, GO:0031072, GO:0004149, GO:0051087","succinyl-CoA metabolic process ISS, 2-oxoglutarate metabolic process ISS, tricarboxylic acid cycle ISS, NADH metabolic process ISO, histone succinylation ISS, L-lysine catabolic process to acetyl-CoA via saccharopine IEA","GO:0006734, GO:0006104, GO:0006103, GO:0006099, GO:0106077, GO:0033512","Reference proteome,  Acyltransferase, Acetylation,  Lipoyl,  Phosphoprotein,  Tricarboxylic acid cycle, Direct protein sequencing,  Transferase,  Transit peptide,  Alternative splicing,  Nucleus,  Mitochondrion","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0045239, GO:0016020, GO:0005622, GO:0031974, GO:1902494"
4,Q9DB77,QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial",Mus musculus (Mouse),"mitochondrial inner membrane HDA, nucleoplasm ISO, mitochondrial respiratory chain complex IV ISO, myelin sheath HDA, mitochondrial respiratory chain complex III IDA, mitochondrion IDA","GO:0005739, GO:0005750, GO:0043209, GO:0005743, GO:0005654, GO:0005751","protein-containing complex binding ISO, metal ion binding IEA","GO:0044877, GO:0046872","oxidation-reduction process IEA, proteolysis IEA, response to drug IEA","GO:0042493, GO:0006508, GO:0055114","Reference proteome, Acetylation,  Phosphoprotein, Mitochondrion,  Electron transport,  Transit peptide,  Mitochondrion inner membrane,  Transport,  Membrane,  Respiratory chain,  Direct protein sequencing","GO:0008152, GO:0050896",GO:0005488,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:1902494, GO:0098796"
5,Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"mitochondrial inner membrane HDA, mitochondrial proton-transporting ATP synthase, stator stalk IBA, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) ISO, myelin sheath HDA, mitochondrial proton-transporting ATP synthase complex ISS, mitochondrion IDA","GO:0005739, GO:0005753, GO:0043209, GO:0005743, GO:0000274, GO:0000276","proton-transporting ATP synthase activity, rotational mechanism IEA, protein-containing complex binding ISO","GO:0044877, GO:0046933","ATP synthesis coupled proton transport IBA, mitochondrial ATP synthesis coupled proton transport ISO, ATP metabolic process ISO","GO:0015986, GO:0042776, GO:0046034","Reference proteome, Acetylation, Ion transport,  CF(0),  Mitochondrion inner membrane,  Transport,  Membrane,  Hydrogen ion transport,  Mitochondrion,  Direct protein sequencing","GO:0008152, GO:0009987, GO:0051179","GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0098796"
6,Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),"mitochondrion HDA, mitochondrial matrix ISS","GO:0005739, GO:0005759","metal ion binding IEA, propionyl-CoA carboxylase activity IMP, enzyme binding ISO, ATP binding IEA, CoA carboxylase activity IBA","GO:0046872, GO:0016421, GO:0019899, GO:0004658, GO:0005524",lipid catabolic process IEA,GO:0016042," Magnesium,  Lipid degradation,  Ligase, Acetylation,  Metal-binding,  Phosphoprotein,  Transit peptide,  ATP-binding,  Biotin, Lipid metabolism, Nucleotide-binding,  Reference proteome,  Mitochondrion",GO:0008152,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622"
7,Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"nucleoplasm ISO, cytosol IBA","GO:0005654, GO:0005829","protein homodimerization activity ISO, pyridoxal phosphate binding ISO, lithium ion binding ISO, drug binding ISO, pyridoxal binding ISO, pyridoxal kinase activity ISO, zinc ion binding ISO, ATP binding ISO, sodium ion binding ISO, potassium ion binding ISO, magnesium ion binding ISO","GO:0008270, GO:0070280, GO:0030170, GO:0030955, GO:0008144, GO:0005524, GO:0042803, GO:0000287, GO:0031402, GO:0008478, GO:0031403","pyridoxal 5'-phosphate salvage ISO, negative regulation of apoptotic process ISO, pyridoxal phosphate biosynthetic process ISO","GO:0043066, GO:0042823, GO:0009443","Reference proteome, Acetylation,  Metal-binding,  Nucleotide-binding,  Phosphoprotein, Magnesium,  Transferase,  ATP-binding,  Kinase,  Cytoplasm,  Zinc,  Sodium,  Direct protein sequencing","GO:0065007, GO:0009987, GO:0008152","GO:0003824, GO:0005488",
8,P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"SNARE complex IBA, postsynapse ISO, presynapse ISO, synaptobrevin 2-SNAP-25-syntaxin-1a complex IDA, myelin sheath HDA, vacuolar membrane IBA","GO:0098793, GO:0070044, GO:0098794, GO:0043209, GO:0005774, GO:0031201","SNARE binding ISO, soluble NSF attachment protein activity IBA, syntaxin binding IDA","GO:0005483, GO:0000149, GO:0019905","SNARE complex disassembly IGI, protein-containing complex disassembly ISO, regulation of ATPase activity ISO, regulation of receptor internalization ISO, regulation of synaptic vesicle priming IGI, synaptic transmission, glutamatergic IGI, intracellular protein transport IBA, synaptic vesicle endocytosis IC","GO:0035494, GO:0006886, GO:0043462, GO:0032984, GO:0048488, GO:0010807, GO:0002090, GO:0035249","Reference proteome,  ER-Golgi transport, Direct protein sequencing,  Transport,  Protein transport,  Membrane","GO:0051179, GO:0065007, GO:0009987, GO:0023052","GO:0005488, GO:0060090","GO:0016020, GO:0098796"
9,Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"photoreceptor ribbon synapse IDA, leading edge membrane ISO, axon terminus ISO, presynaptic endocytic zone IDA, extrinsic component of synaptic vesicle membrane ISO, plasma membrane IBA, cytoskeleton IEA, synaptic vesicle IDA, glutamatergic synapse IDA","GO:0005856, GO:0043679, GO:0098684, GO:0008021, GO:0031256, GO:0098978, GO:0098833, GO:0098850, GO:0005886","phospholipid binding ISO, protein C-terminus binding ISO, protein-containing complex binding ISO","GO:0005543, GO:0044877, GO:0008022","synaptic vesicle endocytosis IDA, learning IMP","GO:0048488, GO:0007612"," Phosphoprotein,  Cytoskeleton,  Cytoplasmic vesicle,  SH3 domain, Membrane,  Synapse, Cell junction,  Cytoplasm,  Coiled coil,  Reference proteome","GO:0051179, GO:0007610, GO:0009987, GO:0032501",GO:0005488,"GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0019898, GO:0030054"
