Q9CWB1," Allosteric enzyme,  Metal-binding,  Direct protein sequencing,  Hydroxylation, Acetylation,  Methylation, Nucleotide-binding,  Magnesium,  Glycolysis, Reference proteome,  Translation regulation,  Ubl conjugation, Isopeptide bond,  Transferase,  Nucleus,  Kinase,  Phosphoprotein, Cytoplasm,  Pyruvate,  Alternative splicing,  ATP-binding,  Potassium"
Q9D051," Carbohydrate metabolism,  Reference proteome,  Direct protein sequencing,  Mitochondrion, Tricarboxylic acid cycle,  Phosphoprotein, Pyruvate,  Thiamine pyrophosphate,  Oxidoreductase, Acetylation,  Transit peptide, Glucose metabolism"
P16125," Cytoplasm,  NAD,  Direct protein sequencing,  Reference proteome, Phosphoprotein,  Oxidoreductase, Acetylation"
Q9D2G2,"Direct protein sequencing,  Lipoyl,  Nucleus,  Tricarboxylic acid cycle,  Mitochondrion, Reference proteome,  Alternative splicing,  Phosphoprotein, Acetylation,  Transit peptide,  Acyltransferase,  Transferase"
Q9CPY7," Cytoplasm, Direct protein sequencing,  Manganese,  Metal-binding,  Zinc,  Reference proteome,  Aminopeptidase,  Hydrolase,  Protease, Phosphoprotein, Acetylation,  Alternative initiation,  Magnesium"
P28663,"Direct protein sequencing,  Transport,  Protein transport, Reference proteome,  Membrane,  ER-Golgi transport"
Q7TQF7," Cytoplasm,  Coiled coil,  Reference proteome,  Synapse, Cell junction,  Phosphoprotein,  Cytoskeleton,  Cytoplasmic vesicle,  SH3 domain, Membrane"
P09411,"Direct protein sequencing,  Cytoplasm,  Glycolysis,  Acetylation,  Reference proteome,  Kinase,  Phosphoprotein,  Hydroxylation,  ATP-binding, Nucleotide-binding, 3D-structure,  Transferase"
Q64521,"Calcium,  Reference proteome,  Direct protein sequencing,  Mitochondrion,  Membrane, Metal-binding, Phosphoprotein,  Oxidoreductase,  Transit peptide,  Repeat,  Mitochondrion inner membrane,  Flavoprotein,  FAD"
P09671," Metal-binding,  Manganese,  Reference proteome,  Direct protein sequencing,  Ubl conjugation, Transit peptide,  Oxidoreductase, Acetylation,  Nitration, Mitochondrion"
