,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
0,Q99KX1,MLF2_MOUSE,Myeloid leukemia factor 2,Mus musculus (Mouse),"cytoplasm IBA, nucleus IDA","GO:0005737, GO:0005634","regulation of transcription, DNA-templated IBA",GO:0006355,"Cytoplasm,  Nucleus,  Reference proteome,  Phosphoprotein",,,GO:0065007,,"GO:0043229, GO:0043227"
1,A2AC93,DNAI2_MOUSE,"Dynein intermediate chain 2, axonemal",Mus musculus (Mouse),"cilium IDA, 9+2 motile cilium IDA, axoneme IDA, microtubule IEA, sperm flagellum ISO, external side of plasma membrane IDA, outer dynein arm ISO, axonemal dynein complex ISO, cytoplasm IDA","GO:0005858, GO:0036157, GO:0097729, GO:0005930, GO:0005737, GO:0036126, GO:0009897, GO:0005874, GO:0005929","cilium assembly ISO, outer dynein arm assembly ISO, determination of left/right symmetry ISO, cilium movement ISO, microtubule-based movement IBA","GO:0007368, GO:0003341, GO:0007018, GO:0060271, GO:0036158"," Reference proteome,  Cytoplasm,  Motor protein,  Repeat, Alternative splicing,  WD repeat,  Cilium,  Cytoskeleton, Microtubule,  Cell projection, Cilium biogenesis/degradation,  Dynein","dynein light chain binding IBA, dynein heavy chain binding IBA, microtubule motor activity ISO","GO:0045504, GO:0003777, GO:0045503","GO:0032501, GO:0009987","GO:0003824, GO:0005488","GO:0005929, GO:0098552, GO:0099080, GO:0042995, GO:1902494, GO:0005875"
2,A2AIG8,1A1L1_MOUSE,1-aminocyclopropane-1-carboxylate synthase-like protein 1,Mus musculus (Mouse),,,biosynthetic process IEA,GO:0009058," Reference proteome, Alternative splicing,  Pyridoxal phosphate","catalytic activity IEA, identical protein binding ISO, pyridoxal phosphate binding IEA","GO:0042802, GO:0003824, GO:0030170",GO:0008152,GO:0005488,
3,A2AJA9,AJM1_MOUSE,Apical junction component 1 homolog {ECO:0000305},Mus musculus (Mouse),"apical plasma membrane IEA, cilium IEA, adherens junction IEA","GO:0016324, GO:0005929, GO:0005912",cell-cell junction organization IEA,GO:0045216," Cell junction,  Reference proteome,  Methylation, Alternative splicing, Membrane,  Cell projection,  Cell membrane,  Phosphoprotein",,,GO:0009987,,"GO:0042995, GO:0030054, GO:0098590"
4,A2ALU4,SHRM2_MOUSE,Protein Shroom2,Mus musculus (Mouse),"bicellular tight junction IDA, apical plasma membrane IDA, adherens junction IDA, microtubule IEA, cell cortex IDA, plasma membrane IDA, cell-cell junction IDA, neuronal cell body IDA, apical junction complex IDA, cytoplasm IDA, cytoskeleton IDA","GO:0005912, GO:0005886, GO:0043296, GO:0005737, GO:0005856, GO:0016324, GO:0005911, GO:0005874, GO:0005938, GO:0043025, GO:0005923","negative regulation of actin filament depolymerization IDA, cell-cell junction maintenance IDA, apical protein localization ISS, camera-type eye development ISS, establishment of melanosome localization ISS, cell migration IMP, ear development ISS, actin filament organization IBA, brain development ISS, lens morphogenesis in camera-type eye ISS, actin cytoskeleton organization IBA, melanosome organization IMP, cellular pigment accumulation ISS, eye pigment granule organization ISS, camera-type eye morphogenesis ISS","GO:0045217, GO:0043482, GO:0008057, GO:0043583, GO:0007420, GO:0032438, GO:0016477, GO:0002089, GO:0032401, GO:0043010, GO:0045176, GO:0007015, GO:0048593, GO:0030835, GO:0030036"," Cell junction,  Reference proteome,  Alternative splicing,  Membrane,  Cytoskeleton,  Developmental protein,  Tight junction, Phosphoprotein,  Cell membrane, Cytoplasm, Actin-binding,  Microtubule","actin filament binding IDA, beta-catenin binding IDA, actin binding IDA, protein domain specific binding IPI","GO:0019904, GO:0008013, GO:0051015, GO:0003779","GO:0009987, GO:0051179, GO:0032502, GO:0040011, GO:0050896, GO:0043473, GO:0065007",GO:0005488,"GO:0043228, GO:0099080, GO:0044297, GO:0005737, GO:0030054, GO:0043229, GO:0098590"
5,A2ARK0,FA83C_MOUSE,Protein FAM83C {ECO:0000305},Mus musculus (Mouse),,,signal transduction IBA,GO:0007165,Reference proteome,protein kinase binding ISO,GO:0019901,"GO:0065007, GO:0009987",GO:0005488,
6,A2AVA0,FT,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Mus musculus (Mouse),"membrane IEA, extracellular matrix TAS, extracellular space IDA, extracellular region ISS, cytoplasm ISO, nucleus ISO","GO:0031012, GO:0005576, GO:0005737, GO:0005634, GO:0016020, GO:0005615","lymph circulation IMP, gene expression IMP, lymph vessel morphogenesis IMP, lymph vessel development IMP, tight junction organization IMP, Tie signaling pathway IMP, epithelial cell-cell adhesion ISO, epidermis development IMP, cell migration ISO","GO:0010467, GO:0120193, GO:0008544, GO:0003017, GO:0090136, GO:0001945, GO:0016477, GO:0036303, GO:0048014"," Reference proteome,  Cytoplasm,  Sushi,  Repeat,  Disulfide bond, Alternative splicing,  Membrane, Secreted,  Cell adhesion,  Glycoprotein,  Signal, EGF-like domain,  Calcium","calcium ion binding IEA, chromatin binding IDA","GO:0005509, GO:0003682","GO:0022610, GO:0009987, GO:0008152, GO:0032502, GO:0040011, GO:0032501, GO:0065007",GO:0005488,"GO:0030312, GO:0043229, GO:0043227"
7,A2CI98,DYTN_MOUSE,Dystrotelin,Mus musculus (Mouse),"synapse IEA, plasma membrane IBA","GO:0005886, GO:0045202",synaptic signaling IBA,GO:0099536," Reference proteome,  Zinc-finger, Cell membrane,  Coiled coil, Zinc,  Membrane,  Metal-binding",zinc ion binding IEA,GO:0008270,"GO:0023052, GO:0009987",GO:0005488,GO:0030054
8,A2TJV2,FT,Paralemmin-3,Mus musculus (Mouse),"cytoplasm IEA, plasma membrane IEA","GO:0005886, GO:0005737","Toll signaling pathway ISO, negative regulation of cytokine-mediated signaling pathway ISO, response to lipopolysaccharide ISO","GO:0008063, GO:0032496, GO:0001960","Methylation,  Nucleotide-binding,  Palmitate,  Cytoplasm,  Coiled coil,  Repeat,  Prenylation,  Membrane, Reference proteome, ATP-binding,  Cell membrane,  Phosphoprotein,  Lipoprotein",ATP binding IEA,GO:0005524,"GO:0065007, GO:0009987, GO:0050896",GO:0005488,
9,A2VDH3,FT,Leucine-rich repeat-containing protein 38,Mus musculus (Mouse),voltage-gated potassium channel complex ISO,GO:0008076,"positive regulation of voltage-gated potassium channel activity ISO, potassium ion transmembrane transport ISO","GO:0071805, GO:1903818","Leucine-rich repeat,  Reference proteome, Cell membrane,  Repeat,  Ion transport,  Disulfide bond,  Membrane,  Transmembrane helix,  Transport, Transmembrane,  Glycoprotein,  Signal,  Ion channel","potassium channel activator activity ISO, ion channel binding ISO, voltage-gated potassium channel activity IBA","GO:0044325, GO:0005249, GO:0099104","GO:0051179, GO:0065007, GO:0009987","GO:0005215, GO:0098772, GO:0005488","GO:1990351, GO:0098796"
10,A3KFM7,CHD6_MOUSE,Chromodomain-helicase-DNA-binding protein 6,Mus musculus (Mouse),nucleoplasm ISS,GO:0005654,"positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress ISS, chromatin organization IEA","GO:0036091, GO:0006325"," Hydrolase,  Nucleotide-binding,  Repeat,  Chromatin regulator, Helicase, Alternative splicing,  Transcription,  Nucleus, Reference proteome,  Transcription regulation,  Phosphoprotein,  DNA-binding,  ATP-binding","transcription cofactor binding ISO, DNA helicase activity IEA, DNA-dependent ATPase activity ISS, ATP binding IEA, DNA binding IEA","GO:0008094, GO:0003677, GO:0001221, GO:0003678, GO:0005524","GO:0065007, GO:0009987, GO:0050896","GO:0005488, GO:0003824",
11,A3KGF9,CCD9B_MOUSE,Coiled-coil domain-containing protein 9B {ECO:0000250|UniProtKB:Q6ZUT6},Mus musculus (Mouse),,,,," Direct protein sequencing, Coiled coil,  Reference proteome,  Phosphoprotein",,,,,
12,A6H611,MIPEP_MOUSE,Mitochondrial intermediate peptidase,Mus musculus (Mouse),"mitochondrion HDA, mitochondrial matrix ISO","GO:0005739, GO:0005759","protein processing involved in protein targeting to mitochondrion IBA, proteolysis IBA, peptide metabolic process IBA","GO:0006508, GO:0006518, GO:0006627"," Hydrolase,  Metalloprotease,  Magnesium,  Protease,  Transit peptide, Acetylation, Metal-binding,  Cobalt,  Zinc,  Iron,  Manganese, Reference proteome,  Mitochondrion,  Calcium","metal ion binding IEA, metalloendopeptidase activity IBA, endopeptidase activity ISO","GO:0046872, GO:0004175, GO:0004222","GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0031974, GO:0043229, GO:0043227"
13,B0F2B4,FT,Neuroligin 4-like,Mus musculus (Mouse),"dendrite ISS, presynapse IEA, cell surface ISS, excitatory synapse ISS, synapse IDA, postsynaptic membrane IC, plasma membrane IDA, integral component of plasma membrane IBA","GO:0005887, GO:0045202, GO:0005886, GO:0098793, GO:0060076, GO:0009986, GO:0030425, GO:0045211","territorial aggressive behavior IMP, brainstem development IMP, vocalization behavior IMP, postsynaptic membrane assembly IBA, cerebellum development IMP, modulation of chemical synaptic transmission IBA, negative regulation of excitatory postsynaptic potential ISS, neuron cell-cell adhesion IBA, social behavior IMP, synaptic vesicle endocytosis IBA, chemical synaptic transmission IBA, presynaptic membrane assembly ISS, male courtship behavior IMP, organ growth IMP","GO:0007268, GO:0097105, GO:0048488, GO:0090394, GO:0035265, GO:0008049, GO:0007158, GO:0002124, GO:0097104, GO:0071625, GO:0003360, GO:0021549, GO:0035176, GO:0050804"," Reference proteome,  Disulfide bond,  Transmembrane helix,  Membrane, Transmembrane, Postsynaptic cell membrane,  Cell membrane,  Signal, Cell junction,  Synapse","signaling receptor activity IBA, neurexin family protein binding ISS","GO:0038023, GO:0042043","GO:0022610, GO:0051703, GO:0023052, GO:0009987, GO:0051179, GO:0040007, GO:0032502, GO:0032501, GO:0065007, GO:0007610, GO:0022414","GO:0005488, GO:0060089","GO:0098590, GO:0030054, GO:0042995, GO:0031224"
14,B1AUC7,RHG36_MOUSE,Rho GTPase-activating protein 36,Mus musculus (Mouse),,,signal transduction IEA,GO:0007165," GTPase activation,  Reference proteome, Alternative splicing",GTPase activator activity IEA,GO:0005096,"GO:0065007, GO:0009987",GO:0098772,
15,B1AUR6,MMS22_MOUSE,Protein MMS22-like,Mus musculus (Mouse),"nucleoplasm ISO, FACT complex IEA, cytosol ISO, nuclear replication fork ISS, MCM complex IEA","GO:0005829, GO:0035101, GO:0005654, GO:0042555, GO:0043596","replication fork processing ISS, double-strand break repair via homologous recombination ISS","GO:0031297, GO:0000724"," Reference proteome, Alternative splicing,  DNA repair,  Nucleus,  DNA damage",,,"GO:0009987, GO:0050896, GO:0008152",,"GO:0005657, GO:0140513"
16,B1AXH1,NHSL2_MOUSE,NHS-like protein 2 {ECO:0000305},Mus musculus (Mouse),,,cell differentiation IBA,GO:0030154," Reference proteome, Phosphoprotein",,,"GO:0009987, GO:0032502",,
17,B2RXR6,ANR44_MOUSE,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Mus musculus (Mouse),,,,," Reference proteome,  Repeat, ANK repeat",,,,,
