Q99KX1,"Cytoplasm,  Nucleus,  Reference proteome,  Phosphoprotein"
A2AC93," Reference proteome,  Cytoplasm,  Motor protein,  Repeat, Alternative splicing,  WD repeat,  Cilium,  Cytoskeleton, Microtubule,  Cell projection, Cilium biogenesis/degradation,  Dynein"
A2AIG8," Reference proteome, Alternative splicing,  Pyridoxal phosphate"
A2AJA9," Cell junction,  Reference proteome,  Methylation, Alternative splicing, Membrane,  Cell projection,  Cell membrane,  Phosphoprotein"
A2ALU4," Cell junction,  Reference proteome,  Alternative splicing,  Membrane,  Cytoskeleton,  Developmental protein,  Tight junction, Phosphoprotein,  Cell membrane, Cytoplasm, Actin-binding,  Microtubule"
A2ARK0,Reference proteome
A2AVA0," Reference proteome,  Cytoplasm,  Sushi,  Repeat,  Disulfide bond, Alternative splicing,  Membrane, Secreted,  Cell adhesion,  Glycoprotein,  Signal, EGF-like domain,  Calcium"
A2CI98," Reference proteome,  Zinc-finger, Cell membrane,  Coiled coil, Zinc,  Membrane,  Metal-binding"
A2TJV2,"Methylation,  Nucleotide-binding,  Palmitate,  Cytoplasm,  Coiled coil,  Repeat,  Prenylation,  Membrane, Reference proteome, ATP-binding,  Cell membrane,  Phosphoprotein,  Lipoprotein"
A2VDH3,"Leucine-rich repeat,  Reference proteome, Cell membrane,  Repeat,  Ion transport,  Disulfide bond,  Membrane,  Transmembrane helix,  Transport, Transmembrane,  Glycoprotein,  Signal,  Ion channel"
A3KFM7," Hydrolase,  Nucleotide-binding,  Repeat,  Chromatin regulator, Helicase, Alternative splicing,  Transcription,  Nucleus, Reference proteome,  Transcription regulation,  Phosphoprotein,  DNA-binding,  ATP-binding"
A3KGF9," Direct protein sequencing, Coiled coil,  Reference proteome,  Phosphoprotein"
A6H611," Hydrolase,  Metalloprotease,  Magnesium,  Protease,  Transit peptide, Acetylation, Metal-binding,  Cobalt,  Zinc,  Iron,  Manganese, Reference proteome,  Mitochondrion,  Calcium"
B0F2B4," Reference proteome,  Disulfide bond,  Transmembrane helix,  Membrane, Transmembrane, Postsynaptic cell membrane,  Cell membrane,  Signal, Cell junction,  Synapse"
B1AUC7," GTPase activation,  Reference proteome, Alternative splicing"
B1AUR6," Reference proteome, Alternative splicing,  DNA repair,  Nucleus,  DNA damage"
B1AXH1," Reference proteome, Phosphoprotein"
B2RXR6," Reference proteome,  Repeat, ANK repeat"
B2RXZ1," Hydrolase,  Reference proteome,  Magnesium,  Exonuclease, Endoplasmic reticulum, Metal-binding, RNA-binding,  Transmembrane,  Membrane,  Transmembrane helix,  Nonsense-mediated mRNA decay,  Nuclease"
B5TVM2,"Methylation,  Immunoglobulin domain,  Reference proteome,  Transmembrane,  Membrane,  Endoplasmic reticulum, Disulfide bond,  Signal,  Phosphoprotein, Transmembrane helix"
C8YR32," Reference proteome,  Hearing,  Repeat, Cell projection,  Polymorphism"
E9PVB3,"Coiled coil,  Reference proteome"
E9PY46," Reference proteome,  Cytoplasm,  Repeat, Cytoskeleton,  WD repeat,  Cilium biogenesis/degradation,  Cilium,  Disease mutation, TPR repeat,  Phosphoprotein, Cell projection"
E9Q414," Coiled coil, Acetylation,  Cholesterol metabolism,  Palmitate, Steroid metabolism,  Repeat,  Secreted,  Chylomicron,  LDL, Reference proteome,  Glycoprotein,  Lipid droplet,  Signal,  RNA editing,  Heparin-binding,  Transport,  Phosphoprotein, Lipid metabolism,  Sterol metabolism,  Cytoplasm,  VLDL,  Lipid transport, Disulfide bond,  Lipoprotein"
E9Q555," Hydrolase, 3D-structure, Isopeptide bond,  Reference proteome,  Cytoplasm,  Zinc-finger,  Coiled coil,  Angiogenesis,  Zinc,  Metal-binding,  Ubl conjugation, Transferase,  Phosphoprotein,  Ubl conjugation pathway"
G3UZ78," Reference proteome, Alternative splicing,  Coiled coil"
H3BJG9," Reference proteome, Cell membrane,  Disulfide bond,  GPI-anchor, Membrane,  Glycoprotein,  Signal,  Lipoprotein"
