,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,Q64288,OMP_MOUSE,Olfactory marker protein,Mus musculus (Mouse),"axon IDA, nucleus IDA, neuronal cell body IDA, cytoplasm IDA, cytosol IDA","GO:0043025, GO:0005634, GO:0005829, GO:0005737, GO:0030424",peptide binding ISO,GO:0042277,"signal transduction IEA, neurogenesis IDA, sensory perception of smell IMP","GO:0022008, GO:0007608, GO:0007165","Sensory transduction, 3D-structure,  Acetylation,  Cytoplasm,  Olfaction,  Reference proteome","GO:0009987, GO:0032501, GO:0065007, GO:0032502",GO:0005488,"GO:0044297, GO:0043227, GO:0042995, GO:0043229"
1,Q9Z2M7,PMM2_MOUSE,Phosphomannomutase 2,Mus musculus (Mouse),"neuronal cell body IDA, cytosol ISO, cytoplasm IDA, nucleoplasm ISO","GO:0043025, GO:0005829, GO:0005737, GO:0005654",phosphomannomutase activity IBA,GO:0004615,"protein N-linked glycosylation IBA, GDP-mannose biosynthetic process IEA, protein targeting to ER IBA, mannose metabolic process IBA","GO:0045047, GO:0006487, GO:0009298, GO:0006013","Reference proteome,  Cytoplasm,  Magnesium,  Metal-binding,  Isomerase, Acetylation","GO:0009987, GO:0051179, GO:0008152",GO:0003824,GO:0044297
2,P24529,TY3H_MOUSE,Tyrosine 3-monooxygenase,Mus musculus (Mouse),"terminal bouton ISO, axon IDA, nucleus IDA, perinuclear region of cytoplasm IDA, cytoplasmic vesicle membrane ISO, neuron projection IDA, neuronal cell body ISO, melanosome membrane ISO, cytoplasmic side of plasma membrane ISO, mitochondrion ISO, perikaryon IDA, cytoplasm IDA, smooth endoplasmic reticulum ISO, cytoplasmic vesicle ISO, cytosol ISO, dendrite ISO, synaptic vesicle ISO","GO:0030425, GO:0033162, GO:0048471, GO:0043195, GO:0031410, GO:0043204, GO:0043025, GO:0005634, GO:0030659, GO:0008021, GO:0043005, GO:0005829, GO:0005737, GO:0030424, GO:0005739, GO:0005790, GO:0009898","tetrahydrobiopterin binding ISO, ferric iron binding ISO, monooxygenase activity ISO, enzyme binding ISO, identical protein binding ISO, amino acid binding ISO, protein domain specific binding ISO, tyrosine 3-monooxygenase activity ISO, ferrous iron binding ISO, dopamine binding ISO, oxygen binding ISO","GO:0019904, GO:0016597, GO:0004497, GO:0008199, GO:0034617, GO:0008198, GO:0035240, GO:0019899, GO:0004511, GO:0042802, GO:0019825","response to salt stress IEA, cellular response to nicotine IEA, circadian sleep/wake cycle IEA, aminergic neurotransmitter loading into synaptic vesicle ISO, cellular response to manganese ion IEA, memory IMP, cellular response to alkaloid IEA, response to lipopolysaccharide IEA, response to isolation stress IEA, eye photoreceptor cell development IMP, catecholamine biosynthetic process ISO, learning IMP, heart development IMP, response to light stimulus IEA, response to peptide hormone IEA, social behavior IEA, response to corticosterone IEA, response to ethanol ISO, response to zinc ion IEA, response to activity IEA, locomotory behavior IMP, response to estradiol IEA, phytoalexin metabolic process IEA, epinephrine biosynthetic process ISO, sensory perception of sound IEA, embryonic camera-type eye morphogenesis IMP, dopamine biosynthetic process from tyrosine IDA, response to water deprivation IEA, phthalate metabolic process IEA, response to immobilization stress IEA, eating behavior IMP, mating behavior IMP, regulation of heart contraction IMP, synaptic transmission, dopaminergic IMP, visual perception IMP, dopamine biosynthetic process ISO, animal organ morphogenesis IMP, cellular response to drug IEA, response to ether IEA, cellular response to growth factor stimulus IEA, multicellular organism aging IEA, cellular response to glucose stimulus IEA, hyaloid vascular plexus regression IMP, response to herbicide IEA, response to nutrient levels IEA, neurotransmitter biosynthetic process IEA, glycoside metabolic process IEA, response to electrical stimulus IEA, response to amphetamine IEA, response to pyrethroid IEA, response to hypoxia ISO, cerebral cortex development IEA, terpene metabolic process IEA, fatty acid metabolic process IEA, isoquinoline alkaloid metabolic process IEA, sphingolipid metabolic process IEA, norepinephrine biosynthetic process ISO","GO:0035900, GO:0032496, GO:0042745, GO:0010043, GO:0042214, GO:0016137, GO:0042755, GO:0033076, GO:0052314, GO:0051412, GO:0006631, GO:0001666, GO:0006585, GO:0046684, GO:0007605, GO:0007626, GO:0051602, GO:0001963, GO:0031667, GO:0071363, GO:0032355, GO:0071312, GO:0010259, GO:0045472, GO:0035902, GO:0009887, GO:0042418, GO:0007612, GO:0042421, GO:0071287, GO:0008016, GO:1990384, GO:0071316, GO:0043434, GO:0042423, GO:0009635, GO:0001975, GO:0045471, GO:0021987, GO:0042416, GO:0007601, GO:0035176, GO:0071333, GO:0018963, GO:0006665, GO:0007613, GO:0009651, GO:0042136, GO:0035690, GO:0048596, GO:0042462, GO:0015842, GO:0007617, GO:0009414, GO:0007507, GO:0009416, GO:0014823","Catecholamine biosynthesis,  Direct protein sequencing,  Monooxygenase,  Iron,  Cytoplasm,  Neurotransmitter biosynthesis, Metal-binding, Oxidoreductase,  Reference proteome,  Phosphoprotein","GO:0009987, GO:0032501, GO:0048511, GO:0023052, GO:0065007, GO:0051703, GO:0050896, GO:0032502, GO:0051179, GO:0007610, GO:0008152, GO:0022414","GO:0005488, GO:0003824","GO:0098793, GO:0043227, GO:0044297, GO:0042995, GO:0031090, GO:0043229, GO:0098552"
3,A0JNU3,LPP60_MOUSE,60 kDa lysophospholipase,Mus musculus (Mouse),,,"1-alkyl-2-acetylglycerophosphocholine esterase activity ISO, lysophospholipase activity ISS, asparaginase activity ISO, transferase activity, transferring acyl groups other than amino-acyl groups ISS, phosphatidyl phospholipase B activity IEA","GO:0016747, GO:0102545, GO:0003847, GO:0004622, GO:0004067","asparagine metabolic process ISO, lipid catabolic process IEA, phospholipid metabolic process ISO","GO:0016042, GO:0006644, GO:0006528"," Repeat,  Hydrolase,  Lipid degradation,  Transferase,  ANK repeat, Acyltransferase,  Reference proteome, Lipid metabolism,  Phosphoprotein","GO:0009987, GO:0008152",GO:0003824,
4,A2APT9,KLD7A_MOUSE,Kelch domain-containing protein 7A,Mus musculus (Mouse),integral component of membrane IEA,GO:0016021,,,,,"Repeat,  Membrane,  Transmembrane,  Transmembrane helix, Glycoprotein,  Reference proteome,  Phosphoprotein,  Kelch repeat",,,GO:0031224
5,A6BLY7,K1C28_MOUSE,"Keratin, type I cytoskeletal 28",Mus musculus (Mouse),"cytoplasm IEA, intermediate filament IEA","GO:0005882, GO:0005737",structural molecule activity IEA,GO:0005198,,,"Coiled coil,  Cytoplasm,  Intermediate filament,  Keratin,  Reference proteome",,,GO:0099080
6,A6H603,NWD1_MOUSE,NACHT domain- and WD repeat-containing protein 1,Mus musculus (Mouse),cytosol ISS,GO:0005829,ATP binding IEA,GO:0005524,"positive regulation of gene expression ISS, negative regulation of NF-kappaB transcription factor activity ISS","GO:0032088, GO:0010628","Alternative splicing, Reference proteome,  Repeat,  Cytoplasm,  ATP-binding,  WD repeat,  Nucleotide-binding",GO:0065007,GO:0005488,
7,A8E0Y8,FT,Immunoglobulin superfamily member 2,Mus musculus (Mouse),integral component of membrane IBA,GO:0016021,,,positive regulation of myeloid leukocyte differentiation IMP,GO:0002763,"Polymorphism,  Repeat,  Signal,  Immunoglobulin domain, Disulfide bond,  Membrane,  Transmembrane, Transmembrane helix,  Glycoprotein,  Reference proteome",GO:0065007,,GO:0031224
8,B1AY13,UBP24_MOUSE,Ubiquitin carboxyl-terminal hydrolase 24,Mus musculus (Mouse),"cytosol IBA, nucleus IBA","GO:0005829, GO:0005634","thiol-dependent ubiquitin-specific protease activity IBA, cysteine-type endopeptidase activity IBA","GO:0004197, GO:0004843","protein deubiquitination IBA, ubiquitin-dependent protein catabolic process IEA","GO:0016579, GO:0006511","Alternative splicing, Reference proteome,  Hydrolase,  Thiol protease,  Ubl conjugation pathway,  Phosphoprotein,  Protease","GO:0009987, GO:0008152",GO:0003824,"GO:0043227, GO:0043229"
9,B1AZ99,OTUD3_MOUSE,OTU domain-containing protein 3,Mus musculus (Mouse),cytoplasm ISO,GO:0005737,"cysteine-type peptidase activity IEA, thiol-dependent ubiquitin-specific protease activity ISS","GO:0008234, GO:0004843","protein K6-linked deubiquitination ISS, protein K27-linked deubiquitination ISO, negative regulation of protein kinase B signaling ISO, protein deubiquitination IBA, protein K48-linked deubiquitination ISO, protein K11-linked deubiquitination ISS, protein stabilization ISO","GO:0016579, GO:0044313, GO:0035871, GO:0050821, GO:1990167, GO:0051898, GO:0071108"," Thiol protease, Hydrolase,  Reference proteome, Ubl conjugation pathway,  Protease","GO:0009987, GO:0065007, GO:0008152",GO:0003824,
