Uniprot Entry,Accession Name,Protein Name,Organism,Brain Parts,Biological Process,Molecular Function,Cellular Component
Q9CXJ4,MITOS_MOUSE,"Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial sulfonylurea-receptor) (MITOSUR)",Mus musculus (Mouse),"['Medulla', 'Cerebellum']",[],[],[]
Q6GQT1,A2MG_MOUSE,Alpha-2-macroglobulin-P (Alpha-2-macroglobulin),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q61838,PZP_MOUSE,Pregnancy zone protein (Alpha-2-macroglobulin) (Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit Alpha-2-macroglobulin 35 kDa subunit],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9D258,ACBD7_MOUSE,Acyl-CoA-binding domain-containing protein 7,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9D358,PPAC_MOUSE,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q80W40,ACSM4_MOUSE,"Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Olfactory specific medium-chain acyl CoA synthetase) (O-MACS)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P03958,ADA_MOUSE,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q566J8,COQ8B_MOUSE,"Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q80YS6,AFAP1_MOUSE,Actin filament-associated protein 1 (110 kDa actin filament-associated protein) (AFAP-110),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q62148,AL1A2_MOUSE,Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II)),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
Q07456,AMBP_MOUSE,Protein AMBP [Cleaved into: Alpha-1-microglobulin Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30) Trypstatin],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9DBA8,HUTI_MOUSE,Probable imidazolonepropionase (EC 3.5.2.7) (Amidohydrolase domain-containing protein 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P59672,ANS1A_MOUSE,Ankyrin repeat and SAM domain-containing protein 1A (Odin),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
