Q9CWB1,"Reference proteome,  Ubl conjugation, Cytoplasm,  Methylation, Acetylation,  Potassium,  Transferase,  ATP-binding,  Kinase,  Allosteric enzyme,  Hydroxylation,  Pyruvate,  Nucleus,  Translation regulation,  Direct protein sequencing,  Magnesium,  Glycolysis, Isopeptide bond,  Metal-binding,  Phosphoprotein, Nucleotide-binding,  Alternative splicing"
Q9D051,"Acetylation, Pyruvate,  Phosphoprotein, Glucose metabolism, Tricarboxylic acid cycle,  Transit peptide,  Oxidoreductase,  Carbohydrate metabolism,  Thiamine pyrophosphate,  Reference proteome,  Mitochondrion,  Direct protein sequencing"
P16125,"Acetylation,  NAD, Phosphoprotein,  Oxidoreductase,  Cytoplasm,  Reference proteome,  Direct protein sequencing"
Q9D2G2,"Reference proteome,  Acyltransferase, Acetylation,  Lipoyl,  Phosphoprotein,  Tricarboxylic acid cycle, Direct protein sequencing,  Transferase,  Transit peptide,  Alternative splicing,  Nucleus,  Mitochondrion"
Q9DB77,"Reference proteome, Acetylation,  Phosphoprotein, Mitochondrion,  Electron transport,  Transit peptide,  Mitochondrion inner membrane,  Transport,  Membrane,  Respiratory chain,  Direct protein sequencing"
Q9DCX2,"Reference proteome, Acetylation, Ion transport,  CF(0),  Mitochondrion inner membrane,  Transport,  Membrane,  Hydrogen ion transport,  Mitochondrion,  Direct protein sequencing"
Q91ZA3," Magnesium,  Lipid degradation,  Ligase, Acetylation,  Metal-binding,  Phosphoprotein,  Transit peptide,  ATP-binding,  Biotin, Lipid metabolism, Nucleotide-binding,  Reference proteome,  Mitochondrion"
Q8K183,"Reference proteome, Acetylation,  Metal-binding,  Nucleotide-binding,  Phosphoprotein, Magnesium,  Transferase,  ATP-binding,  Kinase,  Cytoplasm,  Zinc,  Sodium,  Direct protein sequencing"
P28663,"Reference proteome,  ER-Golgi transport, Direct protein sequencing,  Transport,  Protein transport,  Membrane"
Q7TQF7," Phosphoprotein,  Cytoskeleton,  Cytoplasmic vesicle,  SH3 domain, Membrane,  Synapse, Cell junction,  Cytoplasm,  Coiled coil,  Reference proteome"
P09411," Glycolysis,  Phosphoprotein, Direct protein sequencing, 3D-structure,  Transferase,  ATP-binding,  Hydroxylation,  Kinase,  Cytoplasm, Nucleotide-binding,  Reference proteome,  Acetylation"
Q64521," Repeat, Metal-binding, Phosphoprotein,  Transit peptide,  FAD,  Flavoprotein, Calcium,  Mitochondrion inner membrane,  Oxidoreductase,  Membrane,  Reference proteome,  Mitochondrion,  Direct protein sequencing"
P09671,"Acetylation,  Metal-binding,  Ubl conjugation, Mitochondrion,  Nitration,  Oxidoreductase, Transit peptide,  Reference proteome,  Manganese,  Direct protein sequencing"
Q01853," Isopeptide bond, Nucleus,  Nucleotide-binding,  Lipid-binding,  Phosphoprotein,  Ubl conjugation, Ubl conjugation pathway, 3D-structure, Direct protein sequencing,  DNA repair,  Endoplasmic reticulum,  Reference proteome,  ATP-binding,  Cytoplasm,  Acetylation,  Transport,  DNA damage,  Methylation, Hydrolase,  Autophagy"
P40142," Isopeptide bond,  Calcium, Acetylation,  Metal-binding,  Phosphoprotein,  Ubl conjugation, Magnesium,  Transferase, Thiamine pyrophosphate,  Reference proteome,  Direct protein sequencing"
P17183," Isopeptide bond,  Magnesium,  Lyase, Acetylation,  Ubl conjugation,  Phosphoprotein, Metal-binding,  Hydroxylation,  Cell membrane,  Cytoplasm, Glycolysis,  Membrane,  Reference proteome,  Direct protein sequencing"
P63085,"Acetylation,  Nucleotide-binding,  Ubl conjugation,  Cytoskeleton, Direct protein sequencing, Phosphoprotein,  Reference proteome,  ATP-binding,  Serine/threonine-protein kinase, Transferase,  Kinase,  Cytoplasm,  Cell cycle,  Membrane,  Nucleus,  Apoptosis"
P68373,"Acetylation,  Nucleotide-binding,  Cytoskeleton, Phosphoprotein,  Nitration,  Microtubule,  Cytoplasm, GTP-binding,  Methylation,  Reference proteome,  Direct protein sequencing"
Q8BVI4,"Direct protein sequencing,  NADP, Tetrahydrobiopterin biosynthesis,  Oxidoreductase,  Reference proteome"
Q9CWS0,"Acetylation,  Metal-binding, Phosphoprotein,  S-nitrosylation,  Zinc,  Reference proteome,  Hydrolase,  Direct protein sequencing"
P05202,"Reference proteome,  Aminotransferase,  Pyridoxal phosphate,  Phosphoprotein, Direct protein sequencing, 3D-structure, Mitochondrion,  Nitration,  Transferase,  Transit peptide,  Lipid transport,  Cell membrane,  Transport,  Membrane,  Methylation,  Acetylation"
P18760," Isopeptide bond, Nucleus, Acetylation,  Actin-binding,  Phosphoprotein,  Ubl conjugation,  Cell membrane,  Cytoplasm, Cytoskeleton,  Membrane,  Cell projection,  Reference proteome,  Direct protein sequencing"
P47753,"Acetylation,  Actin-binding,  Phosphoprotein,  Cytoskeleton, Direct protein sequencing,  Cytoplasm,  Reference proteome,  Actin capping"
Q99KJ8,"Reference proteome, Acetylation,  Dynein,  Phosphoprotein,  Cytoskeleton, Direct protein sequencing,  Microtubule,  Cytoplasm,  Membrane,  Coiled coil"
P15105," Lipoprotein,  Ubl conjugation, Acetylation,  Ligase,  Endoplasmic reticulum,  ATP-binding, Transferase,  Membrane,  Microsome, Direct protein sequencing, Magnesium,  Cytoplasm,  Reference proteome,  Mitochondrion,  Manganese,  Angiogenesis,  Metal-binding,  Phosphoprotein, Nucleotide-binding,  Cell membrane,  Palmitate"
Q05920," Multifunctional enzyme,  Ligase, Acetylation,  Metal-binding,  Gluconeogenesis,  Nucleotide-binding,  Phosphoprotein, Pyruvate, Mitochondrion,  Transit peptide,  ATP-binding,  Biotin,  Lipid metabolism, Lipid biosynthesis,  Reference proteome,  Manganese"
Q91WD5," Ubiquinone,  NAD,  Metal-binding, Translocase, 3D-structure, Electron transport,  Iron-sulfur,  Transit peptide,  Iron,  Mitochondrion,  Mitochondrion inner membrane,  Transport,  4Fe-4S,  Membrane, Oxidoreductase, Methylation,  Reference proteome,  Acetylation,  Respiratory chain,  Direct protein sequencing"
P67778,"Acetylation,  DNA synthesis,  Phosphoprotein, Direct protein sequencing,  Reference proteome,  Cell membrane,  Cytoplasm,  Membrane,  Coiled coil,  Nucleus,  Mitochondrion, Mitochondrion inner membrane"
P97807,"Nucleus,  Lyase, Acetylation,  Phosphoprotein, Direct protein sequencing, Tricarboxylic acid cycle,  DNA repair,  Transit peptide,  Chromosome,  Mitochondrion,  Cytoplasm,  Alternative initiation,  Reference proteome,  DNA damage"
P17742," Isopeptide bond, Reference proteome,  Rotamase,  Phosphoprotein,  Isomerase,  Ubl conjugation, 3D-structure,  Apoptosis,  Cytoplasm, Glycoprotein,  Secreted,  Nucleus,  Acetylation,  Direct protein sequencing"
Q91YT0,"Electron transport,  Iron-sulfur,  Mitochondrion inner membrane, NAD, Transit peptide,  4Fe-4S,  Translocase,  Methylation, 3D-structure,  Iron,  Oxidoreductase,  Transport,  Membrane,  Ubiquinone,  Reference proteome,  Mitochondrion,  Acetylation,  Direct protein sequencing, Metal-binding,  Flavoprotein,  FMN,  Respiratory chain"
O08749,"Acetylation,  NAD,  Cilium,  Cytoplasmic vesicle,  Phosphoprotein, Direct protein sequencing,  Disulfide bond, Mitochondrion, Redox-active center,  Reference proteome,  FAD,  Transit peptide,  Flavoprotein,  Flagellum,  Oxidoreductase,  Cell projection,  Nucleus"
P63101,"Reference proteome, Acetylation,  Phosphoprotein,  Cytoplasm,  Direct protein sequencing"
P12658," Calcium, Reference proteome, Acetylation,  Metal-binding,  Repeat,  Vitamin D,  Direct protein sequencing"
P63038," Isopeptide bond, Ubl conjugation, Acetylation,  Phosphoprotein,  Isomerase, Direct protein sequencing,  Transit peptide,  ATP-binding, Nucleotide-binding,  Alternative splicing,  Chaperone,  Reference proteome,  Mitochondrion"
P62259," Isopeptide bond, Nucleus, Acetylation,  Ubl conjugation,  Phosphoprotein,  Cytoplasm,  Reference proteome,  Direct protein sequencing"
Q5U410," ADP-ribosylation,  Isopeptide bond, Nucleus,  Glycolysis, Acetylation,  NAD,  Phosphoprotein,  Cytoskeleton, S-nitrosylation, Direct protein sequencing,  Transferase,  Ubl conjugation,  Oxidoreductase,  Translation regulation,  Cytoplasm,  Methylation,  Reference proteome,  Apoptosis"
Q8CHH9," GTP-binding, Acetylation,  Nucleotide-binding,  Cytoplasmic vesicle,  Cytoskeleton, Direct protein sequencing, Phosphoprotein,  Synapse, Coiled coil,  Cytoplasm,  Alternative splicing,  Membrane,  Cell projection,  Cell junction,  Reference proteome"
