,Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name,Biological Process Label,Molecular Function Label,Cellular Component Label
0,A0A4W9,A0A4W9_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|PeptideAtlas:A0A4W9}, Proteomics identification {ECO:0000213|MaxQB:A0A4W9,, Signal {ECO:0000256|SAM:SignalP}",,,,,,,,,,
1,A0JLR7,A0JLR7_MOUSE,Mus musculus (Mouse),,"actin cytoskeleton ISO, cytoplasm ISO, extracellular exosome ISO, cytosol ISO, cell-cell contact zone ISO, sarcolemma ISO, cell-cell junction ISS, nucleus IBA, vesicle ISO, plasma membrane ISO, costamere IBA","GO:0042383, GO:0005911, GO:0005634, GO:0015629, GO:0070062, GO:0005737, GO:0043034, GO:0005829, GO:0031982, GO:0044291, GO:0005886","S100 protein binding ISO, identical protein binding ISO","GO:0042802, GO:0044548","regulation of voltage-gated calcium channel activity ISO, regulation of RNA splicing IBA","GO:1901385, GO:0043484",,GO:0065007,GO:0005488,"GO:0043229, GO:0043228, GO:0005886, GO:0043227, GO:0030054, GO:0043230"
2,A0JLV3,A0JLV3_MOUSE,Mus musculus (Mouse),"Nucleosome core {ECO:0000256|RuleBase:RU000451}, DNA-binding {ECO:0000256|RuleBase:RU000451}, Chromosome {ECO:0000256|RuleBase:RU000451}, Nucleus {ECO:0000256|RuleBase:RU000451}","nucleosome IEA, nucleus IEA","GO:0000786, GO:0005634","DNA binding IEA, protein heterodimerization activity IEA","GO:0003677, GO:0046982",,,Histone H2B {ECO:0000256|RuleBase:RU000451},,GO:0005488,"GO:0032993, GO:0044815, GO:0043229, GO:0043227"
3,A0PJB8,A0PJB8_MOUSE,Mus musculus (Mouse),,,,,,,,,,,
4,A1BN54,A1BN54_MOUSE,Mus musculus (Mouse),"Cell projection {ECO:0000256|ARBA:ARBA00023273}, Membrane {ECO:0000256|ARBA:ARBA00023136}, ECO:0000213|MaxQB:A1BN54, ECO:0000213|PeptideAtlas:A1BN54}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Actin-binding {ECO:0000256|ARBA:ARBA00023203}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Coiled coil {ECO:0000256|SAM:Coils}, Proteomics identification {ECO:0000213|EPD:A1BN54,","plasma membrane IEA, Z disc IEA, ruffle IEA, cell junction IEA","GO:0030018, GO:0030054, GO:0001726, GO:0005886","actin filament binding IEA, calcium ion binding IEA","GO:0005509, GO:0051015","actin filament bundle assembly IEA, actin crosslink formation IEA","GO:0051017, GO:0051764",Alpha-actinin cytoskeletal isoform {ECO:0000256|ARBA:ARBA00015114},GO:0009987,GO:0005488,GO:0042995
5,A1E2B8,A1E2B8_MOUSE,Mus musculus (Mouse),"Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU003322}, Stress response {ECO:0000313|EMBL:ABK968111}, Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000256|RuleBase:RU003322}",,,ATP binding IEA,GO:0005524,,,,,GO:0005488,
6,A1L2Z3,A1L2Z3_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|SAM:SignalP}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}",ER membrane protein complex IEA,GO:0072546,,,,,ER membrane protein complex subunit 1 {ECO:0000256|ARBA:ARBA00020824},,,"GO:0098796, GO:0140534"
7,A1L332,A1L332_MOUSE,Mus musculus (Mouse),"Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, ECO:0000256|RuleBase:RU362033}, Magnesium {ECO:0000256|ARBA:ARBA00022842, ECO:0000256|RuleBase:RU362033}, Metal-binding {ECO:0000256|ARBA:ARBA00022723}, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|RuleBase:RU362033}, Translocase {ECO:0000256|ARBA:ARBA00022967, ECO:0000256|RuleBase:RU362033}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU362033}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989,",integral component of membrane IEA,GO:0016021,"magnesium ion binding IEA, ATPase-coupled intramembrane lipid transporter activity IEA, ATP binding IEA","GO:0005524, GO:0000287, GO:0140326",phospholipid transport IEA,GO:0015914,Phospholipid-transporting ATPase {ECO:0000256|RuleBase:RU362033},GO:0051179,"GO:0005488, GO:0005215",
8,A2A4E2,A2A4E2_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2A4E2}",,,,,,,,,,
9,A2A513,A2A513_MOUSE,Mus musculus (Mouse),"Intermediate filament {ECO:0000256|ARBA:ARBA00022754,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2A513,, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:A2A513, ECO:0000213|PeptideAtlas:A2A513}, ECO:0000256|RuleBase:RU000685}","intermediate filament IEA, cornified envelope IEA, cytoplasm IEA","GO:0005737, GO:0005882, GO:0001533","structural constituent of skin epidermis IEA, protein heterodimerization activity IEA","GO:0030280, GO:0046982","keratinocyte differentiation IEA, protein heterotetramerization IEA, peptide cross-linking IEA","GO:0051290, GO:0018149, GO:0030216",,"GO:0008152, GO:0009987, GO:0032502","GO:0005488, GO:0005198","GO:0005886, GO:0099080"
