,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,P48774,GSTM5_MOUSE,Glutathione S-transferase Mu 5,Mus musculus (Mouse),"cytosol ISO, sperm fibrous sheath IDA, intercellular bridge ISO, cytoplasm ISO","GO:0005829, GO:0005737, GO:0045171, GO:0035686","protein homodimerization activity ISO, glutathione transferase activity IDA, identical protein binding IPI, enzyme binding ISO, glutathione binding ISO","GO:0042802, GO:0004364, GO:0042803, GO:0019899, GO:0043295","xenobiotic catabolic process ISO, glutathione metabolic process ISS, response to estrogen IEA, nitrobenzene metabolic process ISO, cellular detoxification of nitrogen compound ISO","GO:0006749, GO:0043627, GO:0018916, GO:0042178, GO:0070458"," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase","GO:0050896, GO:0008152, GO:0009987, GO:0098754","GO:0003824, GO:0005488",
1,Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"mitochondrion HDA, rough endoplasmic reticulum IDA, cilium IDA, photoreceptor inner segment IDA, collagen-containing extracellular matrix HDA, myelin sheath HDA, cytosol ISO, cytoplasm ISO, pyruvate kinase complex ISO, nucleus ISO","GO:0005739, GO:1902912, GO:0062023, GO:0043209, GO:0005791, GO:0005929, GO:0005829, GO:0005737, GO:0001917, GO:0005634","magnesium ion binding IEA, thyroid hormone binding ISO, pyruvate kinase activity IDA, ATP binding IEA, ADP binding ISO, mRNA binding IDA, identical protein binding ISO, kinase activity IEA, potassium ion binding IEA","GO:0042802, GO:0005524, GO:0004743, GO:0000287, GO:0070324, GO:0043531, GO:0003729, GO:0016301, GO:0030955","animal organ regeneration ISO, programmed cell death ISO, positive regulation of cytoplasmic translation IDA, cellular response to insulin stimulus IBA, liver development ISO, glycolytic process IDA, ATP biosynthetic process ISO, positive regulation of sprouting angiogenesis ISS, pyruvate biosynthetic process ISO, skeletal muscle tissue regeneration ISO, glucose metabolic process ISO","GO:0031100, GO:0006006, GO:0032869, GO:0006754, GO:2000767, GO:0012501, GO:0001889, GO:0043403, GO:0042866, GO:1903672, GO:0006096","Nucleotide-binding,  Potassium,  Magnesium,  Glycolysis,  Hydroxylation,  Kinase,  Ubl conjugation,  Methylation, Reference proteome,  Pyruvate,  Direct protein sequencing,  Alternative splicing,  Allosteric enzyme,  ATP-binding,  Transferase, Cytoplasm,  Phosphoprotein, Acetylation,  Nucleus,  Translation regulation, Isopeptide bond,  Metal-binding","GO:0008152, GO:0050896, GO:0009987, GO:0065007, GO:0032502, GO:0040007","GO:0003824, GO:0005488","GO:1902494, GO:0043226, GO:0042995, GO:0030312, GO:0005622"
2,Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"mitochondrion HDA, nucleoplasm ISO, mitochondrial pyruvate dehydrogenase complex IBA, pyruvate dehydrogenase complex ISS","GO:0005739, GO:0005654, GO:0045254, GO:0005967","pyruvate dehydrogenase (NAD+) activity IEA, pyruvate dehydrogenase (acetyl-transferring) activity ISS","GO:0004739, GO:0034604","acetyl-CoA biosynthetic process from pyruvate ISS, glucose metabolic process IEA, tricarboxylic acid cycle IEA, mitochondrial acetyl-CoA biosynthetic process from pyruvate ISO","GO:0006099, GO:0061732, GO:0006086, GO:0006006"," Direct protein sequencing,  Carbohydrate metabolism,  Phosphoprotein,  Reference proteome, Tricarboxylic acid cycle,  Mitochondrion, Glucose metabolism, Acetylation,  Transit peptide, Pyruvate,  Oxidoreductase,  Thiamine pyrophosphate","GO:0008152, GO:0009987",GO:0003824,"GO:0098798, GO:1902494, GO:0043226, GO:0005622"
3,P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"cytosol ISO, membrane raft ISO, myelin sheath HDA, mitochondrion HDA","GO:0045121, GO:0005739, GO:0005829, GO:0043209","NAD binding ISO, lactate dehydrogenase activity ISO, L-lactate dehydrogenase activity IDA, identical protein binding ISO, kinase binding ISO","GO:0042802, GO:0004459, GO:0051287, GO:0019900, GO:0004457","carbohydrate metabolic process IEA, NAD metabolic process ISO, lactate metabolic process ISO, lactate biosynthetic process from pyruvate IC","GO:0006089, GO:0019244, GO:0019674, GO:0005975"," Direct protein sequencing,  Reference proteome,  NAD, Phosphoprotein,  Cytoplasm, Acetylation,  Oxidoreductase","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0005622"
4,Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"mitochondrion HDA, oxoglutarate dehydrogenase complex ISS, mitochondrial matrix IEA, myelin sheath HDA, intracellular membrane-bounded organelle ISO, nucleus ISS, plasma membrane ISO","GO:0005739, GO:0043209, GO:0005759, GO:0005886, GO:0043231, GO:0045252, GO:0005634","dihydrolipoyllysine-residue succinyltransferase activity ISS, chaperone binding ISO, transferase activity, transferring acyl groups ISS, heat shock protein binding ISO","GO:0016746, GO:0031072, GO:0051087, GO:0004149","histone succinylation ISS, 2-oxoglutarate metabolic process ISS, L-lysine catabolic process to acetyl-CoA via saccharopine IEA, succinyl-CoA metabolic process ISS, NADH metabolic process ISO, tricarboxylic acid cycle ISS","GO:0033512, GO:0006104, GO:0106077, GO:0006099, GO:0006734, GO:0006103"," Phosphoprotein,  Alternative splicing,  Lipoyl,  Mitochondrion, Reference proteome,  Acyltransferase,  Transferase, Acetylation,  Transit peptide,  Nucleus, Direct protein sequencing,  Tricarboxylic acid cycle","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0016020, GO:1902494, GO:0045239, GO:0043226, GO:0031974, GO:0005622"
5,Q61753,SERA_MOUSE,D-3-phosphoglycerate dehydrogenase,Mus musculus (Mouse),myelin sheath HDA,GO:0043209,"phosphoglycerate dehydrogenase activity ISO, NAD binding IEA","GO:0051287, GO:0004617","gamma-aminobutyric acid metabolic process IMP, neural tube development IMP, glutamine metabolic process IMP, spinal cord development IMP, regulation of gene expression IMP, glial cell development IMP, neurogenesis IMP, taurine metabolic process IMP, cellular amino acid metabolic process IBA, L-serine metabolic process IMP, neuron projection development IMP, threonine metabolic process IMP, L-serine biosynthetic process IEA, glycine metabolic process IMP, G1 to G0 transition IMP","GO:0021782, GO:0031175, GO:0006566, GO:0006544, GO:0009448, GO:0006563, GO:0022008, GO:0010468, GO:0006541, GO:0006564, GO:0019530, GO:0070314, GO:0021915, GO:0006520, GO:0021510"," Direct protein sequencing,  Phosphoprotein,  Reference proteome,  Ubl conjugation,  NAD, Serine biosynthesis, Acetylation,  Oxidoreductase, Isopeptide bond,  Amino-acid biosynthesis","GO:0008152, GO:0009987, GO:0032502, GO:0065007","GO:0003824, GO:0005488",
6,Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"mitochondrion IDA, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) ISO, myelin sheath HDA, mitochondrial proton-transporting ATP synthase, stator stalk IBA, mitochondrial proton-transporting ATP synthase complex ISS, mitochondrial inner membrane HDA","GO:0005739, GO:0005743, GO:0000276, GO:0043209, GO:0005753, GO:0000274","protein-containing complex binding ISO, proton-transporting ATP synthase activity, rotational mechanism IEA","GO:0046933, GO:0044877","mitochondrial ATP synthesis coupled proton transport ISO, ATP synthesis coupled proton transport IBA, ATP metabolic process ISO","GO:0042776, GO:0046034, GO:0015986"," Membrane,  Direct protein sequencing,  Transport,  Mitochondrion inner membrane,  Mitochondrion, Reference proteome,  Hydrogen ion transport, Acetylation, Ion transport,  CF(0)","GO:0008152, GO:0009987, GO:0051179","GO:0003824, GO:0005488, GO:0005215","GO:0016020, GO:0098798, GO:0098796, GO:0043226, GO:0005622"
7,Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),"mitochondrion HDA, mitochondrial matrix ISS","GO:0005739, GO:0005759","enzyme binding ISO, metal ion binding IEA, propionyl-CoA carboxylase activity IMP, ATP binding IEA, CoA carboxylase activity IBA","GO:0005524, GO:0004658, GO:0019899, GO:0046872, GO:0016421",lipid catabolic process IEA,GO:0016042,"Nucleotide-binding,  Phosphoprotein,  Ligase,  Lipid degradation,  ATP-binding,  Magnesium,  Metal-binding,  Mitochondrion, Acetylation, Lipid metabolism,  Transit peptide,  Reference proteome,  Biotin",GO:0008152,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622"
8,Q9CPY7,AMPL_MOUSE,Cytosol aminopeptidase {ECO:0000305},Mus musculus (Mouse),"mitochondrion HDA, nucleoplasm ISO, midbody ISO, cytosol ISO, trans-Golgi network ISO","GO:0005802, GO:0005739, GO:0005829, GO:0005654, GO:0030496","manganese ion binding IEA, metalloaminopeptidase activity IEA, peptidase activity IDA","GO:0008233, GO:0070006, GO:0030145",,," Protease,  Magnesium,  Hydrolase, Phosphoprotein,  Cytoplasm,  Alternative initiation, Acetylation,  Aminopeptidase,  Manganese, Direct protein sequencing,  Reference proteome,  Metal-binding,  Zinc",,"GO:0003824, GO:0005488","GO:0031984, GO:0043226, GO:0005622"
9,Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"cytosol IBA, nucleoplasm ISO","GO:0005829, GO:0005654","potassium ion binding ISO, protein homodimerization activity ISO, magnesium ion binding ISO, zinc ion binding ISO, ATP binding ISO, pyridoxal kinase activity ISO, drug binding ISO, sodium ion binding ISO, pyridoxal binding ISO, lithium ion binding ISO, pyridoxal phosphate binding ISO","GO:0005524, GO:0031403, GO:0070280, GO:0042803, GO:0008478, GO:0000287, GO:0031402, GO:0030170, GO:0008144, GO:0008270, GO:0030955","pyridoxal phosphate biosynthetic process ISO, negative regulation of apoptotic process ISO, pyridoxal 5'-phosphate salvage ISO","GO:0042823, GO:0043066, GO:0009443"," Direct protein sequencing,  Phosphoprotein, Magnesium,  ATP-binding, Reference proteome,  Nucleotide-binding,  Transferase,  Cytoplasm, Acetylation,  Sodium,  Metal-binding,  Kinase,  Zinc","GO:0008152, GO:0009987, GO:0065007","GO:0003824, GO:0005488",
