Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0030312, GO:1902494, GO:0042995"
Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987",GO:0003824,"GO:0043226, GO:1902494, GO:0005622, GO:0098798"
P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0045239, GO:0016020, GO:0005622, GO:0031974, GO:1902494"
Q9DB77,QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0050896",GO:0005488,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:1902494, GO:0098796"
Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)",Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla', ' Hipothalamus', ' Hipocampus', ' Olfactory_balb', ' Mid_Brain', ' Cerebellum', ' Cortex']","GO:0008152, GO:0009987, GO:0051179","GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0098796"
Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']",GO:0008152,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622"
Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0009987, GO:0008152","GO:0003824, GO:0005488",nan
P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0051179, GO:0065007, GO:0009987, GO:0023052","GO:0005488, GO:0060090","GO:0016020, GO:0098796"
Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0051179, GO:0007610, GO:0009987, GO:0032501",GO:0005488,"GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0019898, GO:0030054"
P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152","GO:0003824, GO:0005488",GO:0016020
Q64521,GPDM_MOUSE,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0040007, GO:0032502, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:1902494, GO:0005622"
P09671,SODM_MOUSE,"Superoxide dismutase [Mn], mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0007610, GO:0098754, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005488, GO:0016209","GO:0043226, GO:0016020, GO:0005622, GO:0031974, GO:0009295"
Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152, GO:0044419","GO:0003824, GO:0005488, GO:0098772","GO:0043226, GO:0140535, GO:0099080, GO:0016020, GO:0005622, GO:0090734, GO:0140534, GO:1902494, GO:0098796, GO:0030054"
P40142,TKT_MOUSE,Transketolase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0065007, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0016604, GO:0005622, GO:0016020"
P17183,ENOG_MOUSE,Gamma-enolase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0005737, GO:0044297, GO:0016020, GO:0030427, GO:1902494, GO:0042995"
P63085,MK01_MOUSE,Mitogen-activated protein kinase 1,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0022414, GO:0032501","GO:0003824, GO:0005488","GO:0043226, GO:0005737, GO:0016020, GO:0005622, GO:0030054, GO:0042995"
P68373,TBA1C_MOUSE,Tubulin alpha-1C chain,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']",GO:0009987,"GO:0003824, GO:0005488, GO:0005198","GO:0043226, GO:0016020, GO:0005622, GO:0099080"
Q8BVI4,DHPR_MOUSE,Dihydropteridine reductase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0032502, GO:0009987, GO:0050896","GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0042995"
Q9CWS0,DDAH1_MOUSE,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0065007, GO:0009987, GO:0032501","GO:0003824, GO:0005488","GO:0043226, GO:0005622"
P05202,AATM_MOUSE,"Aspartate aminotransferase, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0051179, GO:0065007, GO:0050896, GO:0051704, GO:0009987, GO:0008152, GO:0022414, GO:0032501","GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0016020, GO:0005622"
P18760,COF1_MOUSE,Cofilin-1,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0040011, GO:0008152, GO:0044419",GO:0005488,"GO:0043226, GO:0032432, GO:0044297, GO:0016020, GO:0098794, GO:0005622, GO:0030427, GO:0031256, GO:0030054, GO:0042995"
P47753,CAZA1_MOUSE,F-actin-capping protein subunit alpha-1 (CapZ alpha-1),Mus musculus (Mouse),"['Olfactory Bulb', ' Cortex', 'Medulla', ' Hipothalamus', ' Hipocampus', ' Olfactory_balb', ' Mid_Brain', ' Cerebellum']","GO:0065007, GO:0009987",GO:0005488,"GO:0030054, GO:0043226, GO:0005622, GO:0098862"
Q99KJ8,DCTN2_MOUSE,Dynactin subunit 2,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0051179, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0099080, GO:0005622, GO:0005815, GO:0005875, GO:0030427, GO:1902494"
P15105,GLNA_MOUSE,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla', ' Hipothalamus', ' Hipocampus', ' Olfactory_balb', ' Mid_Brain', ' Cerebellum', ' Cortex']","GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0019740, GO:0008152","GO:0003824, GO:0005488","GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0042995"
