Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
P05064,ALDOA_MOUSE,Fructose-bisphosphate aldolase A,Mus musculus (Mouse),"membrane IDA, actin cytoskeleton ISO, mitochondrion ISO, nuclear heterochromatin ISO, protein-containing complex IDA, M band IEA, myelin sheath HDA, extracellular space HDA, plasma membrane IDA, cytoplasm IDA, sperm fibrous sheath IDA, extracellular exosome ISO, sperm head ISO, Z disc IDA, cytosol ISO","GO:0070062, GO:0005615, GO:0005739, GO:0015629, GO:0043209, GO:0035686, GO:0030018, GO:0016020, GO:0031430, GO:0005886, GO:0005829, GO:0032991, GO:0061827, GO:0005737, GO:0005720","protease binding IPI, fructose binding ISO, fructose-bisphosphate aldolase activity IDA, cytoskeletal protein binding ISO, identical protein binding ISO","GO:0070061, GO:0002020, GO:0042802, GO:0004332, GO:0008092","muscle cell cellular homeostasis ISO, glycolytic process ISS, binding of sperm to zona pellucida ISO, methylglyoxal biosynthetic process ISO, ATP biosynthetic process ISO, protein homotetramerization ISS, fructose 1,6-bisphosphate metabolic process ISO, regulation of cell shape ISO, glycolytic process through fructose-6-phosphate IC, positive regulation of cell migration IMP, fructose metabolic process ISO, striated muscle contraction ISO","GO:0006000, GO:0008360, GO:0006096, GO:0006941, GO:0030388, GO:0030335, GO:0019242, GO:0061615, GO:0046716, GO:0006754, GO:0051289, GO:0007339"," Cytoplasm,  Ubl conjugation,  Lyase,  Direct protein sequencing,  Phosphoprotein,  Reference proteome,  Glycolysis, Acetylation,  Isopeptide bond, Schiff base, Hydroxylation"
P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"myelin sheath HDA, membrane raft ISO, mitochondrion HDA, cytosol ISO","GO:0045121, GO:0043209, GO:0005739, GO:0005829","L-lactate dehydrogenase activity IDA, NAD binding ISO, identical protein binding ISO, kinase binding ISO, lactate dehydrogenase activity ISO","GO:0051287, GO:0004459, GO:0042802, GO:0004457, GO:0019900","carbohydrate metabolic process IEA, lactate metabolic process ISO, lactate biosynthetic process from pyruvate IC, NAD metabolic process ISO","GO:0019674, GO:0006089, GO:0019244, GO:0005975","Phosphoprotein,  Cytoplasm,  NAD,  Direct protein sequencing,  Reference proteome,  Oxidoreductase, Acetylation"
P60710,ACTB_MOUSE,"Actin, cytoplasmic 1",Mus musculus (Mouse),"podosome ISO, postsynaptic actin cytoskeleton ISO, glutamatergic synapse ISO, tight junction ISO, focal adhesion ISS, membrane raft ISO, dense body ISS, cortical cytoskeleton IDA, nucleus ISS, protein-containing complex ISS, cytoplasmic ribonucleoprotein granule ISO, cytoplasm IDA, NuA4 histone acetyltransferase complex ISO, postsynaptic density ISO, actin filament IBA, lamellipodium ISO, synapse IBA, adherens junction ISO, actin cytoskeleton ISS, myelin sheath HDA, membrane IBA, ribonucleoprotein complex ISO, cytosol IDA, cell-cell junction ISO, plasma membrane ISS, cytoskeleton IDA, axon ISO, stress fiber ISO, apical junction complex ISO","GO:0005884, GO:0030424, GO:0005911, GO:0005912, GO:0005886, GO:0002102, GO:0070160, GO:0097433, GO:0045121, GO:0032991, GO:0030027, GO:0016020, GO:0005925, GO:0098871, GO:0005829, GO:0005856, GO:0005634, GO:1990904, GO:0043296, GO:0030863, GO:0045202, GO:0035267, GO:0015629, GO:0043209, GO:0098978, GO:0036464, GO:0014069, GO:0001725, GO:0005737","protein kinase binding ISO, ATP binding IEA, Tat protein binding ISO, kinesin binding ISO, identical protein binding ISO, nitric-oxide synthase binding ISO, structural constituent of postsynaptic actin cytoskeleton ISO","GO:0005524, GO:0098973, GO:0050998, GO:0019901, GO:0030957, GO:0019894, GO:0042802","morphogenesis of a polarized epithelium ISO, apical protein localization ISO, cellular response to electrical stimulus ISO, regulation of cyclin-dependent protein serine/threonine kinase activity ISO, cellular response to cytochalasin B ISO, adherens junction assembly ISO, negative regulation of protein binding IDA, establishment or maintenance of cell polarity ISO, regulation of transmembrane transporter activity ISO, cell motility ISO, regulation of transepithelial transport ISO, regulation of protein localization to plasma membrane ISO, postsynaptic actin cytoskeleton organization ISO, axonogenesis ISO, regulation of norepinephrine uptake ISO, negative regulation of cyclin-dependent protein kinase activity IC, protein localization to adherens junction ISO","GO:0032091, GO:0098974, GO:1904030, GO:0000079, GO:0071257, GO:0071896, GO:0034333, GO:0051621, GO:0022898, GO:0045176, GO:0072749, GO:0007163, GO:0150111, GO:0007409, GO:1903076, GO:0048870, GO:0001738"," Nucleus,  ATP-binding, Oxidation,  Cytoplasm,  Ubl conjugation,  Reference proteome, Acetylation, Direct protein sequencing,  Methylation,  Nucleotide-binding,  Cytoskeleton"
P80316,TCPE_MOUSE,T-complex protein 1 subunit epsilon,Mus musculus (Mouse),"chaperonin-containing T-complex IDA, myelin sheath HDA, microtubule ISO, centrosome ISO, cell body IDA","GO:0005832, GO:0044297, GO:0043209, GO:0005874, GO:0005813","unfolded protein binding IBA, ATP binding IEA, mRNA 5'-UTR binding ISO, beta-tubulin binding ISO, mRNA 3'-UTR binding ISO, G-protein beta-subunit binding ISS","GO:0051082, GO:0005524, GO:0048027, GO:0003730, GO:0031681, GO:0048487","positive regulation of telomere maintenance via telomerase ISO, protein stabilization ISO, toxin transport IMP, response to virus IEA, positive regulation of establishment of protein localization to telomere ISO, binding of sperm to zona pellucida IDA, protein folding IBA","GO:0032212, GO:1904851, GO:0009615, GO:0050821, GO:0006457, GO:1901998, GO:0007339","Phosphoprotein,  ATP-binding,  Cytoplasm,  Ubl conjugation,  Reference proteome, Acetylation, Direct protein sequencing,  Isopeptide bond,  Chaperone,  Nucleotide-binding,  Cytoskeleton"
P68368,TBA4A_MOUSE,Tubulin alpha-4A chain,Mus musculus (Mouse),"microtubule ISO, microtubule cytoskeleton ISO, cytoskeleton ISO, cytoplasm IBA","GO:0005874, GO:0005737, GO:0005856, GO:0015630","protein kinase binding ISO, GTPase activity IEA, enzyme binding IPI, structural constituent of cytoskeleton IBA, GTP binding IBA","GO:0019899, GO:0003924, GO:0019901, GO:0005200, GO:0005525","microtubule cytoskeleton organization IBA, microtubule-based process IBA, mitotic cell cycle IBA","GO:0000278, GO:0000226, GO:0007017"," Microtubule, Phosphoprotein,  Cytoplasm,  Direct protein sequencing,  Reference proteome,  Nitration, Acetylation,  Methylation,  Nucleotide-binding,  Cytoskeleton, GTP-binding"
Q7TMM9,TBB2A_MOUSE,Tubulin beta-2A chain,Mus musculus (Mouse),"microtubule ISO, cytoplasm IBA","GO:0005874, GO:0005737","structural constituent of cytoskeleton IBA, GTP binding IBA, GTPase activity IEA","GO:0005525, GO:0003924, GO:0005200","neuron migration IBA, microtubule cytoskeleton organization IBA, microtubule-based process IBA, mitotic cell cycle IBA","GO:0000278, GO:0000226, GO:0007017, GO:0001764"," Microtubule, Phosphoprotein,  Cytoplasm,  Ubl conjugation,  Direct protein sequencing,  Reference proteome, Acetylation,  Isopeptide bond,  Methylation,  Nucleotide-binding,  Cytoskeleton, GTP-binding"
Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"presynaptic endocytic zone IDA, axon terminus ISO, glutamatergic synapse IDA, synaptic vesicle IDA, plasma membrane IBA, leading edge membrane ISO, photoreceptor ribbon synapse IDA, extrinsic component of synaptic vesicle membrane ISO, cytoskeleton IEA","GO:0098833, GO:0098850, GO:0043679, GO:0098978, GO:0005886, GO:0031256, GO:0008021, GO:0098684, GO:0005856","protein C-terminus binding ISO, phospholipid binding ISO, protein-containing complex binding ISO","GO:0005543, GO:0044877, GO:0008022","learning IMP, synaptic vesicle endocytosis IDA","GO:0007612, GO:0048488"," Cytoplasmic vesicle,  Cytoplasm, Membrane,  Synapse,  Reference proteome,  SH3 domain,  Phosphoprotein, Cell junction,  Coiled coil,  Cytoskeleton"
P62897,CYC_MOUSE,"Cytochrome c, somatic",Mus musculus (Mouse),"mitochondrial intermembrane space ISO, nucleus ISO, respirasome IEA, myelin sheath HDA, mitochondrion IDA, cytosol IDA","GO:0005634, GO:0005739, GO:0070469, GO:0005758, GO:0043209, GO:0005829","enzyme binding ISO, electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity ISO, metal ion binding IEA, heme binding IDA","GO:0019899, GO:0020037, GO:0045155, GO:0046872","mitochondrial electron transport, cytochrome c to oxygen IBA, positive regulation of cysteine-type endopeptidase activity involved in apoptotic process IBA, hydrogen peroxide metabolic process IDA, mitochondrial electron transport, ubiquinol to cytochrome c IBA, activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c IMP, regulation of protein binding IMP, apoptotic process IDA","GO:0043393, GO:0042743, GO:0006122, GO:0006915, GO:0006123, GO:0043280, GO:0008635"," Mitochondrion,  Transport,  Direct protein sequencing,  Metal-binding, Heme, Acetylation,  Respiratory chain,  Phosphoprotein,  Apoptosis, Reference proteome,  Iron,  Electron transport"
Q64521,GPDM_MOUSE,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Mus musculus (Mouse),"mitochondrial inner membrane HDA, mitochondrion HDA, glycerol-3-phosphate dehydrogenase complex TAS","GO:0005743, GO:0009331, GO:0005739","calcium ion binding IEA, glycerol-3-phosphate dehydrogenase [NAD+] activity ISO, sn-glycerol-3-phosphate","GO:0052591, GO:0005509, GO:0004367","NADH metabolic process ISO, glycerol-3-phosphate metabolic process IMP, gluconeogenesis IMP, camera-type eye development IGI, multicellular organism growth IGI, glycerol catabolic process IEA","GO:0043010, GO:0006072, GO:0006734, GO:0035264, GO:0019563, GO:0006094"," Mitochondrion inner membrane,  FAD, Phosphoprotein,  Repeat,  Transit peptide, Metal-binding,  Flavoprotein, Calcium,  Direct protein sequencing,  Membrane,  Oxidoreductase,  Reference proteome,  Mitochondrion"
P61979,HNRPK_MOUSE,Heterogeneous nuclear ribonucleoprotein K,Mus musculus (Mouse),"nuclear chromatin ISO, catalytic step 2 spliceosome ISO, nucleoplasm ISO, axon terminus ISO, nucleus ISO, cytoplasm IBA, glutamatergic synapse ISO, mitochondrion ISO, postsynapse ISO, postsynaptic density ISO, dendritic spine ISO, protein-DNA complex ISO, cytoplasmic stress granule IDA, podosome IEA, cell cortex ISO, cytosol ISO","GO:0005938, GO:0000790, GO:0005739, GO:0043197, GO:0005654, GO:0005634, GO:0032993, GO:0010494, GO:0071013, GO:0043679, GO:0098978, GO:0002102, GO:0014069, GO:0005829, GO:0098794, GO:0005737","RNA binding IDA, single-stranded DNA binding ISO, lamin binding ISO, protein domain specific binding ISO, actinin binding ISO, ATPase binding ISO, heat shock protein binding ISO, pre-mRNA 3'-splice site binding ISO, ribonucleoprotein complex binding ISO, identical protein binding ISO, mRNA 3'-UTR binding ISO, double-stranded DNA binding ISO, mRNA CDS binding ISO, mRNA binding IBA, C-rich single-stranded DNA binding ISO, cis-regulatory region sequence-specific DNA binding ISO, transcription factor binding ISO","GO:1990829, GO:0030628, GO:0031072, GO:0043021, GO:0003697, GO:1990715, GO:0003723, GO:0000987, GO:0005521, GO:0003690, GO:0003730, GO:0042805, GO:0019904, GO:0003729, GO:0042802, GO:0051117, GO:0008134","cellular response to insulin stimulus ISO, positive regulation of transcription by RNA polymerase II IGI, negative regulation of apoptotic process ISO, regulation of transcription by RNA polymerase II ISO, modulation of chemical synaptic transmission ISO, positive regulation of synapse maturation ISO, regulation of postsynapse organization ISO, positive regulation of dendritic spine development ISO, positive regulation of low-density lipoprotein particle receptor biosynthetic process ISO, RNA splicing IEA, negative regulation of mRNA splicing, via spliceosome IMP, negative regulation of protein binding ISO, regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator IMP, ovarian follicle development ISO, regulation of mRNA splicing, via spliceosome IBA, positive regulation of protein localization to cell surface ISO, cerebral cortex development ISO, positive regulation of receptor-mediated endocytosis ISO, positive regulation of RNA splicing ISO, positive regulation of long-term synaptic potentiation ISO, regulation of gene expression IBA, cellular response to forskolin ISO, positive regulation of synaptic transmission ISO, negative regulation of transcription by RNA polymerase II ISO, negative regulation of gene expression ISO, positive regulation of dendrite extension ISO, positive regulation of neuron projection development ISO, negative regulation of branching morphogenesis of a nerve ISO, regulation of low-density lipoprotein particle clearance ISO, mRNA processing IEA","GO:1904322, GO:2000173, GO:0048024, GO:0060999, GO:0048025, GO:0032091, GO:0010629, GO:0043066, GO:2000010, GO:1902165, GO:1900273, GO:0006357, GO:0050804, GO:1903861, GO:0048260, GO:0045944, GO:0006397, GO:0050806, GO:0010468, GO:0045716, GO:0008380, GO:0032869, GO:0001541, GO:0000122, GO:0033120, GO:0010988, GO:0010976, GO:0021987, GO:0099175, GO:0090129"," Cytoplasm,  Ubl conjugation,  mRNA splicing, Cell projection,  Activator, Ribonucleoprotein,  Alternative splicing,  RNA-binding, Nucleus, Transcription regulation,  Repressor, Acetylation,  DNA-binding,  Isopeptide bond,  Transcription,  Direct protein sequencing, Glycoprotein,  Repeat,  Spliceosome,  Cell junction,  mRNA processing,  Reference proteome,  Methylation,  Phosphoprotein"
